,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,78,1,1,9/11/2023,BUF,@,NYJ,"L, 16-22 (OT)",*,29,41,11,23.9,337,8.2,104,3.6,2.5,132,4.6,0,1,1,0,0,7,17.9,11,2,4,11,22,4,8.5,6,36,3,23,3.8,13,2.2,0,
2,79,2,2,9/17/2023,BUF,,LVR,"W, 38-10",*,31,37,17,43.6,163,4.4,121,3.9,3.3,153,4.9,0,1,0,1,2.8,3,8.3,12,1,1,4,10.3,0,,3,7,2,4,1.3,3,1,0,
3,80,3,3,9/24/2023,BUF,@,WAS,"W, 37-3",*,20,32,10,31.3,306,9.6,141,7.1,4.4,77,3.9,2,1,0,3,9.7,1,3.2,7,0,2,2,5.7,3,15.3,3,46,3,34,11.3,12,4,1,3
4,81,4,4,10/1/2023,BUF,,MIA,"W, 48-20",*,21,25,14,51.9,205,8.2,157,7.5,6.3,163,7.8,1,0,0,0,0,1,4,7,5,1,8,27.6,2,3.5,4,17,1,15,3.8,2,0.5,0,
5,82,5,5,10/8/2023,BUF,,JAX,"L, 20-25",*,27,40,13,32.5,443,11.1,289,10.7,7.2,70,2.6,0,4,0,4,11.1,3,8.3,18,5,6,11,25.6,3,5,4,14,2,11,2.8,3,0.8,0,
6,83,6,6,10/15/2023,BUF,,NYG,"W, 14-9",*,19,30,12,40,264,8.8,101,5.3,3.4,68,3.6,0,1,0,2,6.9,6,20.7,6,5,1,6,18.8,2,5.5,2,11,0,3,1.5,8,4,0,
7,84,7,7,10/22/2023,BUF,@,NWE,"L, 25-29",*,27,41,14,33.3,449,11,142,5.3,3.5,123,4.6,0,2,0,1,2.6,9,23.1,16,8,5,14,31.1,3,2.3,7,17,2,12,1.7,5,0.7,0,
8,85,8,8,10/26/2023,BUF,,TAM,"W, 24-18",*,31,40,16,38.1,239,6,170,5.5,4.3,154,5,2,1,0,0,0,4,10.3,12,3,1,6,13,4,7.8,7,41,3,36,5.1,5,0.7,0,
9,86,9,9,11/5/2023,BUF,@,CIN,"L, 18-24",*,26,38,11,28.2,307,8.1,117,4.5,3.1,141,5.4,0,3,0,0,0,8,22.9,3,0,4,5,11.4,5,6,8,44,6,31,3.9,13,1.6,1,8
10,87,10,10,11/13/2023,BUF,,DEN,"L, 22-24",*,15,26,6,23.1,226,8.7,94,6.3,3.6,83,5.5,1,1,0,4,16,3,12,6,1,3,4,14.8,1,6,4,13,1,13,3.3,0,0,0,
11,88,11,11,11/19/2023,BUF,,NYJ,"W, 32-6",*,20,32,10,30.3,223,7,85,4.3,2.7,190,9.5,0,2,0,4,13.3,3,10,5,2,3,6,17.1,2,3.5,5,15,2,13,2.6,2,0.4,0,
12,89,12,12,11/26/2023,BUF,@,PHI,"L, 34-37 (OT)",*,29,51,15,28.8,407,8,194,6.7,3.8,145,5,0,2,0,3,6.1,8,16.3,17,0,3,4,6.9,6,12,9,81,7,52,5.8,29,3.2,3,3
13,90,13,14,12/10/2023,BUF,@,KAN,"W, 20-17",*,23,42,12,26.7,347,8.3,86,3.7,2,147,6.4,0,4,1,2,5.4,6,16.2,16,9,7,19,38.8,4,4.5,10,32,3,25,2.5,7,0.7,1,10
14,91,14,15,12/17/2023,BUF,,DAL,"W, 31-10",*,7,15,5,31.3,118,7.9,47,6.7,3.1,47,6.7,0,2,0,3,23.1,2,15.4,8,2,2,5,26.3,3,5.7,8,24,5,4,0.5,20,2.5,0,
15,92,15,16,12/23/2023,BUF,@,LAC,"W, 24-22",*,15,21,11,50,277,13.2,154,10.3,7.3,83,5.5,0,0,0,0,0,4,19,9,3,0,4,17.4,1,4,5,15,2,10,2,5,1,1,5
16,93,16,17,12/31/2023,BUF,,NWE,"W, 27-21",*,15,30,8,25.8,337,11.2,108,7.2,3.6,61,4.1,0,2,0,3,10.7,7,25,13,1,3,5,14.7,3,8.3,11,44,7,8,0.7,36,3.3,0,
17,94,17,18,1/7/2024,BUF,@,MIA,"W, 21-14",*,30,38,14,34.1,380,10,223,7.4,5.9,136,4.5,1,1,0,1,2.7,3,8.1,15,4,5,12,26.7,4,12.8,15,67,8,31,2.1,36,2.4,2,7.5
,,,,,,,,6-Nov,,385,579,199,33,5028,8.7,2333,6.1,4,1973,5.1,7,28,2,31,5.6,78,14.2,181,51,51,126,19.3,50,7.6,111,524,57,325,2.9,199,1.8,9,12.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
