,,,,,,,,,,Passing,Passing,Passing,Passing,Air Yards,Air Yards,Air Yards,Air Yards,Air Yards,Air Yards,Air Yards,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,112,1,1,9/7/2025,BUF,,BAL,W 41-40,*,33,46,18,38.3,400,8.7,246,7.5,5.3,148,4.5,2,0,1,2,4.4,6,13.3,6,2,2,5,9.6,5,5.4,14,30,4,25,1.8,5,0.4,0,
2,113,2,2,9/14/2025,BUF,@,NYJ,W 30-10,*,14,25,8,30.8,121,4.8,59,4.2,2.4,89,6.4,1,2,0,1,4.3,3,13,3,0,1,2,6.7,4,15,6,59,3,8,1.3,51,8.5,2,3
3,114,3,3,9/18/2025,BUF,,MIA,W 31-21,*,22,28,12,40,103,3.7,53,2.4,1.9,160,7.3,0,1,0,1,3.7,1,3.7,13,4,0,6,18.8,2,11.5,4,25,0,23,5.8,2,0.5,0,
4,115,4,4,9/28/2025,BUF,,NOR,W 31-19,*,16,22,10,40,224,10.2,86,5.4,3.9,123,7.7,1,0,0,0,0,2,9.1,5,0,4,7,25,3,11,7,45,3,16,2.3,29,4.1,0,
5,116,5,5,10/5/2025,BUF,,NWE,L 20-23,*,22,31,16,50,244,7.9,154,7,5,99,4.5,0,1,0,2,6.7,3,10,6,0,3,4,10.3,7,7.1,9,53,3,32,3.6,21,2.3,1,9
6,117,6,6,10/13/2025,BUF,@,ATL,L 14-24,*,15,26,8,26.7,287,11,124,8.3,4.8,56,3.7,1,0,0,0,0,4,15.4,16,1,2,7,20.6,4,10.5,6,42,2,39,6.5,3,0.5,0,
7,118,7,8,10/26/2025,BUF,@,CAR,W 40-9,*,12,19,8,38.1,116,6.1,47,3.9,2.5,116,9.7,0,0,0,1,5.3,2,10.5,2,1,0,3,14.3,0,,3,7,2,3,1,4,1.3,0,
8,119,8,9,11/2/2025,BUF,,KAN,W 28-21,*,23,26,13,44.8,133,5.1,104,4.5,4,169,7.3,0,1,0,1,4,0,0,7,0,2,5,16.7,1,6,6,19,4,12,2,7,1.2,0,
9,120,9,10,11/9/2025,BUF,@,MIA,L 13-30,*,28,40,12,27.9,404,10.1,192,6.9,4.8,114,4.1,0,1,0,2,5.1,6,15.4,13,10,3,16,35.6,2,7,4,31,2,17,4.3,14,3.5,0,
10,121,10,11,11/16/2025,BUF,,TAM,W 44-32,*,19,30,13,43.3,346,11.5,163,8.6,5.4,154,8.1,0,0,0,0,0,8,26.7,14,2,1,3,9.4,2,10,6,40,4,40,6.7,0,0,0,
11,122,11,12,11/20/2025,BUF,@,HOU,L 19-23,*,24,34,9,21.4,161,4.7,73,3,2.1,180,7.5,1,0,0,0,0,7,20.6,6,1,3,12,26.7,3,6,5,20,2,13,2.6,7,1.4,0,
12,123,12,13,11/30/2025,BUF,@,PIT,W 26-7,*,15,23,9,39.1,38,1.7,43,2.9,1.9,80,5.3,0,0,0,2,8.7,4,17.4,8,2,0,2,7.4,4,5.5,8,38,4,29,3.6,9,1.1,1,8
13,124,13,14,12/7/2025,BUF,,CIN,W 39-34,*,22,28,13,41.9,129,4.6,77,3.5,2.8,174,7.9,0,1,0,0,0,2,7.4,7,4,2,9,25,5,16.8,9,78,4,23,2.6,55,6.1,3,3
14,125,14,15,12/14/2025,BUF,@,NWE,W 35-31,*,19,28,11,36.7,270,9.6,91,4.8,3.3,102,5.4,0,2,0,1,3.8,3,11.5,7,1,2,5,15.2,3,4.7,11,48,4,38,3.5,10,0.9,0,
15,126,15,16,12/21/2025,BUF,@,CLE,W 23-20,*,12,19,6,28.6,121,6.4,27,2.3,1.4,103,8.6,0,1,0,3,16.7,2,11.1,8,2,2,6,26.1,2,6,7,17,2,13,1.9,4,0.6,0,
16,127,16,17,12/28/2025,BUF,,PHI,L 12-13,*,23,35,11,27.5,254,7.3,167,7.3,4.8,95,4.1,1,2,0,2,6.1,5,15.2,7,0,2,7,16.7,2,4,7,27,3,25,3.6,2,0.3,0,
17,128,17,18,1/4/2026,BUF,,NYJ,W 35-8,*,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,
,,,,,,,,5-Dec,,319,460,177,35.4,3351,7.3,1706,5.3,3.7,1962,6.2,7,12,1,18,4,58,13,128,30,29,99,18,49,8.8,112,579,46,356,3.2,223,2,7,16
