,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,63,1,1,9/9/2018,JAX,@,NYG,"W, 20-15",*,18,33,13,38.2,230,7,88,4.9,2.7,88,4.9,0,1,0,2,6.3,5,15.6,15,6,1,8,22.9,1,3,4,42,1,40,10,2,0.5,0,
2,64,2,2,9/16/2018,JAX,,NWE,"W, 31-20",*,29,45,22,48.9,351,7.8,171,5.9,3.8,205,7.1,0,3,0,2,4.8,8,19,18,2,4,6,12,5,7.2,6,35,3,22,3.7,13,2.2,0,
3,65,3,3,9/23/2018,JAX,,TEN,"L, 6-9",*,21,34,6,16.2,144,4.2,48,2.3,1.4,107,5.1,0,1,0,3,9.1,5,15.2,8,7,2,12,29.3,4,6,5,27,2,12,2.4,15,3,1,5
4,66,4,4,9/30/2018,JAX,,NYJ,"W, 31-12",*,29,38,16,40,138,3.6,128,4.4,3.4,260,9,0,2,0,0,0,3,8.3,16,0,2,4,9.5,2,14,3,28,1,28,9.3,0,0,0,
5,67,5,5,10/7/2018,JAX,@,KAN,"L, 14-30",*,33,61,20,30.3,647,10.6,282,8.5,4.6,148,4.5,0,1,0,3,5,17,28.3,14,3,6,14,20.6,2,14,4,34,3,28,7,6,1.5,0,
6,68,6,6,10/14/2018,JAX,@,DAL,"L, 7-40",*,15,26,7,24.1,221,8.5,86,5.7,3.3,63,4.2,0,1,0,2,8,4,16,6,2,3,8,25.8,2,4.5,4,22,3,20,5,2,0.5,0,
7,69,7,7,10/21/2018,JAX,,HOU,"L, 7-20",*,6,12,2,16.7,75,6.3,27,4.5,2.3,34,5.7,0,1,0,2,18.2,3,27.3,5,0,4,4,23.5,5,5.6,6,30,3,17,2.8,13,2.2,1,6
8,70,8,8,10/28/2018,JAX,,PHI,"L, 18-24",*,24,41,10,22.2,257,6.3,143,6,3.5,143,6,0,0,0,4,9.8,6,14.6,13,2,2,8,15.7,6,5.7,8,43,3,43,5.4,0,0,0,
9,71,9,10,11/11/2018,JAX,@,IND,"L, 26-29",*,26,38,13,34.2,150,3.9,60,2.3,1.6,260,10,0,0,0,3,7.9,3,7.9,2,2,1,3,7.5,2,4,2,8,1,7,3.5,1,0.5,0,
10,72,10,11,11/18/2018,JAX,,PIT,"L, 16-20",*,10,18,5,20.8,151,8.4,52,5.2,2.9,52,5.2,0,0,0,1,5.6,5,27.8,12,1,1,8,30.8,2,8.5,2,17,2,15,7.5,2,1,0,
11,73,11,12,11/25/2018,JAX,@,BUF,"L, 21-24",*,12,23,6,23.1,176,7.7,57,4.8,2.5,70,5.8,0,1,0,1,4.5,6,27.3,6,2,3,8,25.8,5,7.8,6,39,3,26,4.3,13,2.2,0,
12,74,15,16,12/23/2018,JAX,@,MIA,"W, 17-7",,5,6,2,28.6,33,5.5,25,5,4.2,14,2.8,0,1,0,0,0,0,0,3,0,0,1,14.3,0,,4,25,2,20,5,5,1.3,0,
13,75,16,17,12/30/2018,JAX,@,HOU,"L, 3-20",*,15,28,4,12.9,271,9.7,46,3.1,1.6,61,4.1,0,0,0,1,3.6,5,17.9,10,3,2,8,22.9,4,3.8,4,15,1,10,2.5,5,1.3,0,
,,,,,,,,9-Apr,,243,403,126,29,2844,7.1,1213,5,3,1505,6.2,0,12,0,24,6.1,70,17.9,128,30,31,92,19.4,40,6.7,58,365,28,288,5,77,1.3,2,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
