,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,286,1,1,9/13/2020,TAM,@,NOR,"L, 23-34",*,23,36,10,25.6,292,8.1,149,6.5,4.1,90,3.9,0,2,0,0,0,8,23.5,7,2,4,9,22.5,1,4,3,9,2,5,1.7,4,1.3,1,3
2,287,2,2,9/20/2020,TAM,,CAR,"W, 31-17",*,23,35,11,31.4,234,6.7,107,4.7,3.1,110,4.8,0,0,0,8,22.9,3,8.6,4,0,1,1,2.9,0,,1,0,0,0,0,0,0,0,
3,288,3,3,9/27/2020,TAM,@,DEN,"W, 28-10",*,25,38,12,30,311,8.2,190,7.6,5,107,4.3,0,2,0,1,2.8,7,19.4,10,0,4,6,14.6,1,1,5,0,0,-1,-0.2,1,0.2,0,
4,289,4,4,10/4/2020,TAM,,LAC,"W, 38-31",*,30,46,20,43.5,431,9.4,260,8.7,5.7,109,3.6,0,0,0,3,6.5,10,21.7,4,4,6,10,21.7,0,,3,-3,0,-3,-1,0,0,0,
5,290,5,5,10/8/2020,TAM,@,CHI,"L, 19-20",*,25,41,11,25,383,9.3,153,6.1,3.7,100,4,2,0,0,1,2.4,9,22,7,1,5,9,20.5,0,,3,0,1,-1,-0.3,1,0.3,0,
6,291,6,6,10/18/2020,TAM,,GNB,"W, 38-10",*,17,27,9,33.3,231,8.6,94,5.5,3.5,72,4.2,0,1,0,3,11.5,6,23.1,12,0,4,4,14.8,0,,0,0,0,0,,0,,0,
7,292,7,7,10/25/2020,TAM,@,LVR,"W, 45-20",*,33,45,22,48.9,399,8.9,239,7.2,5.3,130,3.9,0,2,2,1,2.4,4,9.8,9,0,1,1,2.2,0,,1,1,1,1,1,0,0,0,
8,293,8,8,11/2/2020,TAM,@,NYG,"W, 25-23",*,28,40,18,42.9,364,9.1,185,6.6,4.6,94,3.4,1,0,0,0,0,6,15,9,3,2,7,16.7,0,,1,-1,0,-1,-1,0,0,0,
9,294,9,9,11/8/2020,TAM,,NOR,"L, 3-38",*,22,38,10,24.4,365,9.6,129,5.9,3.4,80,3.6,1,1,0,2,5.4,8,21.6,12,6,6,15,36.6,0,,0,0,0,0,,0,,0,
10,295,10,10,11/15/2020,TAM,@,CAR,"W, 46-23",*,28,39,18,45,324,8.3,173,6.2,4.4,168,6,0,0,0,1,2.6,9,23.1,14,5,6,12,29.3,1,1,2,2,1,1,0.5,1,0.5,0,
11,296,11,11,11/23/2020,TAM,,LAR,"L, 24-27",*,26,48,14,28.6,420,8.8,133,5.1,2.8,83,3.2,0,1,0,4,8.5,13,27.7,9,0,4,5,10.2,0,,0,0,0,0,,0,,0,
12,297,12,12,11/29/2020,TAM,,KAN,"L, 24-27",*,27,41,14,33.3,392,9.6,204,7.6,5,141,5.2,0,0,0,1,2.4,12,29.3,18,2,6,9,21.4,0,,1,-1,0,-1,-1,0,0,0,
13,298,13,14,12/13/2020,TAM,,MIN,"W, 26-14",*,15,23,8,34.8,228,9.9,139,9.3,6,57,3.8,0,0,1,1,4.5,4,18.2,7,1,3,4,17.4,0,,3,-2,0,-2,-0.7,0,0,0,
14,299,14,15,12/20/2020,TAM,@,ATL,"W, 31-27",*,31,45,19,39.6,349,7.8,195,6.3,4.3,195,6.3,0,1,0,3,6.8,10,22.7,21,5,4,12,25,0,,2,-2,0,-2,-1,0,0,0,
15,300,15,16,12/26/2020,TAM,@,DET,"W, 47-7",*,22,27,17,60.7,359,13.3,266,12.1,9.9,82,3.7,0,1,0,0,0,4,15.4,4,1,1,3,10.7,0,,0,0,0,0,,0,,0,
16,301,16,17,1/3/2021,TAM,,ATL,"W, 44-27",*,26,41,20,47.6,449,11,217,8.3,5.3,182,7,0,2,1,2,5.3,9,23.7,14,4,1,6,14,1,2,5,3,1,2,0.4,1,0.2,0,
,,,,,,,,5-Nov,,401,610,233,36.9,5531,9.1,2833,7.1,4.6,1800,4.5,4,13,4,31,5.2,122,20.6,161,34,58,113,17.8,4,2,30,6,6,-2,-0.1,8,0.3,1,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
