,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,319,1,1,9/11/2022,TAM,@,DAL,"W, 19-3",*,18,27,9,31,305,11.3,125,6.9,4.6,87,4.8,0,0,0,2,7.4,5,18.5,6,3,2,7,24.1,0,,2,-1,0,-1,-0.5,0,0,0
2,320,2,2,9/18/2022,TAM,@,NOR,"W, 20-10",*,18,34,8,22.9,318,9.4,109,6.1,3.2,81,4.5,1,0,0,5,14.7,6,17.6,3,0,1,2,5.7,0,,3,-2,0,-2,-0.7,0,0,0
3,321,3,3,9/25/2022,TAM,,GNB,"L, 12-14",*,31,42,15,33.3,236,5.6,147,4.7,3.5,124,4,0,3,0,1,2.6,4,10.3,17,3,1,7,15.6,0,,1,-1,0,-1,-1,0,0,0
4,322,4,4,10/2/2022,TAM,,KAN,"L, 31-41",*,39,52,23,43.4,340,6.5,180,4.6,3.5,205,5.3,0,0,0,0,0,9,17.3,12,0,5,6,11.3,0,,0,0,0,0,,0,,0
5,323,5,5,10/9/2022,TAM,,ATL,"W, 21-15",*,35,52,17,32.7,356,6.8,173,4.9,3.3,178,5.1,0,2,0,3,6,7,14,3,0,4,4,7.7,0,,3,-3,0,-3,-1,0,0,0
6,324,6,6,10/16/2022,TAM,@,PIT,"L, 18-20",*,25,40,11,26.2,302,7.6,156,6.2,3.9,87,3.5,0,2,1,2,5.4,6,16.2,4,1,3,6,14.3,0,,1,0,0,0,0,0,0,0
7,325,7,7,10/23/2022,TAM,@,CAR,"L, 3-21",*,32,49,14,28,295,6,156,4.9,3.2,134,4.2,0,2,0,3,6.4,10,21.3,12,9,2,12,23.5,1,1,1,1,0,0,0,1,1,0
8,326,8,8,10/27/2022,TAM,,BAL,"L, 22-27",*,26,44,13,27.7,288,6.5,148,5.7,3.4,177,6.8,3,0,1,0,0,10,23.3,5,0,3,6,12.5,1,1,1,1,0,1,1,0,0,0
9,327,9,9,11/6/2022,TAM,,LAR,"W, 16-13",*,36,58,15,25.4,271,4.7,153,4.3,2.6,127,3.5,2,1,2,7,12.7,4,7.3,13,2,2,5,8.5,0,,0,0,0,0,,0,,0
10,328,10,10,11/13/2022,TAM,,SEA,"W, 21-16",*,22,29,15,51.7,248,8.6,156,7.1,5.4,102,4.6,0,1,0,0,0,3,10.7,3,0,1,1,3.4,0,,6,-3,0,-3,-0.5,0,0,0
11,329,11,12,11/27/2022,TAM,@,CLE,"L, 17-23 (OT)",*,29,43,9,19.6,336,7.8,78,2.7,1.8,168,5.8,1,0,0,0,0,8,18.6,8,1,2,6,13,0,,1,2,1,2,2,0,0,0
12,330,12,13,12/5/2022,TAM,,NOR,"W, 17-16",*,36,54,19,34.5,307,5.7,131,3.6,2.4,150,4.2,2,1,0,4,7.5,7,13.2,4,1,4,6,10.9,0,,1,-1,0,-1,-1,0,0,0
13,331,13,14,12/11/2022,TAM,@,SFO,"L, 7-35",*,34,55,14,25.5,355,6.5,145,4.3,2.6,108,3.2,1,4,0,1,2,13,25.5,9,1,7,8,14.3,1,1,2,0,0,0,0,0,0,0
14,332,14,15,12/18/2022,TAM,,CIN,"L, 23-34",*,30,44,18,40,314,7.1,187,6.2,4.3,125,4.2,0,2,0,0,0,8,19,4,1,6,8,17.8,0,,2,1,0,1,0.5,0,0,0
15,333,15,16,12/25/2022,TAM,@,ARI,"W, 19-16 (OT)",*,32,48,15,31.3,227,4.7,59,1.8,1.2,222,6.9,1,1,0,2,4.3,8,17,10,0,4,4,8.3,0,,2,1,1,0,0,1,0.5,0
16,334,16,17,1/1/2023,TAM,,CAR,"W, 30-24",*,34,45,17,35.4,308,6.8,247,7.3,5.5,185,5.4,0,3,0,2,4.8,5,11.9,11,1,5,9,18.8,0,,3,4,3,1,0.3,3,1,0
17,335,17,18,1/8/2023,TAM,@,ATL,"L, 17-30",*,13,17,5,29.4,70,4.1,29,2.2,1.7,55,4.2,0,0,0,0,0,3,17.6,6,0,3,3,17.6,0,,0,0,0,0,,0,,0
,,,,,,,,9-Aug,,490,733,237,31.4,4876,6.7,2379,4.9,3.2,2315,4.7,11,22,4,32,4.5,116,16.4,130,23,55,100,13.2,3,1,29,-1,5,-6,-0.2,5,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
