,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,250,1,1,9/9/2018,NOR,,TAM,"L, 40-48",*,37,45,19,41.3,348,7.7,272,7.4,6,167,4.5,0,2,0,1,2.3,3,7,11,3,1,5,10.9,0,,0,0,0,0,,0,,0,
2,251,2,2,9/16/2018,NOR,,CLE,"W, 21-18",*,28,35,11,28.9,255,7.3,113,4,3.2,130,4.6,0,0,0,0,0,5,14.3,20,4,1,8,21.1,0,,1,-1,0,-1,-1,0,0,0,
3,252,3,3,9/23/2018,NOR,@,ATL,"W, 43-37 (OT)",*,39,49,19,38,273,5.6,173,4.4,3.5,223,5.7,0,2,0,2,4.3,5,10.6,8,7,1,9,17.6,1,7,3,7,2,2,0.7,5,1.7,1,3
4,253,4,4,9/30/2018,NOR,@,NYG,"W, 33-18",*,18,32,10,30.3,239,7.5,98,5.4,3.1,119,6.6,0,3,0,2,6.9,5,17.2,13,6,1,8,24.2,0,,4,-1,1,-1,-0.3,0,0,0,
5,254,5,5,10/8/2018,NOR,,WAS,"W, 43-19",*,26,29,15,48.4,160,5.5,158,6.1,5.4,205,7.9,0,1,0,0,0,1,3.6,8,2,1,5,15.6,1,2,2,1,0,1,0.5,0,0,0,
6,255,6,7,10/21/2018,NOR,@,BAL,"W, 24-23",*,22,30,12,38.7,201,6.7,146,6.6,4.9,66,3,0,2,0,2,7.1,3,10.7,15,2,2,5,16.1,0,,4,3,3,3,0.8,0,0,0,
7,256,7,8,10/28/2018,NOR,@,MIN,"W, 30-20",*,18,23,8,34.8,53,2.3,42,2.3,1.8,78,4.3,0,1,0,1,4.5,1,4.5,3,2,0,2,8.7,0,,0,0,0,0,,0,,0,
8,257,8,9,11/4/2018,NOR,,LAR,"W, 45-35",*,25,36,19,52.8,340,9.4,194,7.8,5.4,152,6.1,0,0,0,1,2.8,7,19.4,12,4,4,8,21.1,2,9,4,16,1,16,4,0,0,0,
9,258,9,10,11/11/2018,NOR,@,CIN,"W, 51-14",*,22,25,12,48,141,5.6,123,5.6,4.9,142,6.5,0,0,0,1,4,2,8,4,3,1,4,16,0,,2,3,2,3,1.5,0,0,0,
10,259,10,11,11/18/2018,NOR,,PHI,"W, 48-7",*,22,30,20,66.7,372,12.4,248,11.3,8.3,115,5.2,0,0,0,2,6.7,6,20,10,1,1,2,6.7,0,,0,0,0,0,,0,,0,
11,260,11,12,11/22/2018,NOR,,ATL,"W, 31-17",*,15,22,9,39.1,276,12.5,139,9.3,6.3,32,2.1,0,0,0,1,4.5,3,13.6,1,0,0,1,4.3,0,,4,-4,0,-4,-1,0,0,0,
12,261,12,13,11/29/2018,NOR,@,DAL,"L, 10-13",*,18,28,6,20,106,3.8,53,2.9,1.9,74,4.1,0,0,0,2,7.1,2,7.1,3,2,4,8,26.7,0,,1,2,1,2,2,0,0,0,
13,262,13,14,12/9/2018,NOR,@,TAM,"W, 28-14",*,24,31,13,40.6,193,6.2,135,5.6,4.4,66,2.8,0,0,0,2,6.5,4,12.9,6,0,3,4,12.5,0,,3,-1,1,-1,-0.3,0,0,0,
14,263,14,15,12/17/2018,NOR,@,CAR,"W, 12-9",*,23,35,8,21.6,214,6.1,106,4.6,3,97,4.2,0,1,0,3,8.8,0,0,8,6,1,9,24.3,0,,2,-2,0,-2,-1,0,0,0,
15,264,15,16,12/23/2018,NOR,,PIT,"W, 31-28",*,27,39,16,39,324,8.3,165,6.1,4.2,161,6,0,1,0,2,5.3,2,5.3,15,1,3,6,14.6,0,,1,-1,0,-1,-1,0,0,0,
,,,,,,,,13-2,,364,489,197,38.9,3495,7.1,2165,5.9,4.4,1827,5,0,13,0,22,4.6,49,10.3,137,43,24,84,16.5,4,6.8,31,22,11,17,0.5,5,0.2,1,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
