,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,265,1,1,9/9/2019,NOR,,HOU,"W, 30-28",*,32,43,19,43.2,295,6.9,236,7.4,5.5,134,4.2,1,2,2,1,2.6,5,12.8,8,5,3,9,20.5,0,0,0,0,0,,0,,0
3,267,8,8,10/27/2019,NOR,,ARI,"W, 31-9",*,34,43,20,46.5,228,5.3,131,3.9,3,242,7.1,1,0,0,1,2.3,7,16.3,18,6,4,10,23.3,0,0,0,0,0,,0,,0
4,268,9,10,11/10/2019,NOR,,ATL,"L, 9-26",*,32,45,12,23.5,260,5.8,137,4.3,3,150,4.7,0,0,2,1,2.3,7,16.3,10,2,4,12,23.5,0,0,0,0,0,,0,,0
5,269,10,11,11/17/2019,NOR,@,TAM,"W, 34-17",*,28,35,14,40,157,4.5,97,3.5,2.8,131,4.7,0,1,0,1,2.9,3,8.8,14,3,2,5,14.3,0,3,0,1,0,0,0,0,0
6,270,11,12,11/24/2019,NOR,,CAR,"W, 34-31",*,30,39,17,41.5,374,9.6,187,6.2,4.8,124,4.1,0,0,1,0,0,3,7.9,10,0,2,4,9.8,0,0,0,0,0,,0,,0
7,271,12,13,11/28/2019,NOR,@,ATL,"W, 26-18",*,18,30,10,33.3,167,5.6,75,4.2,2.5,109,6.1,2,2,0,3,10.7,3,10.7,14,1,0,1,3.3,0,1,-1,0,-1,-1,0,0,0
8,272,13,14,12/8/2019,NOR,,SFO,"L, 46-48",*,29,40,17,42.5,215,5.4,154,5.3,3.9,195,6.7,0,1,0,2,5.1,2,5.1,14,1,0,1,2.5,0,1,1,1,1,1,0,0,0
9,273,14,15,12/16/2019,NOR,,IND,"W, 34-7",*,29,30,18,60,202,6.7,204,7,6.8,103,3.6,0,0,0,0,0,1,3.3,9,1,2,3,10,0,0,0,0,0,,0,,0
10,274,15,16,12/22/2019,NOR,@,TEN,"W, 38-28",*,27,38,15,36.6,262,6.9,137,5.1,3.6,142,5.3,0,1,0,1,2.7,5,13.5,9,2,0,5,12.2,0,3,-3,0,-3,-1,0,0,0
11,275,16,17,12/29/2019,NOR,@,CAR,"W, 42-10",*,19,30,15,50,214,7.1,99,5.2,3.3,154,8.1,0,2,0,2,7.1,2,7.1,9,4,0,4,13.3,0,1,-1,0,-1,-1,0,0,0
,,,,,,,,3-Aug,,281,378,159,40.8,2429,6.4,1488,5.3,3.9,1491,5.3,4,9,5,12,3.3,39,10.7,115,26,17,55,14.1,0,9,-4,2,-4,-0.4,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
