,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,276,1,1,9/13/2020,NOR,,TAM,"W, 34-23",*,18,30,9,29,145,4.8,61,3.4,2,99,5.5,0,1,0,2,6.9,7,24.1,13,4,2,7,21.9,1,1,2,0,0,0,0,0,0,0
2,277,2,2,9/21/2020,NOR,@,LVR,"L, 24-34",*,26,38,17,44.7,196,5.2,99,3.8,2.6,213,8.2,1,0,0,2,5.3,6,15.8,9,0,7,7,18.4,0,,0,0,0,0,,0,,0
3,278,3,3,9/27/2020,NOR,,GNB,"L, 30-37",*,29,36,14,36.8,152,4.2,125,4.3,3.5,163,5.6,1,0,1,2,5.7,1,2.9,5,1,0,3,7.9,0,,0,0,0,0,,0,,0
4,279,4,4,10/4/2020,NOR,@,DET,"W, 35-29",*,19,25,15,55.6,233,9.3,156,8.2,6.2,90,4.7,0,0,0,0,0,5,20,2,0,4,6,22.2,0,,3,-3,0,-3,-1,0,0,0
5,280,5,5,10/12/2020,NOR,,LAC,"W, 30-27 (OT)",*,33,47,17,34.7,318,6.8,225,6.8,4.8,100,3,1,1,0,4,8.7,7,15.2,9,0,3,5,10.2,0,,1,1,1,1,1,0,0,0
6,281,6,7,10/25/2020,NOR,,CAR,"W, 27-24",*,29,36,16,43.2,178,4.9,150,5.2,4.2,137,4.7,0,1,1,1,2.9,2,5.9,6,1,2,4,10.8,0,,3,2,2,0,0,2,0.7,0
7,282,7,8,11/1/2020,NOR,@,CHI,"W, 26-23 (OT)",*,31,41,11,26.2,190,4.6,111,3.6,2.7,169,5.5,0,0,0,2,4.9,5,12.2,9,3,2,6,14,1,2,3,4,1,2,0.7,2,0.7,0
8,283,8,9,11/8/2020,NOR,@,TAM,"W, 38-3",*,26,32,12,36.4,161,5,141,5.4,4.4,81,3.1,0,1,0,1,3.2,3,9.7,15,2,3,6,18.2,0,,2,-2,0,-2,-1,0,0,0
9,284,9,10,11/15/2020,NOR,,SFO,"W, 27-13",*,8,13,4,30.8,52,4,9,1.1,0.7,67,8.4,0,0,0,0,0,3,23.1,3,0,1,1,7.7,0,,1,-1,0,-1,-1,0,0,0
10,285,14,15,12/20/2020,NOR,,KAN,"L, 29-32",*,15,34,10,28.6,272,8,95,6.3,2.8,139,9.3,0,1,0,4,12.1,5,15.2,5,0,6,7,20,0,,0,0,0,0,,0,,0
11,286,15,16,12/25/2020,NOR,,MIN,"W, 52-33",*,19,26,13,50,263,10.1,174,9.2,6.7,137,7.2,0,0,0,2,7.7,2,7.7,5,1,2,3,11.5,0,,3,-3,0,-3,-1,0,0,0
12,287,16,17,1/3/2021,NOR,@,CAR,"W, 33-7",*,22,32,11,32.4,201,6.3,118,5.4,3.7,83,3.8,0,2,0,1,3.3,5,16.7,11,1,3,6,17.6,0,,0,0,0,0,,0,,0
,,,,,,,,3-Sep,,275,390,149,37,2361,6.1,1464,5.3,3.8,1478,5.4,3,7,2,21,5.5,51,13.4,92,13,35,61,15.1,2,1.5,18,-2,4,-6,-0.3,4,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
