,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,60,1,1,9/12/2021,DEN,@,NYG,"W, 27-13",*,28,36,17,44.7,312,8.7,177,6.3,4.9,87,3.1,1,1,0,2,5.7,2,5.7,18,3,4,9,22,3,6.3,3,19,1,8,2.7,11,3.7,0,
2,61,2,2,9/19/2021,DEN,@,JAX,"W, 23-13",*,26,34,11,29.7,389,11.4,197,7.6,5.8,131,5,0,0,0,0,0,5,14.7,10,8,5,16,42.1,1,2,4,1,2,0,0,1,0.3,0,
3,62,3,3,9/26/2021,DEN,,NYJ,"W, 26-0",*,19,25,10,37,200,8,137,7.2,5.5,98,5.2,0,1,0,0,0,4,16.7,7,5,2,9,31,2,11.5,4,24,2,19,4.8,5,1.3,1,4
4,63,4,4,10/3/2021,DEN,,BAL,"L, 7-23",*,7,16,5,27.8,160,10,29,4.1,1.8,36,5.1,1,0,0,0,0,7,43.8,9,5,3,10,52.6,1,2,1,2,0,2,2,0,0,0,
5,64,5,5,10/10/2021,DEN,@,PIT,"L, 19-27",*,24,38,14,35,336,8.8,225,9.4,5.9,63,2.6,2,3,0,2,5.7,4,11.4,11,5,2,9,22,1,11,1,11,0,8,8,3,3,0,
6,65,6,6,10/17/2021,DEN,,LVR,"L, 24-34",*,35,49,18,33.3,491,10,213,6.1,4.3,121,3.5,1,1,0,1,2.1,7,14.6,4,5,5,15,26.8,2,4.5,2,9,1,6,3,3,1.5,0,
7,66,7,7,10/21/2021,DEN,@,CLE,"L, 14-17",*,23,33,11,31.4,174,5.3,85,3.7,2.6,102,4.4,0,1,0,1,3.1,4,12.5,3,3,3,8,22.9,0,,2,3,2,0,0,3,1.5,0,
8,67,8,8,10/31/2021,DEN,,WAS,"W, 17-10",*,19,26,10,33.3,185,7.1,129,6.8,5,84,4.4,0,1,0,1,4,3,12,11,0,4,8,26.7,0,,1,1,1,1,1,0,0,0,
9,68,9,9,11/7/2021,DEN,@,DAL,"W, 30-16",*,19,28,9,28.1,225,8,104,5.5,3.7,145,7.6,0,3,0,0,0,4,16,10,5,1,10,31.3,0,,3,-1,1,-2,-0.7,1,0.3,0,
10,69,10,10,11/14/2021,DEN,,PHI,"L, 13-30",*,22,36,9,24.3,208,5.8,106,4.8,2.9,120,5.5,0,2,0,2,5.9,8,23.5,7,6,2,9,24.3,0,,0,0,0,0,,0,,0,
11,70,11,12,11/28/2021,DEN,,LAC,"W, 28-13",*,11,18,8,44.4,121,6.7,39,3.5,2.2,90,8.2,1,1,0,0,0,4,23.5,8,4,2,6,31.6,1,11,2,10,1,10,5,0,0,0,
12,71,12,13,12/5/2021,DEN,@,KAN,"L, 9-22",*,22,40,10,24.4,269,6.7,85,3.9,2.1,172,7.8,3,4,0,1,2.8,6,16.7,9,10,5,16,36.4,3,5.3,4,17,2,10,2.5,7,1.8,0,
13,72,13,14,12/12/2021,DEN,,DET,"W, 38-10",*,18,25,10,38.5,179,7.2,97,5.4,3.9,82,4.6,0,0,0,1,4,5,20,4,3,3,7,26.9,0,,0,0,0,0,,0,,0,
14,73,14,15,12/19/2021,DEN,,CIN,"L, 10-15",*,12,22,4,16.7,170,7.7,35,2.9,1.6,63,5.3,0,2,0,2,10,5,25,7,2,1,5,20,1,6,3,10,3,9,3,1,0.3,0,
,,,,,,,,7-Jul,,285,426,146,31.9,3419,8,1658,5.8,3.9,1394,4.9,9,20,0,13,3.2,68,16.7,118,64,42,137,29,15,6.6,30,106,16,71,2.4,35,1.2,1,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
