,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,61,1,1,9/11/2022,CLE,@,CAR,"W, 26-24",*,18,34,7,20,247,7.3,90,5,2.6,57,3.2,0,2,2,2,6.7,7,23.3,8,6,2,9,23.7,3,2.7,4,10,1,7,1.8,3,0.8,0,
2,62,2,2,9/18/2022,CLE,,NYJ,"L, 30-31",*,22,27,15,53.6,129,4.8,92,4.2,3.4,137,6.2,0,0,0,1,3.7,1,3.7,3,5,2,8,25,4,10.5,6,43,3,42,7,1,0.2,0,
3,63,3,3,9/22/2022,CLE,,PIT,"W, 29-17",*,21,31,12,36.4,207,6.7,107,5.1,3.5,113,5.4,1,0,0,3,9.7,3,9.7,13,1,1,4,12.1,0,,3,11,3,4,1.3,7,2.3,0,
4,64,4,4,10/2/2022,CLE,@,ATL,"L, 20-23",*,21,35,9,25,281,8,160,7.6,4.6,74,3.5,1,0,0,1,2.9,9,25.7,8,1,5,7,18.4,2,3,5,16,4,6,1.2,10,2,0,
5,65,5,5,10/9/2022,CLE,,LAC,"L, 28-30",*,21,34,15,44.1,301,8.9,160,7.6,4.7,70,3.3,0,2,0,3,9.4,5,15.6,10,2,3,5,13.9,2,14.5,3,32,2,17,5.7,15,5,1,3
6,66,6,6,10/16/2022,CLE,,NWE,"L, 15-38",*,21,45,12,24.5,492,10.9,188,9,4.2,78,3.7,1,3,0,7,16.7,7,16.7,13,1,5,10,20.4,0,,1,0,0,0,0,0,0,0,
7,67,7,7,10/23/2022,CLE,@,BAL,"L, 20-23",*,22,27,8,25,178,6.6,154,7,5.7,104,4.7,1,2,0,0,0,2,8,6,2,1,8,23.5,2,8.5,3,18,2,15,5,3,1,0,
8,68,8,8,10/31/2022,CLE,,CIN,"W, 32-13",*,17,22,12,50,207,9.4,174,10.2,7.9,104,6.1,0,2,1,2,10.5,0,0,12,3,3,8,32,1,3,6,12,4,0,0,12,2,0,
9,69,9,10,11/13/2022,CLE,@,MIA,"L, 17-39",*,22,35,10,26.3,321,9.2,130,5.9,3.7,82,3.7,0,1,0,0,0,5,14.7,11,8,8,19,45.2,4,9.3,7,40,4,38,5.4,2,0.3,0,
10,70,10,11,11/20/2022,CLE,@,BUF,"L, 23-31",*,28,41,19,45.2,346,8.4,149,5.3,3.6,175,6.3,1,2,0,3,7.7,3,7.7,9,9,4,14,31.1,3,10,7,29,1,29,4.1,0,0,0,
11,71,11,12,11/27/2022,CLE,,TAM,"W, 23-17 (OT)",*,23,37,10,24.4,420,11.4,109,4.7,2.9,101,4.4,0,2,0,3,8.6,5,14.3,8,1,5,10,23.3,2,13.5,2,27,2,10,5,17,8.5,1,2
,,,,,,,,9-Jul,,236,369,129,32.8,3154,8.5,1513,6.4,4.1,1095,4.6,5,16,3,25,7.1,48,13.7,101,39,39,102,24.5,23,8.7,49,243,28,170,3.5,73,1.5,2,24.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
