,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
2,2,10,11,11/16/2023,CIN,@,BAL,"L, 20-34",,8,14,5,29.4,148,10.6,41,5.1,2.9,27,3.4,0,0,0,1,7.1,1,7.1,2,1,0,4,19,4,10,4,40,2,32,8,8,2,0
3,3,11,12,11/26/2023,CIN,,PIT,"L, 10-16",*,19,26,9,30,132,5.1,99,5.2,3.8,128,6.7,1,1,0,0,0,1,4,8,1,1,6,18.8,2,5,3,9,0,7,2.3,2,0.7,0
4,4,12,13,12/4/2023,CIN,@,JAX,"W, 34-31 (OT)",*,32,37,17,43.6,166,4.5,150,4.7,4.1,204,6.4,1,2,0,2,5.7,0,0,12,6,3,11,27.5,1,21,2,22,2,4,2,18,9,0
5,5,13,14,12/10/2023,CIN,,IND,"W, 34-14",*,18,24,11,45.8,108,4.5,70,3.9,2.9,205,11.4,1,0,0,2,8.3,1,4.2,2,0,3,3,11.5,2,3,3,7,1,7,2.3,0,0,0
6,6,14,15,12/16/2023,CIN,,MIN,"W, 27-24 (OT)",*,29,42,17,37,377,9,164,5.7,3.9,160,5.5,2,2,0,1,2.5,4,10,23,8,3,15,32.6,0,,4,0,1,-2,-0.5,2,0.5,0
7,7,15,16,12/23/2023,CIN,@,PIT,"L, 11-34",*,28,42,13,28.9,256,6.1,141,5,3.4,194,6.9,1,1,0,0,0,6,14.6,13,3,6,12,26.7,0,,1,0,0,0,0,0,0,0
8,8,16,17,12/31/2023,CIN,@,KAN,"L, 17-25",*,19,33,11,28.2,256,7.8,85,4.5,2.6,112,5.9,1,2,0,1,3.2,7,22.6,11,3,7,16,36.4,5,5.6,7,32,5,26,3.7,6,0.9,0
9,9,17,18,1/7/2024,CIN,,CLE,"W, 31-14",*,18,24,10,38.5,105,4.4,77,4.3,3.2,79,4.4,0,0,0,2,8.3,3,12.5,8,3,2,7,25,2,9,2,18,1,18,9,0,0,0
,,,,,,,,5-Apr,,171,243,93,34.8,1563,6.4,827,4.8,3.4,1109,6.5,7,8,0,9,3.8,23,9.8,80,25,26,75,26.5,16,7.7,27,127,12,91,3.4,36,1.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
