,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,11,1,1,9/12/2021,CIN,,MIN,"W, 27-24 (OT)",*,20,27,12,37.5,220,8.1,137,6.9,5.1,124,6.2,0,0,1,0,0,5,19.2,10,3,2,10,31.3,0,,1,2,1,1,1,1,1,0,
2,12,2,2,9/19/2021,CIN,@,CHI,"L, 17-20",*,19,30,10,28.6,227,7.6,127,6.7,4.2,80,4.2,0,1,0,1,3.4,3,10.3,5,2,4,11,31.4,0,,0,0,0,0,,0,,0,
3,13,3,3,9/26/2021,CIN,@,PIT,"W, 24-10",*,14,18,7,38.9,160,8.9,93,6.6,5.2,79,5.6,0,0,0,1,5.6,2,11.1,5,0,0,0,0,2,5.5,5,7,1,4,0.8,3,0.6,0,
4,14,4,4,9/30/2021,CIN,,JAX,"W, 24-21",*,25,32,16,48.5,212,6.6,134,5.4,4.2,214,8.6,1,0,0,1,3.1,4,12.5,10,2,2,5,15.2,0,,3,4,0,2,0.7,2,0.7,0,
5,15,5,5,10/10/2021,CIN,,GNB,"L, 22-25 (OT)",*,26,38,12,29.3,306,8.1,156,6,4.1,125,4.8,2,1,0,4,10.8,2,5.4,7,5,4,12,28.6,1,9,3,11,1,8,2.7,3,1,0,
6,16,6,6,10/17/2021,CIN,@,DET,"W, 34-11",*,19,29,9,29,225,7.8,137,7.2,4.7,134,7.1,0,1,0,1,3.6,4,14.3,9,0,3,5,13.9,5,4,5,20,2,15,3,5,1,1,5
7,17,7,7,10/24/2021,CIN,@,BAL,"W, 41-17",*,23,38,15,38.5,394,10.4,217,9.4,5.7,199,8.7,1,1,1,0,0,7,19.4,14,5,5,11,28.2,0,,1,0,0,0,0,0,0,0,
8,18,8,8,10/31/2021,CIN,@,NYJ,"L, 31-34",*,21,34,12,32.4,210,6.2,138,6.6,4.1,121,5.8,3,1,0,1,3,4,12.1,9,5,2,10,27,0,,1,-1,0,-1,-1,0,0,0,
9,19,9,9,11/7/2021,CIN,,CLE,"L, 16-41",*,28,40,15,33.3,376,9.4,122,4.4,3.1,160,5.7,0,1,0,3,7.7,2,5.1,7,4,6,15,33.3,0,,2,1,0,1,0.5,0,0,0,
10,20,10,11,11/21/2021,CIN,@,LVR,"W, 32-13",*,20,29,10,31.3,220,7.6,63,3.2,2.2,85,4.3,0,1,0,0,0,2,7.1,2,4,2,9,25.7,3,3.7,3,11,2,7,2.3,4,1.3,1,3
11,21,11,12,11/28/2021,CIN,,PIT,"W, 41-10",*,20,24,11,42.3,176,7.3,98,4.9,4.1,92,4.6,0,1,0,0,0,2,8.7,9,1,1,4,14.8,1,8,1,8,1,5,5,3,3,0,
12,22,12,13,12/5/2021,CIN,,LAC,"L, 22-41",*,24,40,14,30.4,378,9.5,202,8.4,5.1,98,4.1,0,2,0,4,10.5,6,15.8,10,6,5,17,36.2,1,6,1,6,1,6,6,0,0,0,
13,23,13,14,12/12/2021,CIN,,SFO,"L, 23-26 (OT)",*,25,34,16,41,291,8.6,190,7.6,5.6,158,6.3,1,0,0,3,8.8,2,5.9,4,1,2,8,20,1,4,2,3,0,-1,-0.5,4,2,0,
14,24,14,15,12/19/2021,CIN,@,DEN,"W, 15-10",*,15,22,5,20,161,7.3,67,4.5,3,90,6,0,1,0,0,0,4,19,3,3,2,8,27.6,4,6.5,5,25,3,25,5,0,0,0,
15,25,15,16,12/26/2021,CIN,,BAL,"W, 41-21",*,37,46,26,53.1,373,8.1,269,7.3,5.8,256,6.9,0,0,0,2,4.3,2,4.3,11,3,2,8,16,1,12,2,11,1,11,5.5,0,0,0,
16,26,16,17,1/2/2022,CIN,,KAN,"W, 34-31",*,30,39,12,27.9,263,6.7,182,6.1,4.7,264,8.8,0,1,0,2,5.3,3,7.9,10,2,6,12,26.7,2,3.5,5,10,1,1,0.2,9,1.8,0,
,,,,,,,,6-Oct,,366,520,202,35.4,4192,8.1,2332,6.4,4.5,2279,6.2,8,12,2,23,4.5,54,10.7,125,46,48,145,24.5,21,5.4,40,118,14,84,2.1,34,0.9,2,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
