,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,27,1,1,9/11/2022,CIN,,PIT,"L, 20-23 (OT)",*,33,53,22,36.7,357,6.7,146,4.4,2.8,192,5.8,2,0,0,1,1.9,8,15.1,9,1,6,14,21.5,5,9,6,47,3,43,7.2,4,0.7,0
2,28,2,2,9/18/2022,CIN,@,DAL,"L, 17-20",*,24,36,13,31,201,5.6,91,3.8,2.5,108,4.5,1,3,0,1,3,4,12.1,8,3,4,13,28.9,3,9,4,26,1,26,6.5,0,0,0
3,29,3,3,9/25/2022,CIN,@,NYJ,"W, 27-12",*,23,36,12,31.6,279,7.8,146,6.3,4.1,129,5.6,0,1,0,5,14.3,5,14.3,9,2,7,11,28.2,1,5,5,0,1,0,0,0,0,0
4,30,4,4,9/29/2022,CIN,,MIA,"W, 27-15",*,20,31,10,31.3,304,9.8,140,7,4.5,147,7.4,0,0,0,2,6.5,8,25.8,7,0,2,3,8.8,2,4.5,5,6,0,6,1.2,0,0,0
5,31,5,5,10/9/2022,CIN,@,BAL,"L, 17-19",*,24,35,10,27,120,3.4,56,2.3,1.6,161,6.7,3,1,0,0,0,7,20.6,3,0,2,4,10.8,0,,3,6,2,6,2,0,0,0
6,32,6,6,10/16/2022,CIN,@,NOR,"W, 30-26",*,28,37,13,32.5,228,6.2,124,4.4,3.4,176,6.3,1,1,0,2,5.6,4,11.1,7,2,3,8,19,2,12,4,25,2,25,6.3,0,0,0
7,33,7,7,10/23/2022,CIN,,ATL,"W, 35-17",*,34,42,22,48.9,363,8.6,312,9.2,7.4,169,5,1,0,0,2,4.8,4,9.5,1,3,3,9,20,0,,3,20,2,20,6.7,0,0,0
8,34,8,8,10/31/2022,CIN,@,CLE,"L, 13-32",*,25,35,9,22.5,200,5.7,117,4.7,3.3,115,4.6,3,1,0,2,5.9,2,5.9,6,1,2,8,20,0,,1,2,1,0,0,2,2,0
9,35,9,9,11/6/2022,CIN,,CAR,"W, 42-21",*,22,28,9,31,170,6.1,130,5.9,4.6,76,3.5,2,1,0,1,3.7,1,3.7,7,0,1,2,6.9,0,,4,9,3,5,1.3,4,1,0
10,36,10,11,11/20/2022,CIN,@,PIT,"W, 37-30",*,24,39,18,43.9,303,7.8,184,7.7,4.7,171,7.1,4,2,0,1,2.7,6,16.2,19,3,4,9,21.4,1,2,4,5,0,3,0.8,2,0.5,0
11,37,11,12,11/27/2022,CIN,@,TEN,"W, 20-16",*,22,37,11,28.9,239,6.5,165,7.5,4.5,105,4.8,1,1,0,1,2.8,7,19.4,4,2,3,6,14.3,4,9,9,32,2,32,3.6,0,0,0
12,38,12,13,12/4/2022,CIN,,KAN,"W, 27-24",*,25,31,15,46.9,231,7.5,139,5.6,4.5,147,5.9,1,0,0,3,9.7,2,6.5,8,0,0,1,2.8,4,5.8,11,46,4,27,2.5,19,1.7,0
13,39,13,14,12/11/2022,CIN,,CLE,"W, 23-10",*,18,33,11,32.4,225,6.8,162,9,4.9,77,4.3,4,1,0,3,9.4,5,15.6,4,2,2,5,13.9,2,5.5,6,10,3,4,0.7,6,1,0
14,40,14,15,12/18/2022,CIN,@,TAM,"W, 34-23",*,27,39,14,34.1,209,5.4,86,3.2,2.2,114,4.2,0,0,1,2,5.3,4,10.5,11,0,4,6,14.3,1,10,3,8,1,8,2.7,0,0,0
15,41,15,16,12/24/2022,CIN,@,NWE,"W, 22-18",*,40,52,18,33.3,334,6.4,214,5.4,4.1,161,4,0,3,0,4,8.2,3,6.1,4,2,2,6,10.9,1,5,4,5,2,5,1.3,0,0,0
16,42,16,18,1/8/2023,CIN,,BAL,"W, 27-16",*,25,42,12,27.3,358,8.5,107,4.3,2.5,108,4.3,1,2,0,4,10,6,15,3,1,3,6,13.3,1,6,3,10,0,10,3.3,0,0,0
,,,,,,,,4-Dec,,414,606,219,33.8,4121,6.8,2319,5.6,3.8,2156,5.2,24,17,1,34,5.8,76,12.9,110,22,48,111,16.5,27,7.5,75,257,27,220,2.9,37,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
