,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,95,1,1,9/13/2020,LVR,@,CAR,"W, 34-30",*,22,30,10,33.3,166,5.5,81,3.7,2.7,158,7.2,1,2,0,0,0,3,10.7,7,3,0,3,10,0,,0,0,0,0,,0,,0,
2,96,2,2,9/21/2020,LVR,,NOR,"W, 34-24",*,28,38,18,43.9,265,7,137,4.9,3.6,147,5.3,0,2,0,0,0,5,13.9,17,3,1,7,16.7,1,3,3,3,0,3,1,0,0,0,
3,97,3,3,9/27/2020,LVR,@,NWE,"L, 20-36",*,24,32,13,38.2,247,7.7,146,6.1,4.6,115,4.8,0,0,0,0,0,1,3.1,7,7,4,13,36.1,2,5,2,10,1,9,4.5,1,0.5,0,
4,98,4,4,10/4/2020,LVR,,BUF,"L, 23-30",*,32,44,16,34.8,267,6.1,173,5.4,3.9,138,4.3,1,0,1,3,7,5,11.6,16,1,3,6,12,4,5,4,20,2,19,4.8,1,0.3,0,
5,99,5,5,10/11/2020,LVR,@,KAN,"W, 40-32",*,22,31,12,37.5,271,8.7,166,7.5,5.4,181,8.2,1,0,0,1,3.2,7,22.6,12,5,3,9,28.1,0,,4,1,2,-1,-0.3,2,0.5,0,
6,100,6,7,10/25/2020,LVR,,TAM,"L, 20-45",*,24,36,12,30.8,315,8.8,147,6.1,4.1,137,5.7,0,0,0,1,2.8,8,22.2,20,4,3,10,24.4,2,9.5,2,19,2,19,9.5,0,0,0,
7,101,7,8,11/1/2020,LVR,@,CLE,"W, 16-6",*,15,24,7,26.9,140,5.8,51,3.4,2.1,60,4,1,1,1,2,9.1,3,13.6,3,2,0,4,13.3,4,6,6,41,2,38,6.3,3,0.5,1,6
8,102,8,9,11/8/2020,LVR,@,LAC,"W, 31-26",*,13,23,6,25,281,12.2,109,8.4,4.7,56,4.3,0,0,0,1,4.3,3,13,6,1,3,5,19.2,2,7,2,14,1,13,6.5,1,0.5,0,
9,103,9,10,11/15/2020,LVR,,DEN,"W, 37-12",*,16,25,8,32,219,8.8,90,5.6,3.6,64,4,0,3,0,2,9.1,3,13.6,5,2,0,2,7.4,2,6,4,10,0,10,2.5,0,0,0,
10,104,10,11,11/22/2020,LVR,,KAN,"L, 31-35",*,23,31,17,54.8,237,7.6,120,5.2,3.9,155,6.7,0,2,0,3,10.3,2,6.9,10,3,1,4,12.1,2,3.5,3,6,0,6,2,0,0,0,
11,105,11,12,11/29/2020,LVR,@,ATL,"L, 6-43",*,22,34,10,27,244,7.2,95,4.3,2.8,120,5.5,0,2,0,1,3.1,7,21.9,16,6,4,13,35.1,0,,0,0,0,0,,0,,0,
12,106,12,13,12/6/2020,LVR,@,NYJ,"W, 31-28",*,28,47,17,34.7,499,10.6,211,7.5,4.5,170,6.1,1,0,1,2,4.3,13,28.3,28,3,4,9,17.6,2,2.5,2,5,1,5,2.5,0,0,0,
13,107,13,14,12/13/2020,LVR,,IND,"L, 27-44",*,31,45,16,35.6,299,6.6,160,5.2,3.6,156,5,0,1,0,4,9.1,5,11.4,4,6,2,8,17,2,5,3,12,3,11,3.7,1,0.3,0,
14,108,14,15,12/17/2020,LVR,,LAC,"L, 27-30 (OT)",*,3,5,2,33.3,37,7.4,26,8.7,5.2,27,9,0,1,0,0,0,1,25,0,1,1,3,50,0,,0,0,0,0,,0,,0,
15,109,15,16,12/26/2020,LVR,,MIA,"L, 25-26",*,21,34,15,40.5,318,9.4,187,8.9,5.5,149,7.1,0,3,1,0,0,6,20,16,5,1,9,24.3,0,,2,-2,1,-2,-1,0,0,0,
16,110,16,17,1/3/2021,LVR,@,DEN,"W, 32-31",*,24,38,13,31.7,379,10,248,10.3,6.5,123,5.1,0,3,0,0,0,7,20,6,4,3,10,24.4,0,,2,1,1,0,0,1,0.5,0,
,,,,,,,,8-Aug,,348,517,192,35.4,4184,8.1,2147,6.2,4.2,1956,5.6,5,20,4,20,4.1,79,16,173,56,33,115,20.3,23,5.4,39,140,16,130,3.3,10,0.3,1,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
