,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,128,1,1,9/11/2022,LVR,@,LAC,"L, 19-24",*,22,37,17,40.5,341,9.2,169,7.7,4.6,126,5.7,2,2,0,0,0,9,25.7,7,2,4,11,26.2,0,,0,0,0,0,,0,,0
2,129,2,2,9/18/2022,LVR,,ARI,"L, 23-29 (OT)",*,25,39,14,35,233,6,106,4.2,2.7,146,5.8,2,0,0,0,0,10,25.6,17,0,4,5,12.2,1,9,1,9,0,9,9,0,0,0
3,130,3,3,9/25/2022,LVR,@,TEN,"L, 22-24",*,26,44,14,31.1,405,9.2,214,8.2,4.9,89,3.4,1,3,0,3,7.3,9,22,2,5,3,9,19.1,2,8.5,2,17,2,17,8.5,0,0,0
4,131,4,4,10/2/2022,LVR,,DEN,"W, 32-23",*,21,34,11,30.6,278,8.2,107,5.1,3.1,81,3.9,1,4,0,2,6.7,5,16.7,7,1,3,6,15.4,3,12,7,40,5,30,4.3,10,1.4,0
5,132,5,5,10/10/2022,LVR,@,KAN,"L, 29-30",*,19,30,6,18.8,308,10.3,139,7.3,4.6,102,5.4,0,3,0,1,3.7,6,22.2,11,5,4,11,33.3,1,3,1,3,0,3,3,0,0,0
6,133,6,7,10/23/2022,LVR,,HOU,"W, 38-20",*,21,27,13,46.4,197,7.3,136,6.5,5,105,5,0,3,0,0,0,2,8.3,2,2,2,5,17.9,0,,3,-1,0,-1,-0.3,0,0,0
7,134,7,8,10/30/2022,LVR,@,NOR,"L, 0-24",*,15,26,5,17.2,212,8.2,13,0.9,0.5,88,5.9,0,1,0,1,4,8,32,4,0,3,6,20.7,0,,1,-1,0,-1,-1,0,0,0
8,135,8,9,11/6/2022,LVR,@,JAX,"L, 20-27",*,21,36,11,28.9,355,9.9,137,6.5,3.8,122,5.8,0,0,0,3,8.3,6,16.7,9,10,1,13,34.2,0,,0,0,0,0,,0,,0
9,136,9,10,11/13/2022,LVR,,IND,"L, 20-25",*,24,38,10,25,312,8.2,88,3.7,2.3,160,6.7,0,1,0,4,10.8,3,8.1,4,0,2,4,10,0,,0,0,0,0,,0,,0
10,137,10,11,11/20/2022,LVR,@,DEN,"W, 22-16 (OT)",*,23,37,10,26.3,339,9.2,190,8.3,5.1,117,5.1,2,0,0,2,5.4,8,21.6,17,2,3,6,15.8,0,,0,0,0,0,,0,,0
11,138,11,12,11/27/2022,LVR,@,SEA,"W, 40-34 (OT)",*,25,36,14,37.8,309,8.6,163,6.5,4.5,132,5.3,1,0,0,1,2.8,5,13.9,8,0,3,4,10.3,2,5,2,10,1,10,5,0,0,0
12,139,12,13,12/4/2022,LVR,,LAC,"W, 27-20",*,16,30,11,36.7,345,11.5,177,11.1,5.9,73,4.6,0,3,0,1,3.7,6,22.2,12,2,2,4,13.3,0,,0,0,0,0,,0,,0
13,140,13,14,12/8/2022,LVR,@,LAR,"L, 16-17",*,11,20,6,30,190,9.5,99,9,5,38,3.5,0,1,0,3,15.8,4,21.1,3,0,3,3,13,3,2.7,4,11,1,10,2.5,1,0.3,0
14,141,14,15,12/18/2022,LVR,,NWE,"W, 30-24",*,20,38,10,24.4,483,12.7,179,9,4.7,52,2.6,0,6,0,2,6.3,6,18.8,7,4,1,8,19.5,0,,0,0,0,0,,0,,0
15,142,15,16,12/24/2022,LVR,@,PIT,"L, 10-13",*,16,30,9,27.3,282,9.4,92,5.8,3.1,82,5.1,2,0,0,2,6.7,8,26.7,9,0,2,5,14.3,2,6.5,3,14,1,13,4.3,1,0.3,0
,,,,,,,,9-Jun,,305,502,161,30.4,4589,9.1,2009,6.6,4,1513,5,11,27,0,25,5.3,95,20,119,33,40,100,18.4,14,6.9,24,102,10,90,3.8,12,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
