,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,94,1,1,9/13/2020,MIN,,GNB,"L, 34-43",*,19,25,12,44.4,267,10.7,187,9.8,7.5,72,3.8,0,0,0,2,8,3,12,3,2,2,6,19.4,4,8.5,4,34,3,34,8.5,0,0,0,
2,95,2,2,9/20/2020,MIN,@,IND,"L, 11-28",*,11,26,5,17.2,312,12,94,8.5,3.6,19,1.7,0,1,1,1,4.2,5,20.8,5,3,3,9,31,0,,0,0,0,0,,0,,0,
3,96,3,3,9/27/2020,MIN,,TEN,"L, 30-31",*,16,27,11,37.9,237,8.8,130,8.1,4.8,121,7.6,1,2,0,0,0,3,12,13,5,9,16,53.3,1,14,2,14,1,12,6,2,1,0,
4,97,4,4,10/4/2020,MIN,@,HOU,"W, 31-23",*,16,22,10,40,276,12.5,166,10.4,7.5,94,5.9,0,1,0,0,0,3,14.3,12,1,5,9,34.6,1,2,4,5,1,5,1.3,0,0,0,
5,98,5,5,10/11/2020,MIN,@,SEA,"L, 26-27",*,27,39,17,40.5,271,6.9,153,5.7,3.9,96,3.6,1,1,0,1,2.6,5,13.2,11,5,3,11,26.2,0,,1,2,1,0,0,2,2,0,
6,99,6,6,10/18/2020,MIN,,ATL,"L, 23-40",*,24,36,14,37.8,330,9.2,206,8.6,5.7,137,5.7,1,1,0,0,0,6,17.1,10,3,7,11,29.7,0,,0,0,0,0,,0,,0,
7,100,7,8,11/1/2020,MIN,@,GNB,"W, 28-22",*,11,14,6,40,25,1.8,29,2.6,2.1,131,11.9,0,0,0,1,7.1,2,14.3,10,2,0,3,20,0,,0,0,0,0,,0,,0,
8,101,8,9,11/8/2020,MIN,,DET,"W, 34-20",*,13,20,11,52.4,217,10.9,106,8.2,5.3,114,8.8,2,0,0,1,5,3,15,6,2,1,4,19,0,,0,0,0,0,,0,,0,
9,102,9,10,11/16/2020,MIN,@,CHI,"W, 19-13",*,25,36,14,37.8,296,8.2,145,5.8,4,147,5.9,0,4,0,3,9.4,3,9.4,7,2,4,7,18.9,0,,1,-1,0,-1,-1,0,0,0,
10,103,10,11,11/22/2020,MIN,,DAL,"L, 28-31",*,22,30,14,43.8,262,8.7,178,8.1,5.9,136,6.2,0,2,0,2,7.1,4,14.3,12,5,7,14,42.4,1,4,1,4,1,4,4,0,0,0,
11,104,11,12,11/29/2020,MIN,,CAR,"W, 28-27",*,34,45,18,38.3,366,8.1,229,6.7,5.1,78,2.3,0,2,1,1,2.4,5,11.9,16,3,8,13,26.5,2,10,3,19,2,13,4.3,6,2,0,
12,105,12,13,12/6/2020,MIN,,JAX,"W, 27-24 (OT)",*,28,43,17,36.2,328,7.6,158,5.6,3.7,147,5.3,2,3,0,1,2.5,5,12.5,19,1,10,15,31.3,1,10,3,12,2,12,4,0,0,0,
13,106,13,14,12/13/2020,MIN,@,TAM,"L, 14-26",*,24,37,14,32.6,248,6.7,99,4.1,2.7,126,5.3,0,2,0,2,5.7,7,20,14,8,7,21,44.7,4,7.3,5,41,3,39,7.8,2,0.4,0,
14,107,14,15,12/20/2020,MIN,,CHI,"L, 27-33",*,24,35,12,31.6,206,5.9,127,5.3,3.6,144,6,1,3,1,1,3.2,4,12.9,10,8,7,18,43.9,3,8.3,3,25,1,23,7.7,2,0.7,0,
15,108,15,16,12/25/2020,MIN,@,NOR,"L, 33-52",*,27,41,17,39.5,191,4.7,127,4.7,3.1,164,6.1,1,3,0,1,2.6,5,13.2,17,3,7,12,27.9,0,,0,0,0,0,,0,,0,
16,109,16,17,1/3/2021,MIN,@,DET,"W, 37-35",*,28,40,20,46.5,271,6.8,195,7,4.9,210,7.5,2,2,0,1,2.6,4,10.5,16,3,2,8,18.6,0,,5,1,1,0,0,1,0.2,1,5
,,,,,,,,9-Jul,,349,516,212,38.2,4103,8,2329,6.7,4.5,1936,5.5,11,27,3,18,3.7,67,13.8,181,56,82,177,30.9,17,8.1,32,156,16,141,4.4,15,0.5,1,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
