,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,110,1,1,9/12/2021,MIN,@,CIN,"L, 24-27 (OT)",*,36,49,15,28.8,297,6.1,176,4.9,3.6,175,4.9,0,2,1,2,4.3,6,13,19,7,5,15,28.8,0,,0,0,0,0,,0,,0
2,111,2,2,9/19/2021,MIN,@,ARI,"L, 33-34",*,22,32,10,30.3,203,6.3,111,5,3.5,133,6,1,0,0,3,9.4,3,9.4,17,2,4,7,20,2,17.5,2,35,2,33,16.5,2,1,0
3,112,3,3,9/26/2021,MIN,,SEA,"W, 30-17",*,30,38,20,51.3,189,5,154,5.1,4.1,169,5.6,1,0,0,1,2.6,6,15.8,11,4,4,9,23.1,0,,1,2,0,2,2,0,0,0
4,113,4,4,10/3/2021,MIN,,CLE,"L, 7-14",*,20,38,10,25,321,8.4,139,7,3.7,64,3.2,1,1,0,1,2.7,12,32.4,9,6,7,15,36.6,1,1,2,0,0,0,0,0,0,0
5,114,5,5,10/10/2021,MIN,,DET,"W, 19-17",*,25,34,12,33.3,254,7.5,197,7.9,5.8,78,3.1,0,2,1,3,9.7,2,6.5,9,15,0,17,45.9,1,4,1,4,1,4,4,0,0,0
6,115,6,6,10/17/2021,MIN,@,CAR,"W, 34-28 (OT)",*,33,48,16,33.3,373,7.8,190,5.8,4,183,5.5,0,1,1,0,0,6,13,15,4,3,7,14,2,8,2,16,1,16,8,0,0,0
7,116,7,8,10/31/2021,MIN,,DAL,"L, 16-20",*,23,35,6,16.7,192,5.5,90,3.9,2.6,94,4.1,0,2,0,4,12.1,5,15.2,6,2,7,10,26.3,2,9.5,3,18,1,15,5,3,1,0
8,117,8,9,11/7/2021,MIN,@,BAL,"L, 31-34 (OT)",*,17,28,6,21.4,228,8.1,117,6.9,4.2,70,4.1,0,0,0,0,0,6,21.4,9,4,6,10,35.7,0,,1,1,1,1,1,0,0,0
9,118,9,10,11/14/2021,MIN,@,LAC,"W, 27-20",*,25,37,14,35.9,264,7.1,145,5.8,3.9,149,6,0,2,0,1,2.9,6,17.1,7,5,4,11,27.5,1,4,4,-3,0,-3,-0.8,0,0,0
10,119,10,11,11/21/2021,MIN,,GNB,"W, 34-31",*,24,35,17,45.9,406,11.6,199,8.3,5.7,142,5.9,0,1,0,2,5.9,6,17.6,14,5,3,10,27,0,,2,-4,0,-4,-2,0,0,0
11,120,11,12,11/28/2021,MIN,@,SFO,"L, 26-34",*,20,32,12,36.4,234,7.3,121,6.1,3.8,117,5.9,1,0,0,1,3.1,8,25,6,2,2,5,15.2,0,,0,0,0,0,,0,,0
12,121,12,13,12/5/2021,MIN,@,DET,"L, 27-29",*,30,40,19,44.2,335,8.4,205,6.8,5.1,135,4.5,0,0,0,0,0,6,15,14,3,4,10,22.7,1,7,2,6,0,6,3,0,0,0
13,122,13,14,12/9/2021,MIN,,PIT,"W, 36-28",*,14,31,8,25.8,347,11.2,147,10.5,4.7,69,4.9,0,0,0,2,6.5,8,25.8,12,1,6,7,21.9,1,11,2,14,2,3,1.5,11,5.5,0
14,123,14,15,12/20/2021,MIN,@,CHI,"W, 17-9",*,12,24,5,17.9,283,11.8,57,4.8,2.4,30,2.5,0,1,1,0,0,6,27.3,4,5,3,12,40,2,5,2,10,0,10,5,0,0,0
15,124,15,16,12/26/2021,MIN,,LAR,"L, 23-30",*,27,38,14,34.1,356,9.4,160,5.9,4.2,155,5.7,0,0,1,0,0,5,13.5,7,3,2,8,18.2,3,5.7,4,17,0,15,3.8,2,0.5,0
16,125,17,18,1/9/2022,MIN,,CHI,"W, 31-17",*,14,22,8,32,295,13.4,207,14.8,9.4,43,3.1,0,1,0,2,9.5,2,9.5,9,0,5,8,32,0,,1,-1,0,-1,-1,0,0,0
,,,,,,,,8-Aug,,372,561,192,32.6,4577,8.2,2415,6.5,4.3,1806,4.9,4,13,5,22,4.1,93,17.1,168,68,65,161,26.6,16,7.8,29,115,8,97,3.3,18,0.6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
