,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,121,1,1,9/8/2019,CIN,@,SEA,"L, 20-21",*,35,51,18,32.1,381,7.5,232,6.6,4.5,186,5.3,4,2,0,3,6.1,5,10.2,16,6,1,12,21.4,0,,0,0,0,0,,0,,0,
2,122,2,2,9/15/2019,CIN,,SFO,"L, 17-41",*,26,42,11,23.9,315,7.5,121,4.7,2.9,190,7.3,1,0,0,2,4.8,7,16.7,4,5,2,11,23.9,0,,2,2,0,2,1,0,0,0,
3,123,3,3,9/22/2019,CIN,@,BUF,"L, 17-21",*,20,36,12,31.6,285,7.9,137,6.9,3.8,113,5.7,2,1,1,1,2.9,11,32.4,12,4,1,7,18.4,0,,1,1,1,1,1,0,0,0,
4,124,4,4,9/30/2019,CIN,@,PIT,"L, 3-27",*,21,37,9,20,205,5.5,91,4.3,2.5,80,3.8,0,1,0,2,5.6,8,22.2,13,3,2,13,28.3,1,4,3,8,1,7,2.3,1,0.3,0,
5,125,5,5,10/6/2019,CIN,,ARI,"L, 23-26",*,27,38,12,30.8,174,4.6,120,4.4,3.2,142,5.3,0,1,0,2,5.4,5,13.5,21,3,2,6,15,1,5,2,5,1,5,2.5,0,0,0,
6,126,6,6,10/13/2019,CIN,@,BAL,"L, 17-23",*,21,39,14,34.1,298,7.6,142,6.8,3.6,93,4.4,1,2,0,2,5.4,8,21.6,31,2,3,7,16.7,1,2,1,2,1,2,2,0,0,0,
7,127,7,7,10/20/2019,CIN,,JAX,"L, 17-27",*,22,43,12,26.7,301,7,111,5,2.6,165,7.5,0,0,0,3,7,8,18.6,9,1,6,9,19.1,2,14,4,33,3,13,3.3,20,5,0,
8,128,8,8,10/27/2019,CIN,@,LAR,"L, 10-24",*,32,52,15,26.3,429,8.3,209,6.5,4,120,3.8,2,1,3,1,2.1,10,20.8,18,4,0,9,15.5,1,4,1,4,0,4,4,0,0,0,
9,129,12,13,12/1/2019,CIN,,NYJ,"W, 22-6",*,22,37,12,31.6,258,7,112,5.1,3,131,6,0,1,0,2,5.6,8,22.2,12,2,1,4,10.3,1,2,5,-4,1,-4,-0.8,0,0,0,
10,130,13,14,12/8/2019,CIN,@,CLE,"L, 19-27",*,22,38,13,32.5,267,7,99,4.5,2.6,163,7.4,0,3,2,1,3,7,21.2,12,1,3,6,14.6,1,3,3,11,1,4,1.3,7,2.3,1,3
11,131,14,15,12/15/2019,CIN,,NWE,"L, 13-34",*,17,31,9,29,251,8.1,74,4.4,2.4,77,4.5,2,2,0,2,6.9,2,6.9,18,1,2,3,9.7,0,,2,1,0,1,0.5,0,0,0,
12,132,15,16,12/22/2019,CIN,@,MIA,"L, 35-38 (OT)",*,33,56,21,35,586,10.5,287,8.7,5.1,109,3.3,1,2,1,3,5.7,10,18.9,16,3,1,8,13.3,0,,0,0,0,0,,0,,0,
13,133,16,17,12/29/2019,CIN,,CLE,"W, 33-23",*,16,28,12,41.4,241,8.6,108,6.8,3.9,82,5.1,1,1,0,3,11.1,3,11.1,6,1,0,2,6.5,2,6,8,10,3,6,0.8,4,0.5,0,
,,,,,,,,11-Feb,,314,528,170,30.1,3991,7.6,1843,5.9,3.5,1651,5.3,14,17,7,27,5.4,92,18.3,188,36,24,97,16.9,10,6,32,73,12,41,1.3,32,1,1,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
