,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
2,135,5,5,10/11/2020,DAL,,NYG,"W, 37-34",,9,11,4,33.3,88,8,79,8.8,7.2,32,3.6,0,0,0,0,0,0,0,2,1,0,2,16.7,0,,1,0,0,0,0,0,0,0
3,136,6,6,10/19/2020,DAL,,ARI,"L, 10-38",*,34,54,15,26.3,301,5.6,113,3.3,2.1,153,4.5,1,2,0,5,9.6,7,13.5,22,2,5,10,16.9,2,2,2,4,1,4,2,0,0,0
4,137,7,7,10/25/2020,DAL,@,WAS,"L, 3-25",*,9,19,6,27.3,124,6.5,37,4.1,1.9,38,4.2,0,1,0,4,22.2,2,11.1,8,1,2,6,24,3,5.3,3,16,0,12,4,4,1.3,0
5,138,10,11,11/22/2020,DAL,@,MIN,"W, 31-28",*,22,32,13,39.4,206,6.4,123,5.6,3.8,80,3.6,1,1,0,3,9.7,3,9.7,8,1,1,3,8.8,1,7,3,5,1,5,1.7,0,0,0
6,139,11,12,11/26/2020,DAL,,WAS,"L, 16-41",*,25,35,6,15.8,209,6,143,5.7,4.1,72,2.9,0,1,0,2,5.9,4,11.8,17,0,2,5,12.5,2,7.5,3,17,3,17,5.7,0,0,0
7,140,12,13,12/8/2020,DAL,@,BAL,"L, 17-34",*,31,48,20,40.8,453,9.4,161,5.2,3.4,124,4,0,2,0,1,2.2,10,21.7,14,4,4,9,18.4,0,,1,2,1,1,1,1,1,0
8,141,13,14,12/13/2020,DAL,@,CIN,"W, 30-7",*,16,23,11,44,186,8.1,120,7.5,5.2,65,4.1,1,1,0,1,4.5,1,4.5,10,0,2,4,16,0,,1,-1,0,-1,-1,0,0,0
9,142,14,15,12/20/2020,DAL,,SFO,"W, 41-33",*,19,33,12,34.3,214,6.5,81,4.3,2.5,128,6.7,0,2,0,1,3.2,7,22.6,16,3,1,6,16.2,2,4,2,8,0,6,3,2,1,0
10,143,15,16,12/27/2020,DAL,,PHI,"W, 37-17",*,22,30,13,40.6,238,7.9,152,6.9,5.1,225,10.2,1,0,0,1,3.3,5,16.7,7,0,5,7,21.2,1,5,5,15,1,15,3,0,0,0
11,144,16,17,1/3/2021,DAL,@,NYG,"L, 19-23",*,29,47,16,30.2,258,5.5,118,4.1,2.5,126,4.3,1,3,0,3,6.8,9,20.5,14,2,3,11,19.3,4,7.8,7,48,4,42,6,6,0.9,0
,,,,,,,,5-Jun,,216,333,116,32.5,2278,6.8,1127,5.2,3.4,1043,4.8,5,14,0,21,6.6,48,15,119,15,25,64,17.2,15,5.7,28,114,11,101,3.6,13,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
