,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,28,1,1,9/12/2021,NYG,,DEN,"L, 13-27",*,22,37,13,33.3,306,8.3,198,9,5.4,69,3.1,0,0,1,3,8.3,7,19.4,7,0,1,3,6.8,5,5.6,6,27,2,19,3.2,8,1.3,0,
2,29,2,2,9/16/2021,NYG,@,WAS,"L, 29-30",*,22,32,10,27.8,359,11.2,208,9.5,6.5,41,1.9,0,0,0,3,9.4,3,9.4,17,10,2,16,42.1,2,6.5,9,95,4,90,10,5,0.6,1,9
3,30,3,3,9/26/2021,NYG,,ATL,"L, 14-17",*,24,35,12,32.4,238,6.8,137,5.7,3.9,129,5.4,3,0,0,2,5.7,1,2.9,9,2,3,7,16.7,5,7.6,8,39,3,36,4.5,3,0.4,0,
4,31,4,4,10/3/2021,NYG,@,NOR,"W, 27-21 (OT)",*,28,40,17,42.5,375,9.4,199,7.1,5,203,7.3,1,3,0,2,5.4,5,13.5,16,3,6,9,20.9,3,8.3,4,27,1,27,6.8,0,0,0,
5,32,5,5,10/10/2021,NYG,@,DAL,"L, 20-44",*,5,13,4,30.8,192,14.8,62,12.4,4.8,36,7.2,0,0,0,0,0,7,53.8,4,2,3,5,35.7,1,6,3,9,1,8,2.7,1,0.3,0,
6,33,6,6,10/17/2021,NYG,,LAR,"L, 11-38",*,29,51,15,27.3,350,6.9,128,4.4,2.5,114,3.9,1,3,0,4,8.3,12,25,17,3,2,9,16.1,1,2,3,4,1,3,1,1,0.3,0,
7,34,7,7,10/24/2021,NYG,,CAR,"W, 25-3",*,23,33,10,28.6,213,6.5,92,4,2.8,111,4.8,0,1,0,2,6.3,6,18.8,13,1,3,6,17.1,0,,8,28,1,25,3.1,3,0.4,0,
8,35,8,8,11/1/2021,NYG,@,KAN,"L, 17-20",*,22,32,9,25.7,117,3.7,82,3.7,2.6,140,6.4,0,0,0,2,6.3,7,21.9,12,4,2,9,24.3,2,3.5,5,12,0,10,2,2,0.4,0,
9,36,9,9,11/7/2021,NYG,,LVR,"W, 23-16",*,15,20,6,27.3,117,5.9,57,3.8,2.9,53,3.5,0,2,0,0,0,2,11.1,6,2,3,7,28,3,6,4,17,1,10,2.5,7,1.8,0,
10,37,10,11,11/22/2021,NYG,@,TAM,"L, 10-30",*,23,38,8,20,192,5.1,89,3.9,2.3,78,3.4,0,2,0,0,0,9,25,13,8,7,17,42.5,0,,3,10,0,4,1.3,6,2,0,
11,38,11,12,11/28/2021,NYG,,PHI,"W, 13-7",*,19,30,12,38.7,157,5.2,82,4.3,2.7,120,6.3,0,1,0,1,3.4,5,17.2,6,2,4,7,21.2,2,8,9,30,2,24,2.7,6,0.7,0,
,,,,,,,,7-Apr,,232,361,116,30.3,2616,7.2,1334,5.8,3.7,1094,4.7,5,12,1,19,5.5,64,18.4,120,37,36,95,23.3,24,6.4,62,298,16,256,4.1,42,0.7,1,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
