,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/8/2024,WAS,@,TAM,"L, 20-37",*,17,24,7,26.9,125,5.2,30,1.8,1.3,154,9.1,0,0,0,1,4.2,4,16.7,11,3,1,6,18.2,7,11,16,88,8,73,4.6,15,0.9,0,
2,2,2,2,9/15/2024,WAS,,NYG,"W, 21-18",*,23,29,11,32.4,111,3.8,84,3.7,2.9,142,6.2,1,0,0,0,0,3,10.3,12,3,2,10,26.3,4,8.3,10,44,2,34,3.4,10,1,1,10
3,3,3,3,9/23/2024,WAS,@,CIN,"W, 38-33",*,21,23,13,52,215,9.3,156,7.4,6.8,98,4.7,0,0,0,0,0,2,8.7,8,1,1,4,13.3,5,4.6,12,39,5,21,1.8,18,1.5,3,4
4,4,4,4,9/29/2024,WAS,@,ARI,"W, 42-14",*,26,30,14,46.7,174,5.8,111,4.3,3.7,122,4.7,0,0,0,0,0,3,10,5,0,1,1,2.8,6,5,8,47,3,40,5,7,0.9,1,8
5,5,5,5,10/6/2024,WAS,,CLE,"W, 34-13",*,14,25,8,28.6,301,12,148,10.6,5.9,90,6.4,1,0,0,2,8,5,20,15,0,0,3,8.8,6,13.3,11,82,4,51,4.6,31,2.8,0,
6,6,6,6,10/13/2024,WAS,@,BAL,"L, 23-30",*,24,35,16,42.1,276,7.9,168,7,4.8,101,4.2,1,2,0,1,3,3,9.1,10,3,4,10,23.8,4,5.5,6,22,1,20,3.3,2,0.3,0,
7,7,7,7,10/20/2024,WAS,,CAR,"W, 40-7",*,2,2,0,0,-3,-1.5,-3,-1.5,-1.5,9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,50,1,25,8.3,25,8.3,1,3
8,8,8,8,10/27/2024,WAS,,CHI,"W, 18-15",*,21,38,15,37.5,448,11.8,224,10.7,5.9,102,4.9,0,4,0,2,5.9,9,26.5,12,6,6,14,30.4,6,8,8,52,2,49,6.1,3,0.4,0,
9,9,9,9,11/3/2024,WAS,@,NYG,"W, 27-22",*,15,22,8,36.4,132,6,102,6.8,4.6,107,7.1,1,2,0,0,0,3,15,7,0,2,2,8,3,9.7,8,35,3,24,3,11,1.4,1,8
10,10,10,10,11/10/2024,WAS,,PIT,"L, 27-28",*,17,34,7,18.9,216,6.4,115,6.8,3.4,87,5.1,3,2,0,4,12.5,5,15.6,20,2,3,8,21.1,1,1,3,5,0,4,1.3,1,0.3,0,
11,11,11,11,11/14/2024,WAS,@,PHI,"L, 18-26",*,22,32,10,28.6,114,3.6,45,2,1.4,146,6.6,1,0,0,3,9.4,3,9.4,1,0,0,3,7.7,4,3.8,7,18,1,11,1.6,7,1,0,
12,12,12,12,11/24/2024,WAS,,DAL,"L, 26-34",*,25,38,11,26.2,346,9.1,153,6.1,4,122,4.9,1,2,1,2,5.7,4,11.4,14,6,6,16,36.4,2,12.5,7,74,4,71,10.1,3,0.4,0,
13,13,13,13,12/1/2024,WAS,,TEN,"W, 42-19",*,25,30,12,37.5,160,5.3,85,3.4,2.8,121,4.8,1,0,0,0,0,4,13.3,8,1,0,3,7.9,6,4.2,9,34,2,26,2.9,8,0.9,0,
14,14,14,15,12/15/2024,WAS,@,NOR,"W, 20-19",*,25,31,11,28.2,264,8.5,120,4.8,3.9,106,4.2,1,1,0,1,3.3,2,6.7,6,1,0,9,20.5,5,8.6,11,66,6,54,4.9,12,1.1,1,11
15,15,15,16,12/22/2024,WAS,,PHI,"W, 36-33",*,24,39,13,32.5,274,7,143,6,3.7,115,4.8,0,1,1,0,0,8,21.6,14,2,1,4,8.9,5,9.6,9,81,4,57,6.3,24,2.7,0,
16,16,16,17,12/29/2024,WAS,,ATL,"W, 30-24 (OT)",*,24,36,13,31.7,260,7.2,103,4.3,2.9,124,5.2,1,1,0,3,8.6,6,17.1,7,2,1,8,16.3,8,9.5,16,127,7,72,4.5,55,3.4,1,16
17,17,17,18,1/5/2025,WAS,@,DAL,"W, 23-19",*,6,12,1,6.3,113,9.4,4,0.7,0.3,34,5.7,0,0,0,1,8.3,3,25,3,6,0,10,58.8,1,16,4,27,2,21,5.3,6,1.5,0,
,,,,,,,,5-Dec,,331,480,170,32.3,3526,7.3,1788,5.4,3.7,1780,5.4,12,15,2,20,4.3,67,14.5,153,36,28,111,18.5,73,8.1,148,891,55,653,4.4,238,1.6,9,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
