,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,14,1,1,9/8/2019,NYJ,,BUF,"L, 16-17",*,28,41,12,26.7,223,5.4,71,2.5,1.7,104,3.7,6,0,0,1,2.4,5,12.2,15,3,4,11,24.4,0,,1,0,0,0,0,0,0,0
2,15,5,6,10/13/2019,NYJ,,DAL,"W, 24-22",*,23,32,13,38.2,265,8.3,150,6.5,4.7,188,8.2,0,1,0,1,3.2,5,16.1,11,5,0,7,20,1,3,5,1,1,1,0.2,0,0,0
3,16,6,7,10/21/2019,NYJ,,NWE,"L, 0-33",*,11,32,4,12.1,398,12.4,67,6.1,2.1,19,1.7,0,1,0,2,6.5,15,48.4,16,7,1,9,27.3,0,,2,-1,0,-1,-0.5,0,0,0
4,17,7,8,10/27/2019,NYJ,@,JAX,"L, 15-29",*,21,30,11,28.9,233,7.8,113,5.4,3.8,105,5,0,1,0,1,3.4,4,13.8,13,4,4,16,42.1,0,,1,-1,0,-1,-1,0,0,0
5,18,8,9,11/3/2019,NYJ,@,MIA,"L, 18-26",*,27,39,13,31,269,6.9,142,5.3,3.6,118,4.4,0,2,1,2,5.6,5,13.9,11,3,6,12,28.6,0,,2,1,0,1,0.5,0,0,0
6,19,9,10,11/10/2019,NYJ,,NYG,"W, 34-27",*,19,30,10,31.3,255,8.5,105,5.5,3.5,125,6.6,1,3,0,0,0,4,14.8,14,2,6,10,30.3,1,24,3,25,2,25,8.3,0,0,0
7,20,10,11,11/17/2019,NYJ,@,WAS,"W, 34-17",*,19,30,15,46.9,305,10.2,199,10.5,6.6,94,4.9,1,3,0,1,3.7,4,14.8,10,9,2,13,40.6,0,,2,-3,0,-3,-1.5,0,0,0
8,21,11,12,11/24/2019,NYJ,,OAK,"W, 34-3",*,20,29,15,50,215,7.4,120,6,4.1,195,9.8,0,2,0,1,3.7,4,14.8,8,6,0,7,21.9,2,6.5,4,16,1,15,3.8,1,0.3,0
9,22,12,13,12/1/2019,NYJ,@,CIN,"L, 6-22",*,28,48,13,25,353,7.4,149,5.3,3.1,90,3.2,0,3,0,7,15.6,8,17.8,12,6,4,14,25.9,2,4.5,2,9,0,6,3,3,1.5,0
10,23,13,14,12/8/2019,NYJ,,MIA,"W, 22-21",*,20,36,15,40.5,391,10.9,132,6.6,3.7,138,6.9,1,0,1,3,8.6,7,20,17,6,2,9,24.3,0,,3,3,0,3,1,0,0,0
11,24,14,15,12/12/2019,NYJ,@,BAL,"L, 21-42",*,18,32,9,27.3,252,7.9,109,6.1,3.4,109,6.1,0,3,0,1,3.4,5,17.2,17,6,5,12,35.3,1,11,1,11,1,11,11,0,0,0
12,25,15,16,12/22/2019,NYJ,,PIT,"W, 16-10",*,16,26,7,25,217,8.3,79,4.9,3,104,6.5,1,1,0,3,12,3,12,13,3,5,10,34.5,1,4,4,3,1,-1,-0.3,4,1,0
13,26,16,17,12/29/2019,NYJ,@,BUF,"W, 13-6",*,23,36,10,26.3,238,6.6,113,4.9,3.1,86,3.7,0,3,0,2,6.1,5,15.2,9,3,0,5,13.2,0,,3,-2,0,-2,-0.7,0,0,0
,,,,,,,,6-Jul,,273,441,147,31,3614,8.2,1549,5.7,3.5,1475,5.4,10,23,2,25,6,74,17.8,166,63,39,135,28,8,8,33,62,6,54,1.6,8,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
