,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,27,1,1,9/13/2020,NYJ,@,BUF,"L, 17-27",*,21,35,8,21.1,257,7.3,79,3.8,2.3,136,6.5,0,0,2,2,6.1,7,21.2,20,3,2,8,20.5,1,6,1,6,0,6,6,0,0,0,
2,28,2,2,9/20/2020,NYJ,,SFO,"L, 13-31",*,21,32,10,30.3,144,4.5,80,3.8,2.5,99,4.7,1,0,0,3,9.4,4,12.5,11,3,5,9,26.5,1,8,2,7,1,-1,-0.5,8,4,1,2
3,29,3,3,9/27/2020,NYJ,@,IND,"L, 7-36",*,17,29,7,22.6,182,6.3,46,2.7,1.6,122,7.2,0,3,0,1,3.8,4,15.4,3,4,5,11,30.6,5,4,5,20,1,20,4,0,0,0,
4,30,4,4,10/1/2020,NYJ,,DEN,"L, 28-37",*,23,42,11,22.9,431,10.3,170,7.4,4,60,2.6,0,2,0,1,2.5,10,25,23,4,3,13,24.5,5,16.2,6,84,3,36,6,48,8,0,
5,31,7,7,10/25/2020,NYJ,,BUF,"L, 10-18",*,12,23,5,17.2,149,6.5,81,6.8,3.5,39,3.3,1,2,0,0,0,5,23.8,11,4,2,12,41.4,0,,,,,,,,,,
6,32,8,8,11/1/2020,NYJ,@,KAN,"L, 9-35",*,18,30,8,25.8,193,6.4,59,3.3,2,74,4.1,0,1,1,2,7.1,6,21.4,15,0,4,5,14.3,4,5.3,,,,,,,,,
7,33,11,12,11/29/2020,NYJ,,MIA,"L, 3-20",*,16,27,6,20,317,11.7,118,7.4,4.4,79,4.9,0,0,0,2,7.4,5,18.5,13,9,2,14,43.8,2,4.5,0,0,0,0,,0,,0,
8,34,12,13,12/6/2020,NYJ,,LVR,"L, 28-31",*,14,23,11,42.3,201,8.7,70,5,3,116,8.3,1,2,0,1,4.8,4,19,9,2,5,10,35.7,2,11,4,21,0,11,2.8,10,2.5,0,
9,35,13,14,12/13/2020,NYJ,@,SEA,"L, 3-40",*,14,26,8,27.6,245,9.4,87,6.2,3.3,45,3.2,1,3,0,1,4.3,4,17.4,10,2,4,9,30,1,3,,,,,,,,,
10,36,14,15,12/20/2020,NYJ,@,LAR,"W, 23-20",*,22,31,11,33.3,143,4.6,88,4,2.8,119,5.4,2,4,0,1,3.7,1,3.7,12,4,1,7,20,2,10.5,,,,,,,,,
11,37,15,16,12/27/2020,NYJ,,CLE,"W, 23-16",*,16,32,10,29.4,291,9.1,66,4.1,2.1,109,6.8,0,3,0,0,0,8,27.6,5,5,3,10,27,3,6,2,9,2,9,4.5,0,0,0,
12,38,16,17,1/3/2021,NYJ,@,NWE,"L, 14-28",*,23,34,14,37.8,241,7.1,109,4.7,3.2,157,6.8,1,1,0,0,0,4,12.1,11,3,3,9,24.3,0,,3,26,2,23,7.7,3,1,0,
,,,,,,,,10-Feb,,217,364,109,27.3,2794,7.7,1053,4.9,2.9,1155,5.3,7,21,3,14,4.1,62,18.2,143,43,39,117,27.5,26,8,1,3,0,3,3,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,1,18,3.6,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,2,17,2.4,3,0.4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,3,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,217,13,145,3.9,72,1.9,1,37
