,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,1,2,2,9/14/2025,NYG,@,DAL,"L, 37-40 (OT)",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,1,-3,0,-3,-3,0,0,0
2,2,3,3,9/21/2025,NYG,,KAN,"L, 9-22",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,0,1,3,1,3,0,3,3,0,0,0
3,3,4,4,9/28/2025,NYG,,LAC,"W, 21-18",*,13,20,6,24,127,6.4,45,3.5,2.3,66,5.1,0,1,0,0,0,4,21.1,9,4,2,11,39.3,3,7.7,10,54,5,50,5,4,0.4,0
4,4,5,5,10/5/2025,NYG,@,NOR,"L, 14-26",*,26,40,10,24.4,328,8.2,64,2.5,1.6,138,5.3,1,0,1,3,7.7,5,12.8,13,4,5,10,21.7,5,8.8,7,55,4,46,6.6,9,1.3,0
5,5,6,6,10/9/2025,NYG,,PHI,"W, 34-17",*,17,25,8,29.6,229,9.2,119,7,4.8,76,4.5,1,0,0,1,4,4,16,10,1,1,4,12.5,5,8.4,13,58,5,47,3.6,11,0.8,0
6,6,7,7,10/19/2025,NYG,@,DEN,"L, 32-33",*,15,33,12,32.4,348,10.5,136,9.1,4.1,147,9.8,2,0,0,2,6.1,11,33.3,12,1,5,10,27,0,,5,11,2,8,1.6,3,0.6,0
7,7,8,8,10/26/2025,NYG,@,PHI,"L, 20-38",*,14,24,9,31,235,9.8,121,8.6,5,72,5.1,1,2,0,1,4.5,3,13.6,4,1,1,7,22.6,2,4.5,6,17,2,12,2,5,0.8,0
8,8,9,9,11/2/2025,NYG,,SFO,"L, 24-34",*,24,33,7,20,217,6.6,112,4.7,3.4,79,3.3,0,1,0,2,6.3,3,9.4,5,1,1,4,10.3,4,10,8,56,5,36,4.5,20,2.5,0
9,9,10,10,11/9/2025,NYG,@,CHI,"L, 20-24",*,19,29,10,32.3,273,9.4,165,8.7,5.7,77,4.1,0,2,0,1,3.7,2,7.4,12,3,0,5,15.6,1,4,6,66,3,66,11,0,0,0
10,10,13,13,12/1/2025,NYG,@,NWE,"L, 15-33",*,17,24,4,15.4,182,7.6,52,3.1,2.2,87,5.1,0,0,0,0,0,0,0,10,2,5,9,30,4,5,4,20,2,17,4.3,3,0.8,0
11,11,14,15,12/14/2025,NYG,,WAS,"L, 21-29",*,20,36,12,32.4,388,10.8,135,6.8,3.8,111,5.6,0,2,0,2,5.9,9,26.5,7,1,5,7,16.3,6,10,9,63,2,62,6.9,1,0.1,0
12,12,15,16,12/21/2025,NYG,,MIN,"L, 13-16",*,7,13,1,5.6,84,6.5,14,2,1.1,19,2.7,0,0,0,2,15.4,0,0,7,0,1,6,31.6,1,4,2,7,1,1,0.5,6,3,0
13,13,16,17,12/28/2025,NYG,@,LVR,"W, 34-10",*,22,30,9,28.1,157,5.2,86,3.9,2.9,121,5.5,1,1,0,0,0,3,10.3,5,2,5,9,25.7,3,7.3,9,48,6,48,5.3,0,0,0
14,14,17,18,1/4/2026,NYG,,DAL,"W, 34-17",*,22,32,14,38.9,174,5.4,62,2.8,1.9,168,7.6,1,1,0,0,0,7,22.6,7,5,5,14,35.9,3,6.7,5,32,1,28,5.6,4,0.8,0
,,,,,,,,10-Apr,,216,339,102,27.3,2742,8.1,1111,5.1,3.3,1161,5.4,7,10,1,14,4.3,51,15.5,101,25,36,96,23.3,38,7.7,86,487,38,421,4.9,66,0.8,0
