,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,9,1,1,9/10/2023,ARI,@,WAS,"L, 16-20",*,21,30,9,27.3,182,6.1,69,3.3,2.3,63,3,0,0,0,0,0,1,3.3,9,1,1,5,15.2,0,,3,-3,0,-4,-1.3,1,0.3,0,
2,10,2,2,9/17/2023,ARI,,NYG,"L, 28-31",*,21,31,11,35.5,309,10,142,6.8,4.6,86,4.1,1,0,0,1,3.2,6,19.4,16,1,6,7,21.9,1,23,3,41,3,31,10.3,10,3.3,1,3
3,11,3,3,9/24/2023,ARI,,DAL,"W, 28-16",*,17,21,8,34.8,131,6.2,83,4.9,4,106,6.2,0,0,0,1,4.8,2,9.5,13,1,2,5,20,2,25.5,6,55,3,30,5,25,4.2,0,
4,12,4,4,10/1/2023,ARI,@,SFO,"L, 16-35",*,28,41,13,31,339,8.3,186,6.6,4.5,79,2.8,0,0,0,3,7.3,10,24.4,3,1,6,8,17,5,6.6,12,48,5,46,3.8,2,0.2,0,
5,13,5,5,10/8/2023,ARI,,CIN,"L, 20-34",*,15,32,10,28.6,312,9.8,82,5.5,2.6,84,5.6,2,2,0,1,3.3,6,20,11,4,4,11,31.4,0,,3,1,1,0,0,1,0.3,0,
6,14,6,6,10/15/2023,ARI,@,LAR,"L, 9-26",*,21,41,12,27.9,426,10.4,138,6.6,3.4,97,4.6,1,3,0,0,0,10,26.3,9,1,8,11,23.9,3,17.7,7,47,2,29,4.1,18,2.6,1,7
7,15,7,7,10/22/2023,ARI,@,SEA,"L, 10-20",*,19,33,7,18.9,232,7,86,4.5,2.6,60,3.2,2,0,0,2,6.1,6,18.2,5,0,3,7,18.4,1,5,7,43,3,24,3.4,19,2.7,0,
8,16,8,8,10/29/2023,ARI,,BAL,"L, 24-31",*,25,37,12,30.8,263,7.1,134,5.4,3.6,74,3,1,1,0,0,0,8,22.2,6,1,5,8,19.5,2,9,6,26,2,24,4,2,0.3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
