,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,217,1,1,9/9/2018,NYG,,JAX,"L, 15-20",*,23,37,8,20.5,249,6.7,138,6,3.7,86,3.7,0,1,0,4,11.1,4,11.1,4,13,4,19,47.5,1,2,1,2,0,2,2,0,0,0
2,218,2,2,9/16/2018,NYG,@,DAL,"L, 13-20",*,33,44,11,22,287,6.5,112,3.4,2.5,167,5.1,0,1,0,1,2.3,7,16.3,12,1,2,9,17.6,1,1,3,4,2,1,0.3,3,1,0
3,219,3,3,9/23/2018,NYG,@,HOU,"W, 27-22",*,25,29,16,48.5,181,6.2,136,5.4,4.7,161,6.4,0,0,0,0,0,2,6.9,12,1,2,7,21.2,0,,1,-1,0,-1,-1,0,0,0
4,220,4,4,9/30/2018,NYG,,NOR,"L, 18-33",*,31,41,18,40.9,250,6.1,117,3.8,2.9,138,4.5,0,1,0,0,0,8,20,12,5,2,10,22.2,1,6,2,5,0,5,2.5,0,0,0
5,221,5,5,10/7/2018,NYG,@,CAR,"L, 31-33",*,22,36,14,37.8,376,10.4,226,10.3,6.3,100,4.5,0,0,0,2,5.6,5,13.9,9,6,2,9,24.3,0,,1,2,1,2,2,0,0,0
6,222,6,6,10/11/2018,NYG,,PHI,"L, 13-34",*,24,43,11,23.4,275,6.4,80,3.3,1.9,201,8.4,0,0,0,1,2.3,7,16.3,1,3,6,13,27.7,0,,0,0,0,0,,0,,0
7,223,7,7,10/22/2018,NYG,@,ATL,"L, 20-23",*,27,38,15,35.7,277,7.3,188,7,4.9,211,7.8,0,0,0,3,7.9,6,15.8,12,5,3,12,27.9,1,7,3,7,0,7,2.3,0,0,0
8,224,8,8,10/28/2018,NYG,,WAS,"L, 13-20",*,30,47,15,27.8,338,7.2,160,5.3,3.4,156,5.2,0,0,1,3,6.5,5,10.9,6,2,1,10,18.5,0,,0,0,0,0,,0,,0
9,225,9,10,11/12/2018,NYG,@,SFO,"W, 27-23",*,19,31,10,31.3,273,8.8,107,5.6,3.5,81,4.3,0,0,0,2,6.5,4,12.9,3,8,1,10,31.3,0,,0,0,0,0,,0,,0
10,226,10,11,11/18/2018,NYG,,TAM,"W, 38-35",*,17,18,10,45.5,138,7.7,116,6.8,6.4,115,6.8,0,0,0,0,0,1,5.6,4,2,1,7,31.8,0,,1,-1,0,-1,-1,0,0,0
11,227,11,12,11/25/2018,NYG,@,PHI,"L, 22-25",*,26,37,14,35.9,337,9.1,164,6.3,4.4,133,5.1,0,0,0,2,5.4,8,21.6,2,4,2,8,20.5,0,,0,0,0,0,,0,,0
12,228,12,13,12/2/2018,NYG,,CHI,"W, 30-27 (OT)",*,19,35,11,28.9,233,6.7,96,5.1,2.7,74,3.9,0,1,0,1,2.9,5,14.7,5,3,3,9,23.7,0,,0,0,0,0,,0,,0
13,229,13,14,12/9/2018,NYG,@,WAS,"W, 40-16",*,14,22,11,45.8,118,5.4,68,4.9,3.1,129,9.2,0,1,0,0,0,3,14.3,7,0,1,3,12.5,0,,0,0,0,0,,0,,0
14,230,14,15,12/16/2018,NYG,,TEN,"L, 0-17",*,21,44,12,25.5,347,7.9,161,7.7,3.7,68,3.2,0,0,0,3,6.8,15,34.1,12,5,5,13,27.7,0,,0,0,0,0,,0,,0
15,231,15,16,12/23/2018,NYG,@,IND,"L, 27-28",*,25,33,17,51.5,224,6.8,148,5.9,4.5,161,6.4,0,2,0,0,0,4,12.9,11,4,3,7,21.2,0,,2,0,1,-1,-0.5,1,0.5,0
16,232,16,17,12/30/2018,NYG,,DAL,"L, 35-36",*,24,41,12,28.6,336,8.2,130,5.4,3.2,171,7.1,0,2,0,2,5.1,10,25.6,10,2,3,6,14.3,0,,1,2,1,1,1,1,1,0
,,,,,,,,11-May,,380,576,205,32.9,4239,7.4,2147,5.7,3.7,2152,5.7,0,9,1,24,4.2,94,16.6,122,64,41,152,24.2,4,4,15,20,5,15,1,5,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
