,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,51,1,1,9/7/2025,NYJ,,PIT,"L, 32-34",*,16,22,9,39.1,169,7.7,142,8.9,6.5,76,4.8,2,1,0,0,0,1,4.8,9,0,5,6,23.1,3,5.7,12,48,5,28,2.3,20,1.7,2,6
2,52,2,2,9/14/2025,NYJ,,BUF,"L, 10-30",*,3,11,1,7.7,93,8.5,19,6.3,1.7,8,2.7,1,1,0,3,30,3,30,4,0,2,4,26.7,2,14,5,49,2,48,9.6,1,0.2,0,
3,53,4,4,9/29/2025,NYJ,@,MIA,"L, 21-27",*,20,27,12,41.4,211,7.8,140,7,5.2,86,4.3,0,0,0,1,3.7,3,11.1,8,1,1,4,11.4,6,12.8,7,81,3,78,11.1,3,0.4,0,
4,54,5,5,10/5/2025,NYJ,,DAL,"L, 22-37",*,32,46,14,27.5,308,6.7,173,5.4,3.8,110,3.4,2,1,1,1,2.3,8,18.2,10,10,8,23,42.6,3,8,7,26,3,26,3.7,0,0,0,
5,55,6,6,10/12/2025,NYJ,,DEN,"L, 11-13",*,9,17,2,7.7,94,5.5,32,3.6,1.9,13,1.4,1,1,0,1,6.3,2,12.5,6,0,2,11,37.9,3,5.7,7,31,1,17,2.4,14,2,0,
6,56,7,7,10/19/2025,NYJ,,CAR,"L, 6-13",*,6,12,2,13.3,87,7.3,15,2.5,1.3,31,5.2,1,1,0,0,0,3,27.3,4,2,1,6,37.5,1,7,4,22,1,16,4,6,1.5,1,4
7,57,8,8,10/26/2025,NYJ,@,CIN,"W, 39-38",*,21,32,12,37.5,180,5.6,92,4.4,2.9,152,7.2,0,2,1,2,6.9,2,6.9,7,1,1,2,5.4,5,3.2,11,31,3,29,2.6,2,0.2,0,
8,58,9,10,11/9/2025,NYJ,,CLE,"W, 27-20",*,6,11,1,7.1,38,3.5,-13,-2.2,-1.2,67,11.2,1,0,0,0,0,0,0,6,0,4,7,43.8,2,11,7,28,2,24,3.4,4,0.6,0,
9,59,10,11,11/13/2025,NYJ,@,NWE,"L, 14-27",*,15,26,5,17.9,205,7.9,73,4.9,2.8,43,2.9,1,1,0,3,12,3,12,5,0,4,6,18.8,4,10,11,67,6,43,3.9,24,2.2,0,
,,,,,,,,7-Feb,,128,204,58,25.1,1385,6.8,673,5.3,3.3,586,4.6,9,8,2,11,5.7,25,12.9,59,14,28,69,26.5,29,8.6,71,383,26,309,4.4,74,1,3,23.7
