,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,134,1,1,9/9/2018,TAM,@,NOR,"W, 48-40",*,21,28,17,60.7,341,12.2,287,13.7,10.3,130,6.2,0,0,0,1,3.6,3,10.7,10,1,3,4,11.8,6,5.8,12,36,3,35,2.9,1,0.1,0
2,135,2,2,9/16/2018,TAM,,PHI,"W, 27-21",*,27,33,17,48.6,318,9.6,243,9,7.4,159,5.9,0,2,0,1,3.2,2,6.5,7,2,6,10,28.6,0,,1,-1,0,-1,-1,0,0,0
3,136,3,3,9/24/2018,TAM,,PIT,"L, 27-30",*,30,50,22,41.5,556,11.1,290,9.7,5.8,121,4,0,1,0,1,2,11,22.4,18,9,9,21,36.8,4,7,5,27,1,27,5.4,0,0,0
4,137,4,4,9/30/2018,TAM,@,CHI,"L, 10-48",*,9,18,3,15,195,10.8,81,9,4.5,45,5,0,0,0,2,11.1,3,16.7,2,0,1,3,15,0,,0,0,0,0,,0,,0
5,138,7,8,10/28/2018,TAM,@,CIN,"L, 34-37",,11,15,7,43.8,190,12.7,129,11.7,8.6,65,5.9,0,1,0,0,0,1,7.1,4,1,0,2,11.8,1,18,1,18,0,18,18,0,0,0
6,139,8,9,11/4/2018,TAM,@,CAR,"L, 28-42",*,24,40,17,39.5,353,8.8,135,5.6,3.4,108,4.5,0,1,0,0,0,8,20.5,24,5,3,11,23.4,4,5.5,5,23,1,21,4.2,2,0.4,0
7,140,9,10,11/11/2018,TAM,,WAS,"L, 3-16",*,29,41,22,51.2,431,10.5,238,8.2,5.8,168,5.8,0,0,0,3,7.3,3,7.3,6,1,2,5,10.4,5,5,8,35,2,34,4.3,1,0.1,0
8,141,10,11,11/18/2018,TAM,@,NYG,"L, 35-38",*,13,21,8,36.4,162,7.7,89,6.8,4.2,78,6,0,1,0,0,0,5,25,5,5,3,9,36,3,4.7,4,14,2,14,3.5,0,0,0
,,,,,,,,6-Feb,,164,246,113,43.5,2546,10.3,1492,9.1,6.1,874,5.3,0,6,0,8,3.3,36,15,76,24,27,65,23,23,6.2,36,152,9,148,4.1,4,0.1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
