,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,142,1,1,9/8/2019,MIA,,BAL,"L, 10-59",*,14,29,10,32.3,402,13.9,135,9.6,4.7,50,3.6,0,0,0,1,3.4,10,34.5,12,6,7,15,46.9,1,8,1,8,1,8,8,0,0,0,
2,143,2,2,9/15/2019,MIA,,NWE,"L, 0-43",*,11,21,3,12,176,8.4,60,5.5,2.9,29,2.6,2,0,0,2,9.5,1,4.8,9,1,1,6,23.1,1,6,1,6,1,6,6,0,0,0,
4,145,5,6,10/13/2019,MIA,,WAS,"L, 16-17",,12,18,7,38.9,181,10.1,92,7.7,5.1,40,3.3,0,0,1,0,0,4,23.5,2,7,0,7,36.8,1,5,2,5,1,5,2.5,0,0,0,
5,146,6,7,10/20/2019,MIA,@,BUF,"L, 21-31",*,23,35,13,37.1,335,9.6,186,8.1,5.3,96,4.2,0,0,1,2,5.9,7,20.6,11,2,5,7,18.4,3,8.7,6,13,2,-1,-0.2,14,2.3,1,6
6,147,7,8,10/28/2019,MIA,@,PIT,"L, 14-27",*,21,34,11,28.9,299,8.8,129,6.1,3.8,61,2.9,0,1,0,3,9.1,7,21.2,14,6,6,16,39,3,6,5,17,1,11,2.2,6,1.2,0,
7,148,8,9,11/3/2019,MIA,,NYJ,"W, 26-18",*,24,36,16,40,343,9.5,182,7.6,5.1,106,4.4,3,0,0,3,8.3,4,11.1,15,3,2,9,21.4,2,5,5,2,0,2,0.4,0,0,0,
8,149,9,10,11/10/2019,MIA,@,IND,"W, 16-12",*,21,33,11,30.6,173,5.2,77,3.7,2.3,92,4.4,3,0,0,1,3,5,15.2,8,4,3,10,25.6,3,8,4,23,1,16,4,7,1.8,1,4
9,150,10,11,11/17/2019,MIA,,BUF,"L, 20-37",*,32,45,13,25,317,7,187,5.8,4.2,136,4.3,1,1,0,4,9.1,4,9.1,18,4,6,17,32.7,0,,1,0,0,0,0,0,0,0,
10,151,11,12,11/24/2019,MIA,@,CLE,"L, 24-41",*,21,39,14,32.6,336,8.6,134,6.4,3.4,80,3.8,1,0,1,1,2.6,9,23.7,21,3,2,9,18.8,5,9,5,45,3,36,7.2,9,1.8,0,
11,152,12,13,12/1/2019,MIA,,PHI,"W, 37-31",*,27,39,18,42.9,351,9,250,9.3,6.4,115,4.3,1,1,0,0,0,6,15.8,12,0,7,10,23.3,1,3,3,2,0,1,0.3,1,0.3,0,
12,153,13,14,12/8/2019,MIA,@,NYJ,"L, 21-22",*,21,37,13,33.3,318,8.6,163,7.8,4.4,82,3.9,0,3,0,0,0,9,26.5,15,4,8,14,31.1,6,9.8,7,65,2,58,8.3,7,1,1,7
13,154,14,15,12/15/2019,MIA,@,NYG,"L, 20-36",*,23,41,13,29.5,324,7.9,155,6.7,3.8,124,5.4,2,0,0,7,17.1,3,7.3,15,3,6,12,25,4,8.3,4,33,2,29,7.3,4,1,0,
14,155,15,16,12/22/2019,MIA,,CIN,"W, 38-35 (OT)",*,31,52,21,38.9,510,9.8,285,9.2,5.5,134,4.3,2,1,0,2,3.9,10,19.6,19,3,10,15,27.3,1,15,5,9,1,9,1.8,0,0,0,
15,156,16,17,12/29/2019,MIA,@,NWE,"W, 27-24",*,28,41,18,41.9,376,9.2,203,7.3,5,117,4.2,0,0,0,2,4.9,8,19.5,21,1,2,5,10.6,4,3.8,5,15,1,15,3,0,0,0,
,,,,,,,,10-May,,311,502,182,33.6,4467,8.9,2264,7.3,4.5,1265,4.1,15,7,3,28,5.7,87,17.7,192,48,66,154,26.7,35,7.6,54,243,16,195,3.6,48,0.9,3,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
