,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,155,1,1,9/9/2018,BAL,,BUF,"W, 47-3",*,25,34,11,31.4,205,6,143,5.7,4.2,93,3.7,0,0,0,2,5.9,3,8.8,3,8,1,10,28.6,0,,2,3,1,1,0.5,2,1,0
2,156,2,2,9/13/2018,BAL,@,CIN,"L, 23-34",*,32,55,20,33.9,509,9.3,229,7.2,4.2,147,4.6,0,0,2,3,5.7,8,15.1,18,7,6,17,28.3,1,2,3,8,3,8,2.7,0,0,0
3,157,3,3,9/23/2018,BAL,,DEN,"W, 27-14",*,25,40,13,31,365,9.1,180,7.2,4.5,97,3.9,0,1,1,3,7.9,6,15.8,15,3,1,6,14.3,0,,4,2,1,0,0,2,0.5,0
4,158,4,4,9/30/2018,BAL,@,PIT,"W, 26-14",*,28,42,17,38.6,387,9.2,208,7.4,5,155,5.5,0,1,0,2,4.9,10,24.4,10,1,0,3,6.8,0,,2,-3,0,-3,-1.5,0,0,0
5,159,5,5,10/7/2018,BAL,@,CLE,"L, 9-12 (OT)",*,29,56,13,22.4,448,8,122,4.2,2.2,176,6.1,0,0,0,4,7.1,13,23.2,12,12,5,19,32.2,1,11,2,13,2,12,6,1,0.5,0
6,160,6,6,10/14/2018,BAL,@,TEN,"W, 21-0",*,25,37,13,35.1,343,9.3,165,6.6,4.5,73,2.9,0,1,0,1,2.8,5,13.9,11,4,1,5,13.2,1,2,3,4,1,1,0.3,3,1,0
7,161,7,7,10/21/2018,BAL,,NOR,"L, 23-24",*,23,39,14,35,333,8.5,169,7.3,4.3,110,4.8,0,3,0,2,5.6,5,13.9,8,6,1,8,20,0,,1,4,1,4,4,0,0,0
8,162,8,8,10/28/2018,BAL,@,CAR,"L, 21-36",*,22,39,9,22,366,9.4,101,4.6,2.6,91,4.1,0,0,0,3,7.7,10,25.6,17,3,4,9,21.4,1,13,2,14,1,13,6.5,1,0.5,0
9,163,9,9,11/4/2018,BAL,,PIT,"L, 16-23",*,23,37,9,23.1,281,7.6,133,5.8,3.6,73,3.2,0,3,0,2,5.9,5,14.7,22,3,3,8,20.5,0,,0,0,0,0,,0,,0
,,,,,,,,5-Apr,,232,379,119,30.1,3237,8.5,1450,6.3,3.8,1015,4.4,0,9,3,22,6,65,17.7,116,47,22,85,21.3,4,7,19,45,10,36,1.9,9,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
