,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk,Gcar,Gtm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
5,201,6,6,10/12/2025,CIN,@,GNB,"L, 18-27",*,29,45,12,26.1,269,6,126,4.3,2.8,93,3.2,0,3,2,3,7.5,5,12.5,9,4,4,9,19.6,0,,5,201,6,0,0,0,0,,0,,0
6,202,7,7,10/16/2025,CIN,,PIT,"W, 33-31",*,31,47,16,32.7,337,7.2,174,5.6,3.7,168,5.4,1,3,0,1,2.3,6,13.6,11,0,3,5,10.2,0,,6,202,7,5,3,2,-1,-0.2,4,0.8,0
7,203,8,8,10/26/2025,CIN,,NYJ,"L, 38-39",*,21,34,11,31.4,216,6.4,71,3.4,2.1,152,7.2,0,3,0,1,3.2,3,9.7,3,4,1,6,16.7,1,13,7,203,8,2,14,2,14,7,0,0,0
8,204,9,9,11/2/2025,CIN,,CHI,"L, 42-47",*,31,47,22,44,427,9.1,287,9.3,6.1,183,5.9,2,1,0,3,6.5,7,15.2,11,3,2,8,16,0,,8,204,9,1,-1,0,-1,-1,0,0,0
9,205,10,11,11/16/2025,CIN,@,PIT,"L, 12-34",*,23,40,9,22,285,7.1,102,4.4,2.6,97,4.2,2,1,0,0,0,8,20.5,6,5,2,8,19.5,0,,9,205,10,1,-1,0,-1,-1,0,0,0
10,206,11,12,11/23/2025,CIN,,NWE,"L, 20-26",*,19,37,9,23.7,327,8.8,128,6.7,3.5,55,2.9,0,3,1,3,9.1,7,21.2,5,3,5,9,23.7,0,,10,206,11,1,3,1,3,3,0,0,0
11,207,15,16,12/21/2025,CIN,@,MIA,"W, 45-21",,1,1,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,207,15,0,0,0,0,,0,,0
12,208,16,17,12/28/2025,CIN,,ARI,"W, 37-14",,3,5,1,20,15,3,9,3,1.8,15,5,0,1,0,0,0,1,25,1,0,0,0,0,1,5,12,208,16,4,2,1,2,0.5,0,0,0
13,209,17,18,1/4/2026,CIN,,CLE,"L, 18-20",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,13,209,17,1,2,1,2,2,0,0,0
,,,,,,,,9-Apr,,251,416,115,26.5,3042,7.3,1314,5.2,3.2,1165,4.6,7,27,4,19,4.9,63,16.4,83,31,41,90,20.5,4,7.5,,,,21,35,9,31,1.5,4,0.2,0
