,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,59,3,3,9/27/2020,CHI,@,ATL,"W, 30-26",,16,29,7,24.1,266,9.2,93,5.8,3.2,95,5.9,0,2,0,1,3.7,5,18.5,9,1,6,7,24.1,0,,3,-3,0,-3,-1,0,0,0
2,60,4,4,10/4/2020,CHI,,IND,"L, 11-19",*,26,42,12,27.9,373,8.9,178,6.8,4.2,71,2.7,1,0,0,1,2.4,9,21.4,4,2,4,7,16.3,0,,2,-1,0,-1,-0.5,0,0,0
3,61,5,5,10/8/2020,CHI,,TAM,"W, 20-19",*,30,42,14,31.1,333,7.9,152,5.1,3.6,91,3,0,0,0,0,0,4,9.5,17,2,4,9,20,0,,1,-1,0,-1,-1,0,0,0
4,62,6,6,10/18/2020,CHI,@,CAR,"W, 23-16",*,23,39,14,35.9,240,6.2,110,4.8,2.8,88,3.8,0,2,1,2,5.6,5,13.9,9,2,8,10,25,1,7,5,4,2,1,0.2,3,0.6,0
5,63,7,7,10/26/2020,CHI,@,LAR,"L, 10-24",*,28,40,9,20.5,449,11.2,149,5.3,3.7,112,4,0,2,0,1,2.6,4,10.5,18,4,3,11,25,0,,0,0,0,0,,0,,0
6,64,8,8,11/1/2020,CHI,,NOR,"L, 23-26 (OT)",*,28,41,12,26.1,326,8,208,7.4,5.1,64,2.3,0,0,0,4,9.8,7,17.1,15,1,2,8,17.4,0,,0,0,0,0,,0,,0
7,65,9,9,11/8/2020,CHI,@,TEN,"L, 17-24",*,36,52,17,30.9,320,6.2,201,5.6,3.9,134,3.7,3,4,0,0,0,6,12.5,14,3,6,12,21.4,1,2,2,2,0,2,1,0,0,0
8,66,10,10,11/16/2020,CHI,,MIN,"L, 13-19",*,15,26,8,28.6,188,7.2,60,4,2.3,46,3.1,1,1,0,0,0,7,28,13,0,8,10,34.5,1,2,1,2,0,2,2,0,0,0
,,,,,,,,5-Apr,,202,312,93,28.2,2502,8,1151,5.7,3.7,701,3.5,5,11,1,9,3,48,16,99,15,41,74,22.2,3,3.7,16,1,2,-2,-0.1,3,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
