,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,27,1,1,9/8/2019,SFO,@,TAM,"W, 31-17",*,18,27,7,25,156,5.8,59,3.3,2.2,107,5.9,0,0,0,0,0,7,25.9,12,3,0,4,14.3,0,,2,-2,0,-2,-1,0,0,0,
2,28,2,2,9/15/2019,SFO,@,CIN,"W, 41-17",*,17,25,13,52,191,7.6,96,5.6,3.8,200,11.8,0,0,0,1,4,6,24,7,0,2,2,7.4,2,5,4,8,1,6,1.5,2,0.5,0,
3,29,3,3,9/22/2019,SFO,,PIT,"W, 24-20",*,23,32,14,42.4,266,8.3,186,8.1,5.8,91,4,2,0,0,4,12.5,2,6.3,23,2,7,10,30.3,0,,6,3,2,3,0.5,0,0,0,
4,30,4,5,10/7/2019,SFO,,CLE,"W, 31-3",*,20,29,11,35.5,181,6.2,110,5.5,3.8,71,3.6,1,1,0,1,3.6,3,10.7,13,0,2,4,12.9,0,,4,-3,0,-3,-0.8,0,0,0,
5,31,5,6,10/13/2019,SFO,@,LAR,"W, 20-7",*,24,33,14,40,145,4.4,66,2.8,2,177,7.4,0,1,0,2,6.3,4,12.5,11,4,1,7,20,0,,5,4,2,2,0.4,2,0.4,0,
6,32,6,7,10/20/2019,SFO,@,WAS,"W, 9-0",*,12,21,8,34.8,187,8.9,84,7,4,67,5.6,0,1,0,0,0,3,15,7,1,0,3,12,2,9,4,20,2,8,2,12,3,1,4
7,33,7,8,10/27/2019,SFO,,CAR,"W, 51-13",*,18,22,12,48,117,5.3,80,4.4,3.6,95,5.3,0,0,0,0,0,2,9.1,7,2,1,6,24,0,,0,0,0,0,,0,,0,
8,34,8,9,10/31/2019,SFO,@,ARI,"W, 28-25",*,28,37,15,39.5,261,7.1,179,6.4,4.8,138,4.9,1,0,0,1,2.7,4,10.8,16,3,3,7,17.9,1,4,3,2,0,2,0.7,0,0,0,
9,35,9,10,11/11/2019,SFO,,SEA,"L, 24-27 (OT)",*,24,46,15,29.4,374,8.1,89,3.7,1.9,159,6.6,1,1,1,6,13.6,8,18.2,13,9,4,18,35.3,0,,2,1,1,0,0,1,0.5,0,
10,36,10,11,11/17/2019,SFO,,ARI,"W, 36-26",*,34,45,20,42.6,244,5.4,160,4.7,3.6,264,7.8,0,1,0,2,4.5,5,11.4,25,4,4,10,20.8,1,7,1,7,0,7,7,0,0,0,
11,37,11,12,11/24/2019,SFO,,GNB,"W, 37-8",*,14,20,9,39.1,121,6.1,113,8.1,5.7,140,10,0,0,1,1,5.3,3,15.8,6,0,2,5,20.8,1,1,2,1,0,1,0.5,0,0,0,
12,38,12,13,12/1/2019,SFO,@,BAL,"L, 17-20",*,15,21,7,30.4,158,7.5,107,7.1,5.1,58,3.9,1,0,0,1,4.8,3,14.3,20,4,1,7,28,2,2,3,5,1,5,1.7,0,0,0,
13,39,13,14,12/8/2019,SFO,@,NOR,"W, 48-46",*,26,35,14,36.8,216,6.2,172,6.6,4.9,177,6.8,0,1,0,4,11.8,2,5.9,17,0,2,5,12.8,1,2,2,1,1,1,0.5,0,0,0,
14,40,14,15,12/15/2019,SFO,,ATL,"L, 22-29",*,22,34,10,28.6,135,4,52,2.4,1.5,148,6.7,0,1,0,2,6.1,6,18.2,10,5,2,8,22.2,1,3,2,6,1,6,3,0,0,0,
15,41,15,16,12/21/2019,SFO,,LAR,"W, 34-31",*,16,27,12,36.4,207,7.7,130,8.1,4.8,118,7.4,0,0,0,2,7.4,4,14.8,12,2,1,9,26.5,1,7,4,5,1,5,1.3,0,0,0,
16,42,16,17,12/29/2019,SFO,@,SEA,"W, 26-21",*,18,22,12,50,147,6.7,136,7.6,6.2,149,8.3,0,0,0,1,4.5,2,9.1,2,2,0,4,16.7,0,,2,4,1,4,2,0,0,0,
,,,,,,,,13-3,,329,476,193,37.7,3106,6.5,1819,5.5,3.8,2159,6.6,6,7,2,28,6,64,13.7,201,41,32,109,20.8,12,4.7,46,62,13,45,1,17,0.4,1,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
