,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,64,2,2,9/18/2022,SFO,,SEA,"W, 27-7",,13,21,7,31.8,174,8.3,67,5.2,3.2,87,6.7,2,0,0,2,9.5,3,14.3,5,1,2,4,18.2,0,,4,5,2,1,0.3,4,1,0
2,65,3,3,9/25/2022,SFO,@,DEN,"L, 10-11",*,18,29,9,27.3,242,8.3,129,7.2,4.4,82,4.6,1,0,0,2,6.9,5,17.2,11,1,3,8,24.2,0,,1,0,0,0,0,0,0,0
3,66,4,4,10/3/2022,SFO,,LAR,"W, 24-9",*,16,27,9,33.3,151,5.6,44,2.8,1.6,195,12.2,1,2,0,2,8,4,16,12,1,1,2,7.1,1,3,1,3,1,3,3,0,0,0
4,67,5,5,10/9/2022,SFO,@,CAR,"W, 37-15",*,18,30,12,37.5,235,7.8,110,6.1,3.7,143,7.9,3,0,0,7,23.3,2,6.7,12,1,3,6,18.8,0,,1,-1,1,-1,-1,0,0,0
5,68,6,6,10/16/2022,SFO,@,ATL,"L, 14-28",*,29,41,15,36.6,313,7.6,84,2.9,2,212,7.3,1,0,0,3,7.3,3,7.3,5,0,4,4,9.5,1,6,3,11,2,5,1.7,6,2,0
6,69,7,7,10/23/2022,SFO,,KAN,"L, 23-44",*,25,37,14,33.3,248,6.7,141,5.6,3.8,162,6.5,1,0,0,0,0,6,16.2,12,1,2,8,19,0,,2,2,1,2,1,0,0,0
7,70,8,8,10/30/2022,SFO,@,LAR,"W, 31-14",*,21,25,11,39.3,162,6.5,104,5,4.2,131,6.2,0,0,0,0,0,0,0,7,2,0,5,17.9,0,,1,3,1,2,2,1,1,0
8,71,9,10,11/13/2022,SFO,,LAC,"W, 22-16",*,19,28,10,34.5,175,6.3,102,5.4,3.6,138,7.3,0,0,0,1,3.6,7,25,3,1,0,2,6.7,1,2,5,3,2,2,0.4,1,0.2,0
9,72,10,11,11/21/2022,SFO,@,ARI,"W, 38-10",*,20,29,13,44.8,176,6.1,76,3.8,2.6,152,7.6,1,0,0,1,3.4,4,13.8,8,1,4,5,17.2,0,,1,3,1,0,0,3,3,0
10,73,11,12,11/27/2022,SFO,,NOR,"W, 13-0",*,26,37,12,31.6,195,5.3,99,3.8,2.7,123,4.7,0,0,0,1,2.7,5,13.5,11,0,5,6,15.8,0,,4,4,1,0,0,4,1,0
,,,,,,,,3-Aug,,207,308,114,35,2115,6.9,990,4.8,3.2,1447,7,10,2,0,21,6.9,39,12.7,87,9,24,51,15.5,3,3.7,23,33,12,14,0.6,19,0.8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
