,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,135,1,1,9/7/2025,DET,@,GNB,"L, 13-27",*,31,39,13,30.2,163,4.2,104,3.4,2.7,121,3.9,0,1,0,0,0,4,10.5,4,4,3,11,25.6,0,,1,-1,0,-1,-1,0,0,0
2,136,2,2,9/14/2025,DET,,CHI,"W, 52-21",*,23,28,15,53.6,274,9.8,169,7.3,6,165,7.2,0,0,0,2,7.1,3,10.7,1,1,4,5,17.2,1,6,1,6,0,6,6,0,0,0
3,137,3,3,9/22/2025,DET,@,BAL,"W, 38-30",*,20,28,11,39.3,211,7.5,133,6.7,4.8,69,3.5,0,2,0,0,0,5,19.2,10,1,5,6,20.7,1,5,4,6,1,4,1,2,0.5,0
4,138,4,4,9/28/2025,DET,,CLE,"W, 34-10",*,16,27,8,29.6,313,11.6,92,5.8,3.4,76,4.8,0,2,0,2,8,7,28,5,3,5,8,29.6,0,,0,0,0,0,,0,,0
5,139,5,5,10/5/2025,DET,@,CIN,"W, 37-24",*,19,23,14,51.9,103,4.5,86,4.5,3.7,172,9.1,1,1,0,0,0,3,13.6,11,0,4,8,29.6,0,,2,-2,0,-2,-1,0,0,0
6,140,6,6,10/12/2025,DET,@,KAN,"L, 17-30",*,23,29,13,43.3,107,3.7,74,3.2,2.6,129,5.6,0,2,0,1,3.7,3,11.1,8,1,3,5,16.1,1,7,1,7,1,7,7,0,0,0
7,141,7,7,10/20/2025,DET,,TAM,"W, 24-9",*,20,29,9,27.3,157,5.4,54,2.7,1.9,187,9.4,1,1,0,0,0,7,25,12,2,5,11,32.4,1,6,2,7,1,7,3.5,0,0,0
8,142,8,9,11/2/2025,DET,,MIN,"L, 24-27",*,25,37,11,26.2,217,5.9,143,5.7,3.9,141,5.6,1,1,0,2,5.6,8,22.2,14,4,6,15,35.7,0,,0,0,0,0,,0,,0
9,143,9,10,11/9/2025,DET,@,WAS,"W, 44-22",*,25,33,19,57.6,163,4.9,128,5.1,3.9,192,7.7,1,3,0,1,3.3,2,6.7,10,0,5,5,15.2,0,,0,0,0,0,,0,,0
10,144,10,11,11/16/2025,DET,@,PHI,"L, 9-16",*,14,37,10,25.6,246,6.6,62,4.4,1.7,193,13.8,5,1,0,2,5.6,11,30.6,9,0,5,7,17.9,0,,1,-1,0,-1,-1,0,0,0
11,145,11,12,11/23/2025,DET,,NYG,"W, 34-27 (OT)",*,28,42,13,28.9,223,5.3,110,3.9,2.6,169,6,0,2,2,3,7.9,5,13.2,7,6,4,13,28.9,0,,0,0,0,0,,0,,0
12,146,12,13,11/27/2025,DET,,GNB,"L, 24-31",*,20,26,12,41.4,172,6.6,147,7.4,5.7,109,5.5,2,0,0,2,7.7,2,7.7,5,1,2,6,20,1,24,1,24,1,24,24,0,0,0
13,147,13,14,12/4/2025,DET,,DAL,"W, 44-30",*,25,34,10,28.6,227,6.7,132,5.3,3.9,177,7.1,0,3,0,1,3.2,3,9.7,7,0,7,8,22.9,0,,2,-2,0,-2,-1,0,0,0
14,148,14,15,12/14/2025,DET,@,LAR,"L, 34-41",*,25,41,17,40.5,347,8.5,243,9.7,5.9,95,3.8,0,4,0,2,5.4,8,21.6,9,3,7,11,26.2,0,,0,0,0,0,,0,,0
15,149,15,16,12/21/2025,DET,,PIT,"L, 24-29",*,34,54,19,33.3,312,5.8,190,5.6,3.5,174,5.1,0,2,0,4,7.7,7,13.5,10,3,5,11,19.3,0,,1,-1,0,-1,-1,0,0,0
16,150,16,17,12/25/2025,DET,@,MIN,"L, 10-23",*,18,29,12,35.3,199,6.9,111,6.2,3.8,86,4.8,3,0,0,1,3.4,6,20.7,19,0,3,8,23.5,0,,3,2,1,0,0,2,0.7,0
17,151,17,18,1/4/2026,DET,@,CHI,"W, 19-16",*,27,42,17,38.6,250,6,162,6,3.9,169,6.3,1,6,0,2,5.6,2,5.6,11,9,3,14,31.8,0,,0,0,0,0,,0,,0
,,,,,,,,8-Sep,,393,578,223,36.2,3684,6.4,2140,5.4,3.7,2424,6.2,15,31,2,25,4.6,86,15.8,152,38,76,152,24.5,5,9.6,19,45,5,41,2.2,4,0.2,0
