,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,1,4,4,9/29/2019,WAS,@,NYG,"L, 3-24",,9,17,5,26.3,132,7.8,35,3.9,2.1,72,8,1,1,0,1,6.3,1,6.3,2,1,2,5,23.8,2,11.5,2,23,1,19,9.5,4,2,0
3,3,9,9,11/3/2019,WAS,@,BUF,"L, 9-24",*,15,22,7,26.9,144,6.5,66,4.4,3,78,5.2,0,0,0,0,0,5,22.7,7,3,0,7,24.1,3,4.7,3,14,1,9,3,5,1.7,0
4,4,10,11,11/17/2019,WAS,,NYJ,"L, 17-34",*,19,35,8,19.5,257,7.3,131,6.9,3.7,83,4.4,1,3,0,6,18.8,4,12.5,17,7,3,16,38.1,1,4,4,5,1,2,0.5,3,0.8,0
5,5,11,12,11/24/2019,WAS,,DET,"W, 19-16",*,13,29,7,21.9,386,13.3,109,8.4,3.8,47,3.6,1,0,0,1,3.4,9,31,12,0,3,6,17.6,2,14.5,3,28,2,11,3.7,17,5.7,0
6,6,12,13,12/1/2019,WAS,@,CAR,"W, 29-21",*,13,25,8,26.7,204,8.2,101,7.8,4,46,3.5,0,1,0,4,16.7,6,25,15,3,4,12,37.5,2,3.5,4,6,1,5,1.3,1,0.3,0
7,7,13,14,12/8/2019,WAS,@,GNB,"L, 15-20",*,16,27,11,35.5,255,9.4,84,5.3,3.1,86,5.4,1,0,1,0,0,7,26.9,7,4,3,11,35.5,0,,1,-1,0,-2,-2,1,1,0
8,8,14,15,12/15/2019,WAS,,PHI,"L, 27-37",*,19,28,10,34.5,196,7,117,6.2,4.2,144,7.6,0,1,0,2,7.4,3,11.1,5,13,0,14,45.2,2,1.5,3,26,1,22,7.3,4,1.3,0
9,9,15,16,12/22/2019,WAS,,NYG,"L, 35-41 (OT)",*,12,15,8,47.1,155,10.3,104,8.7,6.9,29,2.4,0,0,0,0,0,2,13.3,8,0,2,4,23.5,0,,0,0,0,0,,0,,0
,,,,,,,,7-Feb,,119,203,65,28,1751,8.6,750,6.3,3.7,615,5.2,4,6,1,14,7.1,38,19.4,75,32,17,78,32,12,6.7,20,101,7,66,3.3,35,1.8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
