,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,9,1,1,9/12/2021,WAS,,LAC,"L, 16-20",,11,15,6,40,109,7.3,82,7.5,5.5,40,3.6,0,1,0,1,7.1,2,14.3,5,0,4,4,22.2,3,5.7,3,17,1,14,4.7,3,1,0,
2,10,2,2,9/16/2021,WAS,,NYG,"W, 30-29",*,34,46,13,27.7,344,7.5,184,5.4,4,152,4.5,0,1,1,1,2.3,6,13.6,7,7,1,9,18.4,2,1,4,6,1,5,1.3,1,0.3,1,4
3,11,3,3,9/26/2021,WAS,@,BUF,"L, 21-43",*,14,24,8,32,165,6.9,64,4.6,2.7,148,10.6,1,0,0,3,12.5,3,12.5,5,6,2,9,30,5,4.2,8,21,1,21,2.6,0,0,0,
4,12,4,4,10/3/2021,WAS,@,ATL,"W, 34-30",*,23,33,16,47.1,295,8.9,146,6.3,4.4,144,6.3,0,0,0,1,3,4,12.1,9,0,3,4,10.5,4,11,5,43,2,43,8.6,0,0,0,
5,13,5,5,10/10/2021,WAS,,NOR,"L, 22-33",*,20,41,11,25.6,398,9.7,140,7,3.4,108,5.4,2,0,0,1,2.4,9,22,6,4,5,11,22.9,5,8,5,40,2,39,7.8,1,0.2,0,
6,14,6,6,10/17/2021,WAS,,KAN,"L, 13-31",*,24,39,8,20.5,275,7.1,49,2,1.3,133,5.5,0,0,0,2,5.1,8,20.5,13,2,7,9,23.1,0,,0,0,0,0,,0,,0,
7,15,7,7,10/24/2021,WAS,@,GNB,"L, 10-24",*,25,37,15,36.6,247,6.7,126,5,3.4,142,5.7,0,0,1,0,0,6,16.7,3,3,3,10,21.3,6,12.5,10,95,5,92,9.2,3,0.3,0,
8,16,8,8,10/31/2021,WAS,@,DEN,"L, 10-17",*,24,39,14,31.8,285,7.3,85,3.5,2.2,185,7.7,1,1,0,2,5.3,8,21.1,17,1,1,7,15.6,1,10,1,10,1,7,7,3,3,0,
9,17,9,10,11/14/2021,WAS,,TAM,"W, 29-19",*,26,32,13,35.1,236,7.4,167,6.4,5.2,89,3.4,1,0,0,2,6.3,2,6.3,18,6,3,14,35,3,5,3,15,1,5,1.7,10,3.3,0,
10,18,10,11,11/21/2021,WAS,@,CAR,"W, 27-21",*,16,22,10,40,241,11,153,9.6,7,53,3.3,0,2,0,0,0,3,15,10,4,3,10,38.5,1,9,6,29,3,21,3.5,8,1.3,0,
11,19,11,12,11/29/2021,WAS,,SEA,"W, 17-15",*,27,35,13,36.1,189,5.4,62,2.3,1.8,161,6,0,1,0,1,2.9,3,8.8,13,6,1,8,21.1,2,2.5,4,3,0,-1,-0.3,4,1,0,
12,20,12,13,12/5/2021,WAS,@,LVR,"W, 17-15",*,23,30,12,38.7,202,6.7,112,4.9,3.7,84,3.7,0,0,0,0,0,5,16.7,4,4,4,9,27.3,2,5.5,3,10,1,8,2.7,2,0.7,0,
13,21,13,14,12/12/2021,WAS,,DAL,"L, 20-27",*,11,25,5,17.2,275,11,65,5.9,2.6,57,5.2,1,0,0,2,8,6,24,12,2,3,9,30,1,3,3,8,0,8,2.7,0,0,0,
14,22,15,16,12/26/2021,WAS,@,DAL,"L, 14-56",*,7,22,5,19.2,181,8.2,50,7.1,2.3,71,10.1,1,1,0,2,9.5,8,38.1,14,4,4,12,46.2,0,,1,-1,0,-1,-1,0,0,0,
15,23,16,17,1/2/2022,WAS,,PHI,"L, 16-20",*,27,36,14,35.9,176,4.9,109,4,3,138,5.1,1,1,1,0,0,1,2.9,6,4,1,8,19.5,2,7,2,14,1,14,7,0,0,0,
16,24,17,18,1/9/2022,WAS,@,NYG,"W, 22-7",*,9,18,4,19,144,8,61,6.8,3.4,59,6.6,1,1,0,0,0,6,35.3,4,2,2,7,31.8,1,3,2,3,1,3,1.5,0,0,0,
,,,,,,,,9-Jul,,321,494,167,31.4,3762,7.6,1655,5.2,3.4,1764,5.5,9,9,3,18,3.7,80,16.6,146,55,47,140,24.6,38,7.1,60,313,20,278,4.6,35,0.6,1,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
