,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,33,1,1,9/11/2022,LAC,,LVR,"W, 24-19",*,26,34,12,35.3,235,6.9,159,6.1,4.7,120,4.6,0,0,0,2,5.9,5,14.7,4,4,3,7,20,1,3,4,1,0,1,0.3,0,0,0
2,34,2,2,9/15/2022,LAC,@,KAN,"L, 24-27",*,33,48,15,30,235,4.9,156,4.7,3.3,178,5.4,3,2,0,2,4.3,5,10.9,13,3,6,11,22,0,,2,1,1,1,0.5,0,0,0
3,35,3,3,9/25/2022,LAC,,JAX,"L, 10-38",*,25,45,13,28.3,352,7.8,124,5,2.8,173,6.9,1,4,0,1,2.4,8,19.5,10,4,5,10,21.3,1,7,1,7,1,7,7,0,0,0
4,36,4,4,10/2/2022,LAC,@,HOU,"W, 34-24",*,27,39,15,37.5,294,7.5,179,6.6,4.6,161,6,0,2,0,3,8.1,6,16.2,8,6,0,7,17.5,0,,4,-5,0,-5,-1.3,0,0,0
5,37,5,5,10/9/2022,LAC,@,CLE,"W, 30-28",*,22,34,13,37.1,177,5.2,83,3.8,2.4,145,6.6,1,1,0,4,12.1,2,6.1,7,2,2,5,13.2,3,5,5,13,1,13,2.6,0,0,0
6,38,6,6,10/17/2022,LAC,,DEN,"W, 19-16 (OT)",*,37,57,10,16.9,337,5.9,90,2.4,1.6,148,4,4,1,0,3,5.4,8,14.3,19,7,6,15,24.6,2,4.5,2,9,0,9,4.5,0,0,0
7,39,7,7,10/23/2022,LAC,,SEA,"L, 23-37",*,33,51,17,31.5,310,6.1,100,3,2,193,5.8,3,2,0,2,4.1,5,10.2,7,0,6,9,15.8,3,7.3,3,22,1,22,7.3,0,0,0
8,40,8,9,11/6/2022,LAC,@,ATL,"W, 20-17",*,30,43,16,37.2,241,5.6,126,4.2,2.9,119,4,3,0,0,4,9.3,6,14,3,1,2,3,6.8,1,3,1,3,0,3,3,0,0,0
9,41,9,10,11/13/2022,LAC,@,SFO,"L, 16-22",*,21,35,7,18.9,216,6.2,103,4.9,2.9,93,4.4,1,3,0,3,9.4,3,9.4,6,0,6,8,20,3,6,5,22,2,20,4,2,0.4,0
10,42,10,11,11/20/2022,LAC,,KAN,"L, 27-30",*,23,30,12,34.3,243,8.1,169,7.3,5.6,111,4.8,2,1,0,0,0,1,3.4,10,0,5,10,27,2,6,5,17,3,12,2.4,5,1,0
11,43,11,12,11/27/2022,LAC,@,ARI,"W, 25-24",*,35,47,18,35.3,176,3.7,99,2.8,2.1,175,5,3,0,0,1,2.1,5,10.6,12,3,9,16,30.2,2,19,4,38,3,38,9.5,0,0,0
12,44,12,13,12/4/2022,LAC,@,LVR,"L, 20-27",*,28,47,16,30.8,375,8,153,5.5,3.3,182,6.5,1,2,0,2,4.4,11,24.4,15,3,8,16,29.6,2,2,5,7,1,7,1.4,0,0,0
13,45,13,14,12/11/2022,LAC,,MIA,"W, 23-17",*,39,51,16,29.1,270,5.3,148,3.8,2.9,219,5.6,0,3,0,2,4.2,7,14.6,26,8,3,15,26.8,1,10,4,8,1,8,2,0,0,0
14,46,14,15,12/18/2022,LAC,,TEN,"W, 17-14",*,28,42,13,28.9,329,7.8,194,6.9,4.6,119,4.3,0,2,2,3,7.9,3,7.9,12,0,5,8,17.8,0,,1,2,1,2,2,0,0,0
15,47,15,16,12/26/2022,LAC,@,IND,"W, 20-3",*,24,31,10,28.6,238,7.7,132,5.5,4.3,103,4.3,0,1,0,2,6.7,3,10,6,5,3,12,33.3,1,2,5,1,1,-1,-0.2,2,0.4,0
16,48,16,17,1/1/2023,LAC,,LAR,"W, 31-10",*,21,28,11,39.3,213,7.6,118,5.6,4.2,94,4.5,1,0,0,0,0,6,21.4,11,4,2,6,21.4,0,,1,2,1,2,2,0,0,0
17,49,17,18,1/8/2023,LAC,@,DEN,"L, 28-31",*,25,37,14,36.8,235,6.4,113,4.5,3.1,160,6.4,0,1,0,5,13.9,3,8.3,13,0,1,2,5.3,0,,2,-1,0,-1,-0.5,0,0,0
,,,,,,,,7-Oct,,477,699,228,30.9,4476,6.4,2246,4.7,3.2,2493,5.2,23,25,2,39,5.8,87,12.9,182,50,72,160,21.1,22,6.5,54,147,17,138,2.6,9,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
