,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,80,1,1,9/5/2025,LAC,,KAN,"W, 27-21",*,25,34,16,43.2,342,10.1,184,7.4,5.4,134,5.4,0,0,0,0,0,7,20.6,15,0,1,4,9.8,4,9,7,32,1,30,4.3,2,0.3,0,
2,81,2,2,9/15/2025,LAC,@,LVR,"W, 20-9",*,19,27,8,27.6,244,9,158,8.3,5.9,84,4.4,0,0,0,0,0,2,7.4,10,0,1,3,9.4,3,8.7,9,31,2,31,3.4,0,0,0,
3,82,3,3,9/21/2025,LAC,,DEN,"W, 23-20",*,28,47,17,32.7,429,9.1,165,5.9,3.5,135,4.8,0,1,0,2,4.3,11,23.9,14,8,9,22,41.5,1,4,2,6,1,4,2,2,1,0,
4,83,4,4,9/28/2025,LAC,@,NYG,"L, 18-21",*,23,41,8,18.6,265,6.5,122,5.3,3,81,3.5,1,3,0,3,7.9,7,18.4,15,5,10,17,38.6,1,24,1,24,1,24,24,0,0,0,
5,84,5,5,10/5/2025,LAC,,WAS,"L, 10-27",*,22,29,9,27.3,110,3.8,68,3.1,2.3,98,4.5,1,0,0,2,6.9,2,6.9,9,0,3,7,20.6,1,41,4,60,3,55,13.8,5,1.3,0,
6,85,6,6,10/12/2025,LAC,@,MIA,"W, 29-27",*,29,38,12,30.8,220,5.8,104,3.6,2.7,160,5.5,0,0,0,3,7.9,4,10.5,9,2,6,9,23.1,0,,1,2,1,1,1,1,1,0,
7,86,7,7,10/19/2025,LAC,,IND,"L, 24-38",*,37,55,19,32.8,451,8.2,278,7.5,5.1,142,3.8,2,1,0,6,11.1,5,9.3,6,7,12,22,36.7,2,8.5,6,31,4,20,3.3,11,1.8,0,
8,87,8,8,10/23/2025,LAC,,MIN,"W, 37-10",*,18,25,13,48.1,206,8.2,152,8.4,6.1,75,4.2,1,1,0,0,0,5,20.8,16,2,6,10,29.4,7,8.9,7,62,4,58,8.3,4,0.6,0,
9,88,9,9,11/2/2025,LAC,@,TEN,"W, 27-20",*,19,29,12,34.3,311,10.7,146,7.7,5,104,5.5,1,1,0,0,0,5,17.9,10,0,4,10,25.6,4,11.8,9,57,6,48,5.3,9,1,0,
10,89,10,10,11/9/2025,LAC,,PIT,"W, 25-10",*,20,33,7,18.4,156,4.7,41,2.1,1.2,179,9,2,1,0,2,6.3,5,15.6,11,0,4,9,22.5,2,9,5,19,2,15,3,4,0.8,0,
11,90,11,11,11/16/2025,LAC,@,JAX,"L, 6-35",*,10,18,3,15,68,3.8,29,2.9,1.6,52,5.2,1,2,0,1,6.3,2,12.5,2,4,2,8,34.8,3,7,3,21,1,21,7,0,0,0,
12,91,12,13,11/30/2025,LAC,,LVR,"W, 31-14",*,15,20,11,47.8,192,9.6,107,7.1,5.4,44,2.9,0,0,0,1,5,3,15,4,2,1,6,23.1,3,2.7,3,8,0,7,2.3,1,0.3,0,
13,92,13,14,12/8/2025,LAC,,PHI,"W, 22-19 (OT)",*,12,26,5,15.2,270,10.4,55,4.6,2.1,84,7,1,3,0,1,4.3,6,26.1,6,7,2,16,39,8,5.6,10,66,4,35,3.5,31,3.1,3,3.3
14,93,14,15,12/14/2025,LAC,@,KAN,"W, 16-13",*,19,29,9,27.3,198,6.8,127,6.7,4.4,83,4.4,0,2,0,1,3.7,5,18.5,13,1,6,11,33.3,0,,2,0,0,-1,-0.5,1,0.5,0,
15,94,15,16,12/21/2025,LAC,@,DAL,"W, 34-17",*,23,29,15,51.7,269,9.3,210,9.1,7.2,90,3.9,0,1,0,1,3.6,2,7.1,13,8,5,13,39.4,4,10.5,8,42,3,38,4.8,4,0.5,0,
16,95,16,17,12/27/2025,LAC,,HOU,"L, 16-20",*,21,32,11,29.7,280,8.8,124,5.9,3.9,112,5.3,0,1,0,2,6.5,4,12.9,5,9,2,16,38.1,5,8.2,6,37,1,21,3.5,16,2.7,0,
,,,,,,,,5-Nov,,340,512,175,30.9,4011,7.8,2070,6.1,4,1657,4.9,10,17,0,25,5.1,75,15.2,158,55,74,183,29.8,48,9,83,498,34,407,4.9,91,1.1,3,27.7
