,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,2,1,1,9/10/2023,WAS,,ARI,"W, 20-16",*,19,31,10,27,231,7.5,134,7.1,4.3,68,3.6,1,2,0,2,6.9,2,6.9,9,1,0,7,17.9,2,5.5,2,11,1,10,5,1,0.5,0,
2,3,2,2,9/17/2023,WAS,@,DEN,"W, 35-33",*,27,39,11,25.6,229,5.9,139,5.1,3.6,160,5.9,3,5,0,1,2.9,1,2.9,13,2,2,8,17.8,2,6.5,2,13,1,3,1.5,10,5,0,
3,4,3,3,9/24/2023,WAS,,BUF,"L, 3-37",*,19,29,8,21.1,206,7.1,132,6.9,4.6,38,2,1,0,0,1,3.4,6,20.7,10,0,6,15,38.5,1,18,1,18,1,0,0,18,18,2,0.5
4,5,4,4,10/1/2023,WAS,@,PHI,"L, 31-34 (OT)",*,29,41,12,26.1,399,9.7,155,5.3,3.8,135,4.7,1,2,0,2,5.1,4,10.3,14,4,4,13,25,6,6.7,6,40,2,28,4.7,12,2,1,6
5,6,5,5,10/5/2023,WAS,,CHI,"L, 20-40",*,37,51,21,37.5,386,7.6,217,5.9,4.3,171,4.6,1,2,0,1,2,7,14.3,14,4,7,16,26.7,4,4.8,4,19,0,7,1.8,12,3,0,
6,7,6,6,10/15/2023,WAS,@,ATL,"W, 24-16",*,14,23,9,32.1,218,9.5,74,5.3,3.2,77,5.5,0,1,1,0,0,4,19,6,2,4,11,37.9,1,1,4,3,1,3,0.8,0,0,0,
7,8,7,7,10/22/2023,WAS,@,NYG,"L, 7-14",*,22,42,9,18.8,377,9,140,6.4,3.3,109,5,1,5,0,2,5.4,7,18.9,27,4,4,14,28.6,1,11,2,15,1,15,7.5,0,0,0,
8,9,8,8,10/29/2023,WAS,,PHI,"L, 31-38",*,39,52,20,37.7,388,7.5,231,5.9,4.4,166,4.3,1,1,0,4,7.8,4,7.8,14,1,5,7,12.7,2,4.5,3,11,2,6,2,5,1.7,0,
9,10,9,9,11/5/2023,WAS,@,NWE,"W, 20-17",*,29,45,14,29.2,390,8.7,161,5.6,3.6,164,5.7,2,1,0,2,4.5,8,18.2,12,5,3,11,21.6,3,10,5,27,1,16,3.2,11,2.2,2,2.5
10,11,10,10,11/12/2023,WAS,@,SEA,"L, 26-29",*,29,44,13,27.7,219,5,82,2.8,1.9,230,7.9,2,2,0,1,2.4,5,11.9,13,11,2,16,34,0,,2,17,1,7,3.5,10,5,0,
11,12,11,11,11/19/2023,WAS,,NYG,"L, 19-31",*,31,45,12,24.5,297,6.6,85,2.7,1.9,171,5.5,3,3,0,2,4.8,6,14.3,13,3,2,9,17.3,3,11.7,3,35,3,26,8.7,9,3,2,1.5
12,13,12,12,11/23/2023,WAS,@,DAL,"L, 10-45",*,28,44,15,31.3,352,8,144,5.1,3.3,156,5.6,0,0,0,2,4.5,8,18.2,12,1,3,8,16.3,1,12,2,13,2,12,6,1,0.5,0,
13,14,13,13,12/3/2023,WAS,,MIA,"L, 15-45",*,12,23,5,19.2,198,8.6,84,7,3.7,43,3.6,1,2,0,1,4.8,5,23.8,5,1,5,9,31,3,6.7,4,21,2,14,3.5,7,1.8,1,4
14,15,14,15,12/17/2023,WAS,@,LAR,"L, 20-28",*,11,26,4,14.8,259,10,68,6.2,2.6,34,3.1,1,1,0,0,0,7,28,5,0,1,2,6.7,3,7.3,3,22,1,18,6,4,1.3,0,
15,16,15,16,12/24/2023,WAS,@,NYJ,"L, 28-30",*,6,22,2,8.7,129,5.9,5,0.8,0.2,51,8.5,1,3,0,3,15.8,4,21.1,7,0,2,3,13,0,,0,0,0,0,,0,,0,
16,17,16,17,12/31/2023,WAS,,SFO,"L, 10-27",*,17,28,6,20.7,172,6.1,66,3.9,2.4,103,6.1,0,2,0,1,3.8,7,26.9,4,0,5,6,20.7,0,,1,-1,0,-1,-1,0,0,0,
17,18,17,18,1/7/2024,WAS,,DAL,"L, 10-38",*,19,27,9,29,153,5.7,10,0.5,0.4,143,7.5,1,0,0,0,0,3,11.1,3,0,2,6,18.8,1,4,4,-1,0,-3,-0.8,2,0.5,0,
,,,,,,,,13-Apr,,388,612,180,26.6,4603,7.5,1927,5,3.1,2019,5.2,20,32,1,25,4.3,88,15.2,181,39,57,161,22.7,33,7.4,48,263,19,161,3.4,102,2.1,8,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
