,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,78,1,1,9/4/2025,PHI,,DAL,"W, 24-20",*,19,23,6,25,113,4.9,91,4.8,4,61,3.2,0,3,0,1,5,0,0,5,1,4,6,18.2,9,7,14,62,7,28,2,34,2.4,2,7
2,79,2,2,9/14/2025,PHI,@,KAN,"W, 20-17",*,15,22,4,16.7,159,7.2,47,3.1,2.1,54,3.6,0,1,0,0,0,2,9.5,13,1,2,5,20,1,11,9,15,5,9,1,6,0.7,0,
3,80,3,3,9/21/2025,PHI,,LAR,"W, 33-26",*,21,32,9,25,274,8.6,163,7.8,5.1,63,3,0,2,0,0,0,3,10,15,2,0,6,16.2,1,2,9,40,5,37,4.1,3,0.3,0,
4,81,4,4,9/28/2025,PHI,@,TAM,"W, 31-25",*,15,24,10,38.5,167,7,48,3.2,2,82,5.5,2,0,0,0,0,4,16.7,11,4,1,7,22.6,5,9.4,9,62,3,59,6.6,3,0.3,0,
5,82,5,5,10/5/2025,PHI,,DEN,"L, 17-21",*,23,38,11,25,421,11.1,163,7.1,4.3,117,5.1,2,0,0,0,0,8,21.1,12,0,3,9,20,1,4,2,3,0,-1,-0.5,4,2,1,2
6,83,6,6,10/9/2025,PHI,@,NYG,"L, 17-34",*,24,33,14,38.9,316,9.6,190,7.9,5.8,93,3.9,0,1,0,0,0,6,18.8,8,2,0,5,13.2,2,6,7,13,2,10,1.4,3,0.4,0,
7,84,7,7,10/19/2025,PHI,@,MIN,"W, 28-22",*,19,23,9,34.6,284,12.3,236,12.4,10.3,90,4.7,0,0,0,0,0,3,13,15,2,1,6,23.1,0,,4,-10,1,-11,-2.8,1,0.3,0,
8,85,8,8,10/26/2025,PHI,,NYG,"W, 38-20",*,15,20,10,41.7,147,7.4,92,6.1,4.6,87,5.8,2,0,0,0,0,1,5,11,1,1,6,22.2,3,6.7,4,22,2,19,4.8,3,0.8,0,
9,86,9,10,11/10/2025,PHI,@,GNB,"W, 10-7",*,15,26,8,30.8,229,8.8,91,6.1,3.5,92,6.1,0,3,0,0,0,6,26.1,8,3,0,3,10.3,3,4.7,5,27,1,25,5,2,0.4,0,
10,87,10,11,11/16/2025,PHI,,DET,"W, 16-9",*,14,28,6,20.7,362,12.9,95,6.8,3.4,40,2.9,0,1,0,4,14.8,6,22.2,9,0,0,1,3.2,2,4,10,31,3,26,2.6,5,0.5,0,
11,88,11,12,11/23/2025,PHI,@,DAL,"L, 21-24",*,27,39,14,35,293,7.5,155,5.7,4,134,5,1,2,0,0,0,7,18.9,10,15,5,21,48.8,3,6.3,7,33,3,28,4,5,0.7,0,
12,89,12,13,11/28/2025,PHI,,CHI,"L, 15-24",*,19,34,11,32.4,332,9.8,175,9.2,5.1,55,2.9,0,2,2,1,3.3,7,23.3,14,4,1,5,14.7,0,,4,31,1,30,7.5,1,0.3,0,
13,90,13,14,12/8/2025,PHI,@,LAC,"L, 19-22 (OT)",*,21,40,12,29.3,408,10.2,129,6.1,3.2,111,5.3,1,2,0,2,5.3,7,18.4,12,7,5,13,30.2,2,5,4,8,0,8,2,0,0,0,
14,91,14,15,12/14/2025,PHI,,LVR,"W, 31-0",*,12,15,9,56.3,104,6.9,99,8.3,6.6,76,6.3,0,0,0,1,6.7,2,13.3,2,0,0,1,5.6,2,6,7,39,4,36,5.1,3,0.4,0,
15,92,15,16,12/20/2025,PHI,@,WAS,"W, 29-18",*,22,30,11,34.4,201,6.7,105,4.8,3.5,80,3.6,0,1,0,0,0,5,17.2,8,2,0,4,10.8,5,8,7,40,3,40,5.7,0,0,0,
16,93,16,17,12/28/2025,PHI,@,BUF,"W, 13-12",*,13,27,6,21.4,275,10.2,80,6.2,3,30,2.3,0,4,0,2,8.7,5,21.7,9,4,2,7,24.1,1,4,3,5,0,4,1.3,1,0.3,0,
,,,,,,,,5-Nov,,294,454,150,30.9,4085,9,1959,6.7,4.3,1265,4.3,8,22,2,11,2.6,72,16.7,162,48,25,105,20,40,6.7,105,421,40,347,3.3,74,0.7,3,35
