,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,71,1,1,9/10/2023,BAL,,HOU,"W, 25-9",*,17,22,8,30.8,102,4.6,85,5,3.9,84,4.9,0,1,0,1,4.8,2,9.5,9,1,4,9,29,5,7.4,6,38,3,17,2.8,21,3.5,1,6
2,72,2,2,9/17/2023,BAL,@,CIN,"W, 27-24",*,24,33,12,36.4,300,9.1,159,6.6,4.8,78,3.3,0,0,0,2,6.1,5,15.2,14,0,1,1,2.6,6,4.2,12,54,3,45,3.8,9,0.8,0,
3,73,3,3,9/24/2023,BAL,,IND,"L, 19-22 (OT)",*,22,31,7,20,189,6.1,110,5,3.5,92,4.2,0,1,0,2,6.7,5,16.7,11,1,0,5,12.5,5,9.6,14,101,8,64,4.6,37,2.6,2,7
4,74,4,4,10/1/2023,BAL,@,CLE,"W, 28-3",*,15,19,8,36.4,120,6.3,101,6.7,5.3,85,5.7,0,1,0,0,0,0,0,5,0,3,6,24,3,2.3,9,27,3,20,2.2,7,0.8,0,
5,75,5,5,10/8/2023,BAL,@,PIT,"L, 10-17",*,22,38,11,26.2,423,11.1,168,7.6,4.4,68,3.1,1,0,0,3,7.9,7,18.4,27,0,3,7,15.2,4,5,6,45,1,30,5,15,2.5,2,3
6,76,6,6,10/15/2023,BAL,@,TEN,"W, 24-16",*,21,30,9,29,227,7.6,100,4.8,3.3,123,5.9,0,1,0,1,3.4,6,20.7,10,4,0,5,13.5,6,4,13,62,5,48,3.7,14,1.1,1,13
7,77,7,7,10/22/2023,BAL,,DET,"W, 38-6",*,21,27,15,55.6,221,8.2,162,7.7,6,195,9.3,0,0,0,1,3.7,5,18.5,6,0,1,1,3.1,5,4.2,9,36,3,27,3,9,1,0,
8,78,8,8,10/29/2023,BAL,@,ARI,"W, 31-24",*,18,27,8,25.8,160,5.9,72,4,2.7,85,4.7,0,1,0,0,0,4,15.4,8,5,1,10,31.3,1,1,5,17,1,8,1.6,9,1.8,0,
9,79,9,9,11/5/2023,BAL,,SEA,"W, 37-3",*,21,26,8,29.6,234,9,118,5.6,4.5,69,3.3,0,0,1,1,4,2,8,8,0,0,1,3.2,4,8,10,60,5,28,2.8,32,3.2,0,
10,80,10,10,11/12/2023,BAL,,CLE,"L, 31-33",*,13,23,9,34.6,240,10.4,107,8.2,4.7,116,8.9,3,0,0,2,8.7,3,13,9,2,1,6,20,4,5.8,8,41,1,37,4.6,4,0.5,1,8
11,81,11,11,11/16/2023,BAL,,CIN,"W, 34-20",*,16,26,9,31,305,11.7,114,7.1,4.4,150,9.4,0,3,0,0,0,5,21.7,2,0,2,5,15.6,3,4.3,9,54,2,52,5.8,2,0.2,0,
12,82,12,12,11/26/2023,BAL,@,LAC,"W, 20-10",*,18,32,9,26.5,170,5.3,57,3.2,1.8,120,6.7,2,2,0,1,3.3,7,23.3,11,7,2,11,29.7,3,3.3,11,39,1,29,2.6,10,0.9,0,
13,83,13,14,12/10/2023,BAL,,LAR,"W, 37-31 (OT)",*,24,43,17,37.8,546,12.7,209,8.7,4.9,107,4.5,0,3,0,3,7.5,10,25,13,1,3,6,11.8,6,8.7,11,70,4,62,5.6,8,0.7,0,
14,84,14,15,12/17/2023,BAL,@,JAX,"W, 23-7",*,14,24,9,33.3,193,8,99,7.1,4.1,72,5.1,1,1,0,1,4.3,6,26.1,14,1,6,10,31.3,5,7.2,12,97,5,81,6.8,16,1.3,4,3
15,85,15,16,12/25/2023,BAL,@,SFO,"W, 33-19",*,23,35,14,37.8,171,4.9,104,4.5,3,148,6.4,2,1,0,2,5.9,6,17.6,15,0,1,3,7.7,2,19.5,7,45,2,43,6.1,2,0.3,0,
16,86,16,17,12/31/2023,BAL,,MIA,"W, 56-19",*,18,21,14,63.6,230,11,164,9.1,7.8,157,8.7,0,0,0,2,9.5,0,0,7,0,1,2,8,3,8.7,6,35,1,1,0.2,34,5.7,3,2
,,,,,,,,13-3,,307,457,167,33.8,3831,8.4,1929,6.3,4.2,1749,5.7,9,15,1,22,5,73,16.6,169,22,29,88,15.7,65,6.4,148,821,48,592,4,229,1.5,14,10.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
