,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,42,1,1,9/9/2018,DEN,,SEA,"W, 27-24",*,25,39,15,37.5,366,9.4,155,6.2,4,174,7,0,0,0,3,7.7,5,12.8,6,5,4,10,25,0,,0,0,0,0,,0,,0,
2,43,2,2,9/16/2018,DEN,,OAK,"W, 20-19",*,19,35,9,25,339,9.7,139,7.3,4,83,4.4,0,1,0,3,8.8,5,14.7,11,5,2,8,21.6,1,7,3,16,2,9,3,7,2.3,1,3
3,44,3,3,9/23/2018,DEN,@,BAL,"L, 14-27",*,22,34,8,21.6,183,5.4,120,5.5,3.5,72,3.3,0,2,0,1,3.1,6,18.8,14,6,2,11,29.7,0,,0,0,0,0,,0,,0,
4,45,4,4,10/1/2018,DEN,,KAN,"L, 23-27",*,21,33,10,27,282,8.5,149,7.1,4.5,96,4.6,0,0,0,3,9.1,7,21.2,8,7,5,16,43.2,0,,0,0,0,0,,0,,0,
5,46,5,5,10/7/2018,DEN,@,NYJ,"L, 16-34",*,35,51,19,34.5,330,6.5,181,5.2,3.5,196,5.6,0,4,0,2,4.3,5,10.6,16,2,3,9,16.4,0,,0,0,0,0,,0,,0,
6,47,6,6,10/14/2018,DEN,,LAR,"L, 20-23",*,25,41,14,32.6,355,8.7,195,7.8,4.8,127,5.1,0,4,0,2,5.4,7,18.9,8,5,3,10,22.7,1,6,1,6,1,6,6,0,0,0,
7,48,7,7,10/18/2018,DEN,@,ARI,"W, 45-10",*,14,21,7,30.4,167,8,80,5.7,3.8,81,5.8,0,1,0,2,10,3,15,13,5,2,9,37.5,1,7,4,4,1,4,1,0,0,0,
8,49,8,8,10/28/2018,DEN,@,KAN,"L, 23-30",*,23,34,11,28.2,289,8.5,153,6.7,4.5,109,4.7,0,1,0,1,3,8,24.2,9,4,4,13,32.5,1,9,1,9,0,9,9,0,0,0,
9,50,9,9,11/4/2018,DEN,,HOU,"L, 17-19",*,26,42,13,29.5,249,5.9,93,3.6,2.2,197,7.6,0,4,0,2,5.3,4,10.5,16,3,5,10,22.7,0,,0,0,0,0,,0,,0,
10,51,10,11,11/18/2018,DEN,@,LAC,"W, 23-22",*,19,32,6,18.8,159,5,67,3.5,2.1,138,7.3,0,3,1,3,10.7,3,10.7,4,0,3,3,9.4,0,,0,0,0,0,,0,,0,
11,52,11,12,11/25/2018,DEN,,PIT,"W, 24-17",*,15,28,12,40,294,10.5,139,9.3,5,58,3.9,0,1,0,2,7.4,6,22.2,21,4,2,8,26.7,0,,3,-3,0,-3,-1,0,0,0,
12,53,12,13,12/2/2018,DEN,@,CIN,"W, 24-10",*,12,21,6,26.1,126,6,95,7.9,4.5,56,4.7,0,2,0,0,0,5,26.3,3,4,2,8,33.3,1,10,2,9,1,9,4.5,0,0,0,
13,54,13,14,12/9/2018,DEN,@,SFO,"L, 14-20",*,24,42,9,20.5,214,5.1,114,4.8,2.7,72,3,0,4,0,2,5.3,11,28.9,10,7,8,17,36.2,3,8.3,4,24,2,19,4.8,5,1.3,0,
14,55,14,15,12/15/2018,DEN,,CLE,"L, 16-17",*,31,48,17,34,290,6,104,3.4,2.2,153,4.9,0,4,1,2,4.7,7,16.3,21,4,4,10,19.6,1,1,2,1,1,1,0.5,0,0,0,
15,56,15,16,12/24/2018,DEN,@,OAK,"L, 14-27",*,23,37,12,31.6,343,9.3,123,5.3,3.3,79,3.4,0,1,0,2,5.6,8,22.2,8,10,1,12,30,2,9.5,3,19,2,-5,-1.7,24,8,2,1.5
16,57,16,17,12/30/2018,DEN,,LAC,"L, 9-23",*,31,48,11,22.4,359,7.5,182,5.9,3.8,110,3.5,0,3,0,4,8.9,5,11.1,12,6,1,8,16,1,8,3,8,1,8,2.7,0,0,0,
,,,,,,,,10-Jun,,365,586,179,28.9,4345,7.4,2089,5.7,3.6,1801,4.9,0,35,2,34,6.2,95,17.3,180,77,51,162,25.6,12,7.7,26,93,11,57,2.2,36,1.4,3,8.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
