,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,58,1,1,9/8/2019,WAS,@,PHI,"L, 27-32",*,30,44,15,33.3,324,7.4,194,6.5,4.4,186,6.2,2,0,1,2,4.7,5,11.6,8,8,7,16,35.6,0,,0,0,0,0,,0,,0
2,59,2,2,9/15/2019,WAS,,DAL,"L, 21-31",*,26,37,12,31.6,224,6.1,119,4.6,3.2,102,3.9,0,0,0,1,2.7,7,18.9,4,5,2,8,21.1,0,,1,-1,0,-1,-1,0,0,0
3,60,3,3,9/23/2019,WAS,,CHI,"L, 15-31",*,30,43,20,42.6,251,5.8,149,5,3.5,183,6.1,2,0,1,2,4.8,8,19,15,7,5,16,33.3,1,5,2,3,1,3,1.5,0,0,0
4,61,4,4,9/29/2019,WAS,@,NYG,"L, 3-24",*,6,11,1,8.3,124,11.3,21,3.5,1.9,16,2.7,0,1,0,0,0,3,30,3,2,1,4,33.3,0,,0,0,0,0,,0,,0
5,62,6,6,10/13/2019,WAS,@,MIA,"W, 17-16",*,13,25,7,28,222,8.9,114,8.8,4.6,52,4,1,2,0,2,8.7,5,21.7,8,6,3,9,34.6,1,9,4,10,0,10,2.5,0,0,0
6,63,7,7,10/20/2019,WAS,,SFO,"L, 0-9",*,9,12,4,26.7,49,4.1,36,4,3,41,4.6,0,0,0,2,16.7,1,8.3,4,0,0,3,20,0,,0,0,0,0,,0,,0
7,64,8,8,10/24/2019,WAS,@,MIN,"L, 9-19",*,12,16,9,50,117,7.3,88,7.3,5.5,42,3.5,0,0,0,0,0,1,6.3,8,2,1,5,27.8,0,,0,0,0,0,,0,,0
9,66,15,16,12/22/2019,WAS,,NYG,"L, 35-41 (OT)",,16,22,7,30.4,148,6.7,85,5.3,3.9,73,4.6,1,1,0,0,0,4,19,5,2,5,8,33.3,1,1,1,1,1,0,0,1,1,0
10,67,16,17,12/29/2019,WAS,@,DAL,"L, 16-47",*,18,37,8,20.5,241,6.5,101,5.6,2.7,105,5.8,0,3,0,3,8.8,7,20.6,10,3,3,8,20.5,0,,0,0,0,0,,0,,0
,,,,,,,,8-Feb,,160,247,83,31.7,1700,6.9,907,5.7,3.7,800,5,6,7,2,12,5,41,17.2,65,35,27,77,29.1,3,5,9,12,2,11,1.2,1,0.1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
