,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,3,3,3,9/22/2019,CAR,@,ARI,"W, 38-20",*,19,26,14,50,215,8.3,152,8,5.8,109,5.7,1,1,0,1,4,3,12,11,3,0,5,17.2,1,1,3,-1,0,-1,-0.3,0,0,0,
2,4,4,4,9/29/2019,CAR,@,HOU,"W, 16-10",*,24,34,15,40.5,278,8.2,90,3.8,2.6,142,5.9,2,1,0,0,0,4,12.1,14,2,2,7,18.9,0,,0,0,0,0,,0,,0,
3,5,5,5,10/6/2019,CAR,,JAX,"W, 34-27",*,17,30,10,30.3,176,5.9,69,4.1,2.3,112,6.6,1,2,0,2,7.1,5,17.9,14,1,2,6,17.6,1,4,1,4,0,0,0,4,4,0,
4,6,6,6,10/13/2019,CAR,@,TAM,"W, 37-26",*,20,32,12,35.3,303,9.5,132,6.6,4.1,95,4.8,0,1,0,3,9.7,6,19.4,15,2,1,5,14.7,0,,3,3,0,3,1,0,0,0,
5,7,7,8,10/27/2019,CAR,@,SFO,"L, 13-51",*,19,37,8,18.2,326,8.8,73,3.8,2,85,4.5,1,0,0,3,8.1,10,27,4,5,2,14,31.8,0,,0,0,0,0,,0,,0,
6,8,8,9,11/3/2019,CAR,,TEN,"W, 30-20",*,17,32,13,37.1,399,12.5,172,10.1,5.4,60,3.5,3,2,0,2,6.7,4,13.3,9,6,3,12,34.3,0,,3,-4,0,-4,-1.3,0,0,0,
7,9,9,10,11/10/2019,CAR,@,GNB,"L, 16-24",*,28,43,19,41.3,358,8.3,183,6.5,4.3,124,4.4,1,5,0,0,0,6,15.8,7,4,6,13,27.1,2,6,3,12,1,8,2.7,4,1.3,0,
8,10,10,11,11/17/2019,CAR,,ATL,"L, 3-29",*,31,50,15,27.3,351,7,170,5.5,3.4,155,5,0,3,0,3,6.4,9,19.1,7,7,4,16,28.6,1,7,1,7,0,7,7,0,0,0,
9,11,11,12,11/24/2019,CAR,@,NOR,"L, 31-34",*,23,36,15,37.5,244,6.8,112,4.9,3.1,144,6.3,2,4,0,3,9.4,4,12.5,17,8,0,12,29.3,1,9,1,9,1,9,9,0,0,0,
10,12,12,13,12/1/2019,CAR,,WAS,"L, 21-29",*,27,46,18,34,418,9.1,175,6.5,3.8,103,3.8,0,3,0,6,14,7,16.3,11,6,3,16,28.6,3,7.3,4,22,1,18,4.5,4,1,0,
11,13,13,14,12/8/2019,CAR,@,ATL,"L, 20-40",*,28,41,18,39.1,384,9.4,105,3.8,2.6,188,6.7,0,1,0,1,2.5,7,17.5,5,0,2,7,14,4,3.8,6,24,4,19,3.2,5,0.8,1,6
12,14,14,15,12/15/2019,CAR,,SEA,"L, 24-30",*,25,41,18,42.9,229,5.6,73,2.9,1.8,204,8.2,1,2,1,2,5.3,6,15.8,6,4,2,7,15.2,4,6.3,5,25,2,20,4,5,1,1,5
13,15,16,17,12/29/2019,CAR,,NOR,"L, 10-42",,25,41,13,31,284,6.9,143,5.7,3.5,152,6.1,2,0,0,2,4.9,6,14.6,11,3,1,5,11.4,2,2.5,2,5,0,2,1,3,1.5,0,
,,,,,,,,8-May,,303,489,188,35.1,3965,8.1,1649,5.4,3.4,1673,5.5,14,25,1,28,6,77,16.6,131,51,28,125,22.6,19,5.3,32,106,9,81,2.5,25,0.8,2,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
