,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,18,1,1,9/11/2022,JAX,@,WAS,"L, 22-28",*,24,42,13,29.5,366,8.7,191,8,4.5,84,3.5,2,3,0,2,5.1,9,23.1,18,0,9,11,24.4,1,6,2,4,0,3,1.5,1,0.5,0,
2,19,2,2,9/18/2022,JAX,,IND,"W, 24-0",*,25,30,14,46.7,197,6.6,98,3.9,3.3,137,5.5,0,0,0,2,6.7,0,0,8,2,2,4,13.3,0,,3,11,0,9,3,2,0.7,0,
3,20,3,3,9/25/2022,JAX,@,LAC,"W, 38-10",*,28,39,16,41,193,4.9,97,3.5,2.5,165,5.9,1,1,0,1,2.6,5,13.2,14,1,2,3,7.5,1,6,3,7,1,6,2,1,0.3,0,
4,21,4,4,10/2/2022,JAX,@,PHI,"L, 21-29",*,11,23,9,33.3,183,8,85,7.7,3.7,89,8.1,0,0,0,4,17.4,5,21.7,4,8,1,13,48.1,0,,2,7,1,7,3.5,0,0,0,
5,22,5,5,10/9/2022,JAX,,HOU,"L, 6-13",*,25,47,15,31.9,470,10,155,6.2,3.3,131,5.2,1,1,1,5,11.1,9,20,0,3,1,4,8,3,8.7,4,29,2,22,5.5,7,1.8,1,4
6,23,6,6,10/16/2022,JAX,@,IND,"L, 27-34",*,20,22,8,30.8,87,4,56,2.8,2.5,109,5.5,0,0,0,0,0,2,9.1,1,2,0,6,22.2,1,13,6,23,5,23,3.8,0,0,0,
7,24,7,7,10/23/2022,JAX,,NYG,"L, 17-23",*,22,43,15,34.9,473,11,197,9,4.6,113,5.1,1,0,0,1,2.3,14,32.6,9,1,2,3,7,0,,4,3,2,3,0.8,0,0,0,
8,25,8,8,10/30/2022,JAX,,DEN,"L, 17-21",*,18,31,6,18.2,174,5.6,52,2.9,1.7,81,4.5,0,3,0,2,7.1,7,25,12,2,1,5,14.3,2,6,3,15,1,10,3.3,5,1.7,0,
9,26,9,9,11/6/2022,JAX,,LVR,"W, 27-20",*,25,31,12,38.7,166,5.4,136,5.4,4.4,99,4,1,1,1,2,6.9,0,0,15,4,4,8,24.2,2,20,6,53,2,47,7.8,6,1,0,
10,27,10,10,11/13/2022,JAX,@,KAN,"L, 17-27",*,29,40,14,31.1,288,7.2,138,4.8,3.5,121,4.2,3,1,0,2,5.1,3,7.7,14,1,0,6,12.5,3,8.3,4,26,1,25,6.3,1,0.3,0,
11,28,11,12,11/27/2022,JAX,,BAL,"W, 28-27",*,29,37,16,39,256,6.9,199,6.9,5.4,122,4.2,1,0,0,3,8.1,4,10.8,9,4,2,10,23.8,1,1,2,1,0,1,0.5,0,0,0,
12,29,12,13,12/4/2022,JAX,@,DET,"L, 14-40",*,17,31,9,27.3,267,8.6,97,5.7,3.1,82,4.8,2,1,0,4,13.3,6,20,14,2,1,5,13.9,3,7.3,4,32,2,32,8,0,0,0,
13,30,13,14,12/11/2022,JAX,@,TEN,"W, 36-22",*,30,42,18,42.9,297,7.1,183,6.1,4.4,185,6.2,4,0,0,1,2.4,3,7.1,10,12,1,13,30.2,1,7,3,7,1,6,2,1,0.3,1,3
14,31,14,15,12/18/2022,JAX,,DAL,"W, 40-34 (OT)",*,27,42,13,30.2,381,9.1,170,6.3,4,148,5.5,0,1,0,3,7.3,9,22,12,3,3,7,15.6,2,9,3,21,1,21,7,0,0,1,3
15,32,15,16,12/22/2022,JAX,@,NYJ,"W, 19-3",*,20,31,10,31.3,164,5.3,58,2.9,1.9,171,8.6,0,1,0,4,13.3,4,13.3,4,0,6,7,19.4,4,10.8,7,51,6,40,5.7,11,1.6,0,
16,33,16,17,1/1/2023,JAX,@,HOU,"W, 31-3",*,17,21,8,36.4,111,5.3,66,3.9,3.1,86,5.1,0,1,0,0,0,1,5,2,0,1,2,9.1,0,,2,4,1,4,2,0,0,0,
17,34,17,18,1/7/2023,JAX,,TEN,"W, 20-16",*,20,32,10,30.3,255,8,133,6.7,4.2,79,4,1,2,0,4,13.3,4,13.3,12,0,3,4,12.1,0,,4,-3,1,-4,-1,1,0.3,0,
,,,,,,,,8-Sep,,387,584,206,33.7,4328,7.4,2111,5.5,3.6,2002,5.2,17,16,2,40,7.1,85,15,158,45,39,111,17.5,24,9.1,62,291,27,255,4.1,36,0.6,3,20.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
