,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,1,7,8,10/29/2023,TEN,,ATL,"W, 28-23",*,19,29,7,22.6,336,11.6,130,6.8,4.5,108,5.7,0,2,0,1,3.7,4,14.8,12,0,9,11,34.4,1,5,7,11,2,9,1.3,2,0.3,0
2,2,8,9,11/2/2023,TEN,@,PIT,"L, 16-20",*,22,39,12,27.9,394,10.1,149,6.8,3.8,113,5.1,0,2,1,1,2.8,7,19.4,15,4,7,15,34.1,1,2,1,2,0,0,0,2,2,0
3,3,9,10,11/12/2023,TEN,@,TAM,"L, 6-20",*,19,39,10,23.3,448,11.5,73,3.8,1.9,126,6.6,1,1,0,4,10.5,8,21.1,25,0,9,13,30.2,0,,0,0,0,0,,0,,0
4,4,10,11,11/19/2023,TEN,@,JAX,"L, 14-34",*,13,17,6,31.6,133,7.8,96,7.4,5.6,62,4.8,0,0,0,0,0,1,5.9,9,1,1,4,20,1,4,4,2,1,2,0.5,0,0,0
5,5,11,12,11/26/2023,TEN,,CAR,"W, 17-10",*,18,28,9,31,232,8.3,143,7.9,5.1,42,2.3,2,0,1,1,3.7,3,11.1,5,0,3,4,13.8,0,,3,-3,0,-3,-1,0,0,0
6,6,12,13,12/3/2023,TEN,,IND,"L, 28-31 (OT)",*,16,33,12,30.8,293,8.9,107,6.7,3.2,117,7.3,0,0,0,2,6.1,10,30.3,10,0,5,11,27.5,1,6,2,5,1,5,2.5,0,0,0
7,7,13,14,12/11/2023,TEN,@,MIA,"W, 28-27",*,23,38,16,41,362,9.5,201,8.7,5.3,126,5.5,2,2,0,1,2.8,5,13.9,3,2,6,9,22,2,8,4,15,1,9,2.3,6,1.5,0
8,8,14,15,12/17/2023,TEN,,HOU,"L, 16-19 (OT)",*,17,26,8,24.2,391,15,152,8.9,5.8,47,2.8,0,0,0,1,3.8,2,7.7,7,0,4,11,30.6,3,8,4,25,2,12,3,13,3.3,0
,,,,,,,,6-Mar,,149,255,81,28.6,2695,10.6,1062,7.1,4.2,746,5,5,7,2,12,4.9,41,16.7,88,8,46,82,28.1,9,6.3,25,57,7,34,1.4,23,0.9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
