,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,10,1,1,9/8/2024,TEN,@,CHI,"L, 17-24",*,19,32,6,17.1,225,7,77,4.1,2.4,50,2.6,0,3,0,2,6.9,8,27.6,5,5,7,15,39.5,3,7,4,36,2,22,5.5,14,3.5,1,4
2,11,2,2,9/15/2024,TEN,,NYJ,"L, 17-24",*,19,28,7,21.9,284,10.1,110,5.8,3.9,82,4.3,0,1,0,1,3.7,3,11.1,4,0,2,6,17.1,3,12,4,38,3,24,6,14,3.5,1,4
3,12,3,3,9/22/2024,TEN,,GNB,"L, 14-30",*,26,34,14,33.3,231,6.8,125,4.8,3.7,135,5.2,0,1,0,3,9.1,4,12.1,7,0,2,10,22.7,2,5.5,3,12,2,10,3.3,2,0.7,0,
4,13,4,4,9/30/2024,TEN,@,MIA,"W, 31-12",*,3,4,0,0,18,4.5,12,4,3,13,4.3,0,0,0,0,0,1,25,0,1,0,1,20,1,3,2,5,1,1,0.5,4,2,0,
5,14,5,6,10/13/2024,TEN,,IND,"L, 17-20",*,16,27,7,25.9,200,7.4,53,3.3,2,42,2.6,1,0,0,0,0,4,14.8,10,0,4,4,13.3,3,5,3,15,1,12,4,3,1,0,
6,15,9,10,11/10/2024,TEN,@,LAC,"L, 17-27",*,18,23,10,33.3,190,8.3,104,5.8,4.5,71,3.9,0,0,0,0,0,4,17.4,5,1,2,10,30.3,3,8,5,41,4,30,6,11,2.2,2,2.5
7,16,10,11,11/17/2024,TEN,,MIN,"L, 13-23",*,17,31,8,22.2,342,11,159,9.4,5.1,136,8,1,2,0,2,6.9,9,31,10,4,4,13,34.2,2,6,7,18,2,16,2.3,2,0.3,0,
8,17,11,12,11/24/2024,TEN,@,HOU,"W, 32-27",*,18,24,8,25,187,7.8,132,7.3,5.5,146,8.1,1,0,0,1,4.2,4,16.7,4,0,1,9,27.3,1,3,8,10,3,9,1.1,1,0.1,0,
9,18,12,13,12/1/2024,TEN,@,WAS,"L, 19-42",*,18,37,9,23.1,386,10.4,152,8.4,4.1,60,3.3,0,1,0,6,16.7,11,30.6,8,3,6,11,28.2,0,,2,-3,0,-3,-1.5,0,0,0,
10,19,13,14,12/8/2024,TEN,,JAX,"L, 6-10",*,19,32,8,23.5,171,5.3,64,3.4,2,104,5.5,0,0,0,3,9.4,3,9.4,5,1,1,4,11.8,0,,1,3,1,1,1,2,2,0,
11,20,14,15,12/15/2024,TEN,,CIN,"L, 27-37",*,8,12,3,23.1,66,5.5,34,4.3,2.8,55,6.9,0,0,0,0,0,1,8.3,5,0,2,3,23.1,0,,2,0,1,0,0,0,0,0,
12,21,17,18,1/5/2025,TEN,,HOU,"L, 14-23",*,9,17,6,33.3,275,16.2,128,14.2,7.5,47,5.2,1,0,0,1,5.9,3,17.6,6,0,3,4,21.1,1,8,4,8,0,7,1.8,1,0.3,0,
,,,,,,,,10-Feb,,190,301,86,25.1,2575,8.6,1150,6.1,3.8,941,5,4,8,0,19,6.5,55,18.8,69,15,34,90,24.9,19,7,45,183,20,129,2.9,54,1.2,4,11.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
