,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,6,1,1,9/14/2020,DEN,,TEN,"L, 14-16",*,22,33,12,36.4,303,9.2,83,3.8,2.5,133,6,0,1,0,3,9.4,5,15.6,13,1,5,6,17.1,2,2.5,3,5,2,5,1.7,0,0,0
3,8,5,6,10/18/2020,DEN,@,NWE,"W, 18-12",*,10,24,7,26.9,391,16.3,139,13.9,5.8,50,5,0,0,0,1,4.2,10,41.7,16,1,2,5,18.5,1,3,5,-1,0,-1,-0.2,0,0,0
4,9,6,7,10/25/2020,DEN,,KAN,"L, 16-43",*,24,40,11,25.6,265,6.6,90,3.8,2.3,164,6.8,0,2,0,1,2.6,9,23.7,11,4,3,10,22.7,1,4,3,8,1,7,2.3,1,0.3,0
5,10,7,8,11/1/2020,DEN,,LAC,"W, 31-30",*,26,41,11,25.6,308,7.5,133,5.1,3.2,115,4.4,0,1,1,0,0,7,17.9,3,5,4,11,25,1,1,2,-1,0,-1,-0.5,0,0,0
6,11,8,9,11/8/2020,DEN,@,ATL,"L, 27-34",*,25,48,17,34.7,440,9.2,186,7.4,3.9,127,5.1,0,3,0,2,4.4,13,28.9,12,10,9,20,36.4,6,7.8,7,47,2,47,6.7,0,0,0
7,12,9,10,11/15/2020,DEN,@,LVR,"L, 12-37",*,23,47,14,28.6,397,8.4,193,8.4,4.1,64,2.8,0,2,0,6,13.3,11,24.4,13,7,6,15,30.6,0,,2,7,1,7,3.5,0,0,0
8,13,10,11,11/22/2020,DEN,,MIA,"W, 20-13",*,18,30,9,30,329,11,130,7.2,4.3,140,7.8,0,0,0,0,0,8,26.7,13,3,4,7,22.6,1,14,2,23,1,23,11.5,0,0,0
9,14,12,13,12/6/2020,DEN,@,KAN,"L, 16-22",*,15,28,10,35.7,234,8.4,77,5.1,2.8,74,4.9,2,1,0,1,3.7,8,29.6,13,2,4,6,20.7,1,8,2,9,1,6,3,3,1.5,0
10,15,13,14,12/13/2020,DEN,@,CAR,"W, 32-27",*,21,27,13,46.4,170,6.3,124,5.9,4.6,156,7.4,0,0,0,0,0,4,14.8,17,3,4,8,26.7,2,5,6,4,0,3,0.5,1,0.2,0
11,16,14,15,12/19/2020,DEN,,BUF,"L, 19-48",*,20,32,10,28.6,125,3.9,68,3.4,2.1,64,3.2,3,0,0,2,6.3,3,9.4,10,3,2,8,20.5,4,5.8,5,37,2,35,7,2,0.4,0
12,17,15,16,12/27/2020,DEN,@,LAC,"L, 16-19",*,24,47,15,30.6,533,11.3,164,6.8,3.5,100,4.2,0,2,1,9,20.5,7,15.9,4,5,4,11,21.6,2,6,5,15,2,14,2.8,1,0.2,0
13,18,16,17,1/3/2021,DEN,,LVR,"L, 31-32",*,25,41,15,34.9,293,7.1,123,4.9,3,216,8.6,0,1,0,0,0,10,25,19,6,1,9,20.5,1,5,2,7,1,5,2.5,2,1,0
,,,,,,,,9-Apr,,254,443,145,31.4,3883,8.8,1530,6,3.5,1403,5.5,5,13,2,25,5.8,98,22.9,148,53,48,120,24.8,22,6,44,160,13,150,3.4,10,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
