,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,11,1,1,9/10/2023,GNB,@,CHI,"W, 38-20",*,15,27,10,35.7,275,10.2,96,6.4,3.6,149,9.9,0,0,0,2,7.4,7,25.9,5,2,2,5,16.7,2,5.5,3,12,1,7,2.3,5,1.7,1,3
2,12,2,2,9/17/2023,GNB,@,ATL,"L, 24-25",*,14,25,10,38.5,221,8.8,77,5.5,3.1,74,5.3,1,0,0,0,0,6,24,12,0,2,3,11.1,1,24,2,23,1,20,10,3,1.5,0,
3,13,3,3,9/24/2023,GNB,,NOR,"W, 18-17",*,22,44,13,28.9,517,11.8,182,8.3,4.1,77,3.5,1,1,0,2,4.7,7,16.3,14,9,2,12,24.5,4,10.5,9,39,2,34,3.8,5,0.6,1,9
4,14,4,4,9/28/2023,GNB,,DET,"L, 20-34",*,23,36,9,22,343,9.5,197,8.6,5.5,49,2.1,0,2,0,0,0,8,23.5,3,2,5,12,29.3,0,,2,-2,1,-2,-1,0,0,0,
5,15,5,5,10/9/2023,GNB,@,LVR,"L, 13-17",*,16,30,7,21.9,239,8,51,3.2,1.7,131,8.2,0,1,0,5,17.2,6,20.7,5,3,0,5,14.7,2,18.5,2,37,2,37,18.5,0,0,0,
6,16,6,7,10/22/2023,GNB,@,DEN,"L, 17-19",*,21,31,12,38.7,212,6.8,68,3.2,2.2,112,5.3,1,0,0,1,3.2,4,12.9,14,1,3,4,12.1,2,5.5,3,21,1,17,5.7,4,1.3,0,
7,17,7,8,10/29/2023,GNB,,MIN,"L, 10-24",*,24,41,14,31.1,372,9.1,108,4.5,2.6,121,5,0,1,0,3,7.5,6,15,16,0,2,6,12.2,4,8.5,4,34,0,32,8,2,0.5,0,
8,18,8,9,11/5/2023,GNB,,LAR,"W, 20-3",*,20,26,10,33.3,174,6.7,124,6.2,4.8,104,5.2,0,0,1,2,8,2,8,8,1,2,7,22.6,1,8,4,7,2,7,1.8,0,0,0,
9,19,9,10,11/12/2023,GNB,@,PIT,"L, 19-23",*,21,40,13,31.7,404,10.1,200,9.5,5,89,4.2,2,2,1,3,8.1,7,18.9,14,1,3,5,11.6,2,5.5,2,11,0,9,4.5,2,1,0,
10,20,10,11,11/19/2023,GNB,,LAC,"W, 23-20",*,27,40,16,37.2,263,6.6,130,4.8,3.3,192,7.1,1,2,0,1,2.6,6,15.8,23,6,4,13,29.5,1,1,3,0,0,0,0,0,0,0,
11,21,11,12,11/23/2023,GNB,@,DET,"W, 29-22",*,22,32,13,40.6,302,9.4,196,8.9,6.1,72,3.3,0,2,0,2,6.7,5,16.7,16,5,4,9,27.3,1,2,3,39,1,39,13,0,0,0,
12,22,12,13,12/3/2023,GNB,,KAN,"W, 27-19",*,25,36,15,39.5,272,7.6,155,6.2,4.3,112,4.5,0,1,0,1,2.9,9,25.7,15,5,2,9,23.1,1,8,2,10,2,7,3.5,3,1.5,0,
13,23,13,14,12/11/2023,GNB,@,NYG,"L, 22-24",*,25,39,12,29.3,231,5.9,84,3.4,2.2,134,5.4,1,1,0,2,5.3,7,18.4,20,5,4,11,26.2,1,2,2,2,0,2,1,0,0,0,
14,24,14,15,12/17/2023,GNB,,TAM,"L, 20-34",*,29,39,13,31.7,247,6.3,151,5.2,3.9,133,4.6,0,3,0,0,0,5,13.9,17,5,4,11,26.8,0,,2,1,1,0,0,1,0.5,0,
15,25,15,16,12/24/2023,GNB,@,CAR,"W, 33-30",*,17,28,12,41.4,286,10.2,125,7.4,4.5,94,5.5,0,2,0,2,7.7,6,23.1,10,1,1,3,10,1,11,2,12,1,10,5,2,1,0,
16,26,16,17,12/31/2023,GNB,@,MIN,"W, 33-10",*,24,33,16,48.5,323,9.8,135,5.6,4.1,121,5,1,0,0,3,9.1,5,15.2,20,1,2,3,9.1,0,,2,2,1,1,0.5,1,0.5,0,
17,27,17,18,1/7/2024,GNB,,CHI,"W, 17-9",*,27,32,14,42.4,221,6.9,163,6,5.1,153,5.7,0,0,0,0,0,2,6.3,3,0,0,1,2.9,1,1,3,-1,0,-1,-0.3,0,0,0,
,,,,,,,,8-Sep,,372,579,209,34.3,4902,8.5,2242,6,3.9,1917,5.2,8,18,2,29,5.2,98,17.5,215,47,42,119,18.8,24,8.5,50,247,16,219,4.4,28,0.6,2,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
