,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,28,1,1,9/6/2024,GNB,@,PHI,"L, 29-34",*,17,34,9,25.7,312,9.2,122,7.2,3.6,138,8.1,0,3,0,4,12.9,6,19.4,10,2,3,6,17.1,0,,0,0,0,0,,0,,0
2,29,4,4,9/29/2024,GNB,,MIN,"L, 29-31",*,32,54,19,34.5,557,10.3,234,7.3,4.3,155,4.8,1,0,0,4,7.4,9,16.7,25,9,9,19,33.9,1,6,1,6,1,0,0,6,6,0
3,30,5,5,10/6/2024,GNB,@,LAR,"W, 24-19",*,15,26,8,28.6,157,6,101,6.7,3.9,123,8.2,2,0,0,3,11.5,5,19.2,10,4,1,7,24.1,1,12,3,10,1,-2,-0.7,12,4,0
4,31,6,6,10/13/2024,GNB,,ARI,"W, 34-13",*,22,32,15,46.9,192,6,120,5.5,3.8,138,6.3,1,0,0,1,3.1,5,15.6,9,3,2,5,14.3,3,5,5,13,2,13,2.6,0,0,0
5,32,7,7,10/20/2024,GNB,,HOU,"W, 24-22",*,24,33,12,33.3,297,9,139,5.8,4.2,81,3.4,0,0,0,2,6.1,5,15.2,12,0,3,6,16.7,0,,0,0,0,0,,0,,0
6,33,8,8,10/27/2024,GNB,@,JAX,"W, 30-27",*,14,22,8,36.4,248,11.3,114,8.1,5.2,82,5.9,0,2,0,1,5,5,25,1,1,2,3,13.6,0,,1,-1,0,-1,-1,0,0,0
7,34,9,9,11/3/2024,GNB,,DET,"L, 14-24",*,23,39,10,25.6,364,9.3,182,7.9,4.7,91,4,0,2,0,5,13.5,7,18.9,8,6,2,8,20.5,0,,3,0,0,0,0,0,0,0
8,35,10,11,11/17/2024,GNB,@,CHI,"W, 20-19",*,13,17,10,55.6,142,8.4,118,9.1,6.9,143,11,0,0,0,1,5.9,2,11.8,3,0,2,3,15,2,9,4,18,2,12,3,6,1.5,0
9,36,11,12,11/24/2024,GNB,,SFO,"W, 38-10",*,13,23,9,36,279,12.1,71,5.5,3.1,92,7.1,0,1,0,2,9.1,5,22.7,3,2,1,5,20,0,,1,2,1,1,1,1,1,0
10,37,12,13,11/28/2024,GNB,,MIA,"W, 30-17",*,21,28,11,39.3,201,7.2,100,4.8,3.6,174,8.3,1,0,0,2,7.1,2,7.1,11,2,3,5,17.9,0,,0,0,0,0,,0,,0
11,38,13,14,12/5/2024,GNB,@,DET,"L, 31-34",*,12,20,7,33.3,197,9.9,120,10,6,86,7.2,0,1,0,1,5.3,5,26.3,12,0,6,7,29.2,3,8,4,23,1,19,4.8,4,1,0
12,39,14,15,12/15/2024,GNB,@,SEA,"W, 30-13",*,20,27,10,37,167,6.2,85,4.3,3.1,144,7.2,0,1,0,0,0,5,19.2,8,4,6,10,35.7,1,4,1,4,0,4,4,0,0,0
13,40,15,16,12/23/2024,GNB,,NOR,"W, 34-0",*,16,28,9,32.1,193,6.9,69,4.3,2.5,113,7.1,1,3,0,1,4,5,20,10,2,3,5,17.9,0,,1,2,1,2,2,0,0,0
14,41,16,17,12/29/2024,GNB,@,MIN,"L, 25-27",*,19,30,11,33.3,303,10.1,115,6.1,3.8,70,3.7,0,1,0,2,6.9,7,24.1,16,1,4,8,23.5,1,6,1,6,0,0,0,6,6,0
15,42,17,18,1/5/2025,GNB,,CHI,"L, 22-24",*,7,12,3,25,76,6.3,45,6.4,3.8,24,3.4,0,0,0,1,8.3,2,16.7,4,1,2,3,25,0,,0,0,0,0,,0,,0
,,,,,,,,6-Sep,,268,425,151,34.4,3685,8.7,1735,6.5,4.1,1654,6.2,6,14,0,30,7.3,75,18.2,142,37,49,100,22.2,12,7.1,25,83,9,48,1.9,35,1.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
