,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,71,1,1,9/9/2018,IND,,CIN,"L, 23-34",*,39,53,17,30.9,297,5.6,156,4,2.9,163,4.2,0,1,0,1,1.9,6,11.5,12,3,7,12,21.4,1,7,1,7,1,6,6,1,1,0,
2,72,2,2,9/16/2018,IND,@,WAS,"W, 21-9",*,21,31,10,31.3,132,4.3,56,2.7,1.8,123,5.9,0,0,0,0,0,6,19.4,18,8,6,15,45.5,1,2,4,2,1,2,0.5,0,0,0,
3,73,3,3,9/23/2018,IND,@,PHI,"L, 16-20",*,25,40,9,21.4,219,5.5,86,3.4,2.2,78,3.1,0,0,0,1,2.5,7,17.5,4,7,3,12,27.9,1,33,1,33,1,15,15,18,18,0,
4,74,4,4,9/30/2018,IND,,HOU,"L, 34-37 (OT)",*,40,62,23,34.8,523,8.4,296,7.4,4.8,168,4.2,0,0,0,5,8.1,11,17.7,16,2,8,14,20.6,2,5.5,3,11,0,11,3.7,0,0,0,
5,75,5,5,10/4/2018,IND,@,NWE,"L, 24-38",*,38,59,20,33.3,470,8,239,6.3,4.1,126,3.3,0,0,0,6,10.2,9,15.3,16,3,2,6,10,0,,0,0,0,0,,0,,0,
6,76,6,6,10/14/2018,IND,@,NYJ,"L, 34-42",*,23,43,15,34.9,396,9.2,196,8.5,4.6,105,4.6,0,1,0,6,14.3,6,14.3,9,1,4,5,11.1,2,3.5,2,7,1,7,3.5,0,0,0,
7,77,7,7,10/21/2018,IND,,BUF,"W, 37-5",*,17,23,10,43.5,113,4.9,69,4.1,3,87,5.1,0,0,0,1,4.3,4,17.4,6,2,1,3,12.5,1,5,3,5,0,5,1.7,0,0,0,
8,78,8,8,10/28/2018,IND,@,OAK,"W, 42-28",*,22,31,13,41.9,230,7.4,169,7.7,5.5,70,3.2,0,0,0,2,6.5,3,9.7,5,3,1,4,12.9,0,,2,-2,0,-2,-1,0,0,0,
9,79,9,10,11/11/2018,IND,,JAX,"W, 29-26",*,21,29,11,37.9,237,8.2,170,8.1,5.9,115,5.5,0,0,0,2,6.9,5,17.2,2,1,1,2,6.9,0,,5,-2,1,-2,-0.4,0,0,0,
10,80,10,11,11/18/2018,IND,,TEN,"W, 38-10",*,23,29,15,51.7,227,7.8,173,7.5,6,124,5.4,0,0,0,1,3.4,2,6.9,5,4,0,4,13.8,0,,0,0,0,0,,0,,0,
11,81,11,12,11/25/2018,IND,,MIA,"W, 27-24",*,30,37,16,42.1,296,8,137,4.6,3.7,206,6.9,0,0,0,2,5.4,1,2.7,11,5,1,7,17.9,1,4,2,5,2,5,2.5,0,0,0,
12,82,12,13,12/2/2018,IND,@,JAX,"L, 0-6",*,33,52,15,27.3,355,6.8,120,3.6,2.3,128,3.9,0,4,0,1,2.1,9,18.8,11,4,6,13,22.8,2,8,2,16,1,16,8,0,0,0,
13,83,13,14,12/9/2018,IND,@,HOU,"W, 24-21",*,27,41,17,39.5,354,8.6,262,9.7,6.4,137,5.1,0,1,0,3,7.5,3,7.5,11,0,3,5,11.1,2,9,6,16,2,-18,-3,34,5.7,0,
14,84,14,15,12/16/2018,IND,,DAL,"W, 23-0",*,16,27,11,40.7,223,8.3,99,6.2,3.7,93,5.8,0,0,1,2,7.7,4,15.4,6,2,3,5,16.7,3,7.7,6,20,1,20,3.3,0,0,0,
15,85,15,16,12/23/2018,IND,,NYG,"W, 28-27",*,31,47,19,39.6,414,8.8,235,7.6,5,122,3.9,0,1,1,3,6.7,8,17.8,13,4,4,9,18.4,1,14,2,13,1,8,4,5,2.5,1,2
16,86,16,17,12/30/2018,IND,@,TEN,"W, 33-17",*,24,35,15,41.7,285,8.1,158,6.6,4.5,127,5.3,0,0,0,1,2.9,4,11.4,9,1,1,3,7.5,4,5,7,17,0,17,2.4,0,0,0,
,,,,,,,,6-Oct,,430,639,236,35.9,4771,7.5,2621,6.1,4.1,1972,4.6,0,8,2,37,5.9,88,14,154,50,51,119,17.6,21,7.6,46,148,12,90,2,58,1.3,1,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
