,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,32,1,1,9/10/2023,NWE,,PHI,"L, 20-25",*,35,54,18,32.1,387,7.2,126,3.6,2.3,190,5.4,1,0,0,5,9.3,7,13,13,17,4,23,39.7,2,7.5,2,15,1,15,7.5,0,0,0
2,33,2,2,9/17/2023,NWE,,MIA,"L, 17-24",*,31,42,10,21.7,375,8.9,131,4.2,3.1,100,3.2,1,0,0,0,0,4,9.5,20,0,1,5,10.6,1,18,5,25,4,19,3.8,6,1.2,0
3,34,3,3,9/24/2023,NWE,@,NYJ,"W, 15-10",*,15,29,9,31,281,9.7,112,7.5,3.9,89,5.9,1,2,0,1,3.7,7,25.9,3,3,5,8,26.7,1,8,4,13,2,12,3,1,0.3,0
4,35,4,4,10/1/2023,NWE,@,DAL,"L, 3-38",*,12,21,6,27.3,119,5.7,89,7.4,4.2,61,5.1,1,0,0,1,4.8,4,19,6,0,0,1,4.2,2,3.5,3,7,0,7,2.3,0,0,0
5,36,5,5,10/8/2023,NWE,,NOR,"L, 0-34",*,12,22,4,16.7,202,9.2,70,5.8,3.2,40,3.3,1,0,0,0,0,4,18.2,3,0,1,3,12.5,0,,1,0,0,0,0,0,0,0
6,37,6,6,10/15/2023,NWE,@,LVR,"L, 17-21",*,24,33,7,19.4,176,5.3,59,2.5,1.8,141,5.9,1,2,0,2,6.5,4,12.9,10,3,0,6,16.7,0,,1,-1,0,-1,-1,0,0,0
7,38,7,7,10/22/2023,NWE,,BUF,"W, 29-25",*,25,30,13,41.9,100,3.3,102,4.1,3.4,170,6.8,1,0,0,0,0,4,13.3,10,1,3,5,15.6,1,4,3,11,2,7,2.3,4,1.3,0
8,39,8,8,10/29/2023,NWE,@,MIA,"L, 17-31",*,19,29,7,21.9,200,6.9,78,4.1,2.7,83,4.4,0,1,0,1,3.6,5,17.9,5,2,4,9,28.1,0,,1,-2,0,-2,-2,0,0,0
9,40,9,9,11/5/2023,NWE,,WAS,"L, 17-20",*,24,44,13,29.5,375,8.5,96,4,2.2,124,5.2,1,1,0,3,7,7,16.3,6,1,1,2,4.3,2,2.5,3,3,0,3,1,0,0,0
10,41,10,10,11/12/2023,NWE,,IND,"L, 6-10",*,15,20,8,32,71,3.6,44,2.9,2.2,126,8.4,0,0,0,1,5,3,15,4,1,4,10,37,2,11.5,3,25,2,25,8.3,0,0,0
11,42,11,12,11/26/2023,NWE,@,NYG,"L, 7-10",*,12,21,5,22.7,105,5,-2,-0.2,-0.1,91,7.6,0,0,0,2,9.5,5,23.8,12,2,1,4,18.2,0,,0,0,0,0,,0,,0
,,,,,,,,9-Feb,,224,345,100,27.2,2391,6.9,905,4,2.6,1215,5.4,8,6,0,16,4.7,54,15.9,92,30,24,76,20.1,11,7.3,26,96,11,85,3.3,11,0.4,0
