,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,53,2,2,9/14/2025,SFO,@,NOR,"W, 26-21",*,26,39,15,35.7,254,6.5,144,5.5,3.7,135,5.2,1,0,1,1,2.6,6,15.8,3,1,3,7,16.3,1,13,6,6,1,2,0.3,4,0.7,1,6
2,54,3,3,9/21/2025,SFO,,ARI,"W, 16-15",*,27,41,14,33.3,309,7.5,183,6.8,4.5,101,3.7,2,2,1,2,5.3,6,15.8,11,2,7,10,23.8,0,,1,-1,0,-1,-1,0,0,0,
3,55,5,5,10/2/2025,SFO,@,LAR,"W, 26-23 (OT)",*,33,49,19,38,290,5.9,163,4.9,3.3,179,5.4,2,0,1,1,2.1,9,18.8,6,0,7,8,16,0,,4,5,2,2,0.5,3,0.8,0,
4,56,6,6,10/12/2025,SFO,@,TAM,"L, 19-30",*,27,39,10,22.2,378,9.7,182,6.7,4.7,165,6.1,0,2,0,2,5.4,4,10.8,12,2,1,9,19.1,2,4,5,13,2,10,2,3,0.6,0,
5,57,7,7,10/19/2025,SFO,,ATL,"W, 20-10",*,17,26,10,37,132,5.1,52,3.1,2,100,5.9,0,2,0,1,4.2,5,20.8,10,0,3,4,14.3,1,8,5,11,2,6,1.2,5,1,0,
6,58,8,8,10/26/2025,SFO,@,HOU,"L, 15-26",*,19,32,10,29.4,319,10,129,6.8,4,64,3.4,0,1,0,3,9.7,6,19.4,4,3,2,7,19.4,2,11.5,2,23,1,23,11.5,0,0,0,
7,59,9,9,11/2/2025,SFO,@,NYG,"W, 34-24",*,19,24,13,50,160,6.7,123,6.5,5.1,112,5.9,0,1,0,0,0,2,8.7,2,1,1,4,14.3,2,1.5,4,4,1,3,0.8,1,0.3,0,
8,60,10,10,11/9/2025,SFO,,LAR,"L, 26-42",*,33,39,16,41,282,7.2,218,6.6,5.6,101,3.1,1,0,0,0,0,1,2.6,4,6,1,7,17.9,0,,1,3,1,3,3,0,0,0,
9,61,11,11,11/16/2025,SFO,@,ARI,"W, 41-22",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,3,-3,0,-3,-1,0,0,0,
10,62,13,13,11/30/2025,SFO,@,CLE,"W, 26-8",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,2,2,1,0,0,2,1,0,
11,63,15,16,12/22/2025,SFO,@,IND,"W, 48-27",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,3,-3,0,-3,-1,0,0,0,
,,,,,,,,3-Aug,,201,289,107,35.1,2124,7.3,1194,5.9,4.1,957,4.8,6,8,3,10,3.6,39,14,52,15,25,56,17.9,8,6.9,36,60,11,42,1.2,18,0.5,1,36
