,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,81,1,1,9/7/2023,KAN,,DET,"L, 20-21",*,21,39,10,25.6,354,9.1,113,5.4,2.9,113,5.4,0,2,0,5,13.5,7,18.9,5,1,7,8,17.8,6,7.5,6,45,3,45,7.5,0,0,0,
2,82,2,2,9/17/2023,KAN,@,JAX,"W, 17-9",*,29,41,12,28.6,274,6.7,126,4.3,3.1,179,6.2,0,1,0,2,5,2,5,8,12,2,15,33.3,3,11.7,7,30,3,30,4.3,0,0,0,
3,83,3,3,9/24/2023,KAN,,CHI,"W, 41-10",*,24,33,14,42.4,223,6.8,155,6.5,4.7,117,4.9,0,1,0,3,9.4,4,12.5,3,1,3,4,11.1,3,9.3,3,28,2,28,9.3,0,0,0,
4,84,4,4,10/1/2023,KAN,@,NYJ,"W, 23-20",*,18,30,9,29,195,6.5,64,3.6,2.1,139,7.7,0,1,0,2,6.9,5,17.2,7,8,7,16,45.7,4,12.8,7,51,4,51,7.3,0,0,0,
5,85,5,5,10/8/2023,KAN,@,MIN,"W, 27-20",*,31,41,15,34.9,241,5.9,133,4.3,3.2,148,4.8,0,1,1,1,2.6,3,7.7,23,7,7,16,37.2,0,,0,0,0,0,,0,,0,
6,86,6,6,10/12/2023,KAN,,DEN,"W, 19-8",*,30,40,14,33.3,158,4,98,3.3,2.5,208,6.9,1,2,0,2,5.3,2,5.3,11,6,1,9,20,3,11,6,31,2,31,5.2,0,0,0,
7,87,7,7,10/22/2023,KAN,,LAC,"W, 31-17",*,32,42,21,48.8,343,8.2,186,5.8,4.4,238,7.4,0,1,0,3,7.3,3,7.3,14,0,3,4,8.9,2,15.5,4,29,2,29,7.3,0,0,0,
8,88,8,8,10/29/2023,KAN,@,DEN,"L, 9-24",*,24,38,12,29.3,278,7.3,86,3.6,2.3,154,6.4,1,1,0,5,13.5,5,13.5,9,0,5,8,18.2,3,6.7,3,20,1,18,6,2,0.7,0,
9,89,9,9,11/5/2023,KAN,,MIA,"W, 21-14",*,20,30,11,34.4,167,5.6,69,3.5,2.3,116,5.8,1,0,0,1,3.3,6,20,10,5,3,10,28.6,3,9,6,24,0,19,3.2,5,0.8,0,
10,90,10,11,11/20/2023,KAN,,PHI,"L, 17-21",*,24,43,10,22.7,383,8.9,105,4.4,2.4,72,3,1,3,1,3,7.7,8,20.5,10,9,7,17,34,6,6.3,6,38,2,16,2.7,22,3.7,1,6
11,91,11,12,11/26/2023,KAN,@,LVR,"W, 31-17",*,27,34,17,48.6,167,4.9,94,3.5,2.8,204,7.6,0,2,0,2,6.3,3,9.4,2,0,1,2,5.3,3,3.7,5,9,1,7,1.4,2,0.4,0,
12,92,12,13,12/3/2023,KAN,@,GNB,"L, 19-27",*,21,33,13,36.1,286,8.7,78,3.7,2.4,132,6.3,0,2,0,2,6.5,4,12.9,3,0,2,5,12.8,3,9,4,26,1,25,6.3,1,0.3,0,
13,93,13,14,12/10/2023,KAN,,BUF,"L, 17-20",*,25,43,14,31.8,285,6.6,113,4.5,2.6,158,6.3,2,4,0,2,5.1,8,20.5,12,3,6,10,22.2,1,8,1,8,1,8,8,0,0,0,
14,94,14,15,12/17/2023,KAN,@,NWE,"W, 27-17",*,27,37,14,35,214,5.8,98,3.6,2.6,207,7.7,0,3,0,3,8.8,2,5.9,10,3,0,6,15,0,,3,-5,0,-5,-1.7,0,0,0,
15,95,15,16,12/25/2023,KAN,,LVR,"L, 14-20",*,27,44,10,20.8,159,3.6,29,1.1,0.7,206,7.6,0,4,0,2,5,7,17.5,2,2,6,12,21.4,8,6,10,53,4,48,4.8,5,0.5,0,
16,96,16,17,12/31/2023,KAN,,CIN,"W, 25-17",*,21,29,10,32.3,147,5.1,81,3.9,2.8,164,7.8,0,1,0,1,3.6,6,21.4,4,3,5,10,30.3,2,2,4,2,1,0,0,2,0.5,1,4
,,,,,,,,6-Oct,,401,597,206,33,3874,6.5,1628,4.1,2.7,2555,6.4,6,29,2,39,6.9,75,13.3,133,60,65,152,22.6,50,8.1,75,389,27,350,4.7,39,0.5,2,37.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
