,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,97,1,1,9/5/2024,KAN,,BAL,"W, 27-20",*,20,28,15,50,165,5.9,103,5.2,3.7,188,9.4,0,1,0,2,7.4,2,7.4,4,5,4,11,36.7,0,,2,3,1,2,1,1,0.5,0
2,98,2,2,9/15/2024,KAN,,CIN,"W, 26-25",*,18,25,7,25.9,104,4.2,22,1.2,0.9,129,7.2,0,2,0,0,0,4,17.4,5,0,2,4,12.9,4,7.3,4,29,1,28,7,1,0.3,0
3,99,3,3,9/22/2024,KAN,@,ATL,"W, 22-17",*,26,39,13,33.3,206,5.3,77,3,2,140,5.4,0,3,0,2,5.6,6,16.7,7,1,7,8,19,3,10,6,17,1,13,2.2,4,0.7,0
4,100,4,4,9/29/2024,KAN,@,LAC,"W, 17-10",*,19,29,8,25,197,6.8,154,8.1,5.3,91,4.8,3,1,0,1,3.6,4,14.3,6,2,1,6,17.6,2,7.5,5,12,1,10,2,2,0.4,0
5,101,5,5,10/7/2024,KAN,,NOR,"W, 26-13",*,28,39,15,36.6,169,4.3,78,2.8,2,253,9,0,5,0,0,0,5,14.7,8,3,4,9,20.5,3,8.3,6,22,3,22,3.7,0,0,0
6,102,6,7,10/20/2024,KAN,@,SFO,"W, 28-18",*,16,27,11,37.9,212,7.9,53,3.3,2,101,6.3,1,2,0,1,4,5,20,3,0,4,6,18.8,3,13.7,5,39,3,5,1,34,6.8,0
7,103,7,8,10/27/2024,KAN,@,LVR,"W, 27-20",*,27,38,17,43.6,255,6.7,158,5.9,4.2,104,3.9,1,2,1,2,5.7,3,8.6,9,3,2,6,14.3,3,6.7,6,17,2,17,2.8,0,0,0
8,104,8,9,11/4/2024,KAN,,TAM,"W, 30-24 (OT)",*,34,44,19,39.6,260,5.9,149,4.4,3.4,142,4.2,0,2,0,1,2.4,4,9.5,3,0,3,7,14,2,4.5,2,9,1,9,4.5,0,0,0
9,105,9,10,11/10/2024,KAN,,DEN,"W, 16-14",*,28,42,13,28.3,184,4.4,78,2.8,1.9,188,6.7,1,2,0,1,2.5,9,22.5,18,4,5,13,26.5,3,6.3,3,19,1,15,5,4,1.3,0
10,106,10,11,11/17/2024,KAN,@,BUF,"L, 21-30",*,23,33,15,42.9,228,6.9,91,4,2.8,105,4.6,0,2,0,1,3.2,3,9.7,10,10,5,17,48.6,0,,0,0,0,0,,0,,0
11,107,11,12,11/24/2024,KAN,@,CAR,"W, 30-27",*,27,37,15,35.7,230,6.2,137,5.1,3.7,132,4.9,0,1,0,3,8.3,3,8.3,12,2,2,9,19.1,5,12,5,60,3,57,11.4,3,0.6,0
12,108,12,13,11/29/2024,KAN,,LVR,"W, 19-17",*,26,46,14,27.5,385,8.4,161,6.2,3.5,145,5.6,1,0,1,3,6.7,13,28.9,13,7,7,19,36.5,1,5,2,4,0,3,1.5,1,0.5,0
13,109,13,14,12/8/2024,KAN,,LAC,"W, 19-17",*,24,37,11,27.5,255,6.9,86,3.6,2.3,124,5.2,0,1,0,1,2.8,7,19.4,12,4,9,16,38.1,2,9.5,4,17,2,17,4.3,0,0,0
14,110,14,15,12/15/2024,KAN,@,CLE,"W, 21-7",*,19,38,11,28.9,303,8,62,3.3,1.6,97,5.1,1,2,0,6,16.7,7,19.4,5,1,10,11,28.2,1,10,2,14,1,14,7,0,0,0
15,111,15,16,12/21/2024,KAN,,HOU,"W, 27-19",*,28,41,14,33.3,232,5.7,75,2.7,1.8,185,6.6,0,0,0,2,4.9,8,19.5,13,0,3,4,8.9,3,11.7,5,33,1,16,3.2,17,3.4,0
16,112,16,17,12/25/2024,KAN,@,PIT,"W, 29-10",*,29,38,16,42.1,216,5.7,144,5,3.8,176,6.1,2,0,0,0,0,4,10.5,12,4,2,6,15.4,1,12,1,12,1,12,12,0,0,0
,,,,,,,,15-1,,392,581,214,34.7,3601,6.2,1628,4.2,2.8,2300,5.9,10,26,2,26,4.7,87,15.7,140,46,70,152,23.3,36,9.1,58,307,22,240,4.1,67,1.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
