,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,43,1,1,9/9/2018,TEN,@,MIA,"L, 20-27",*,9,16,5,31.3,119,7.4,48,5.3,3,55,6.1,0,0,0,0,0,5,31.3,4,2,1,3,17.6,1,7,3,15,2,5,1.7,10,3.3,0,
2,44,3,3,9/23/2018,TEN,@,JAX,"W, 9-6",,12,18,5,26.3,66,3.7,33,2.8,1.8,67,5.6,0,1,0,2,11.8,2,11.8,8,3,1,5,20.8,5,6,7,51,4,20,2.9,31,4.4,3,2.3
3,45,4,4,9/30/2018,TEN,,PHI,"W, 26-23 (OT)",*,30,43,16,34.8,421,9.8,175,5.8,4.1,169,5.6,0,1,0,3,7.1,6,14.3,13,3,3,9,18.4,3,8.7,10,46,2,40,4,6,0.6,1,10
4,46,5,5,10/7/2018,TEN,@,BUF,"L, 12-13",*,14,26,8,28.6,180,6.9,63,4.5,2.4,66,4.7,0,1,0,1,4,6,24,12,4,3,9,30,2,5,2,10,1,9,4.5,1,0.5,0,
5,47,6,6,10/14/2018,TEN,,BAL,"L, 0-21",*,10,15,5,19.2,175,11.7,73,7.3,4.9,44,4.4,0,1,0,0,0,4,28.6,13,11,0,22,78.6,2,12.5,2,25,1,25,12.5,0,0,0,
6,48,7,7,10/21/2018,TEN,@,LAC,"L, 19-20",*,24,32,16,47.1,149,4.7,100,4.2,3.1,137,5.7,0,0,0,3,9.4,2,6.3,3,1,1,4,10.5,4,6.3,7,38,2,19,2.7,19,2.7,1,7
7,49,8,9,11/5/2018,TEN,@,DAL,"W, 28-14",*,21,29,11,33.3,216,7.4,117,5.6,4,123,5.9,0,2,0,2,7.4,3,11.1,4,12,1,17,48.6,2,6,10,32,5,32,3.2,0,0,0,
8,50,9,10,11/11/2018,TEN,,NWE,"W, 34-10",*,16,24,10,38.5,270,11.3,153,9.6,6.4,75,4.7,0,1,0,0,0,7,30.4,10,2,0,4,14.8,1,1,2,21,1,21,10.5,0,0,0,
9,51,10,11,11/18/2018,TEN,@,IND,"L, 10-38",*,10,13,4,23.5,101,7.8,48,4.8,3.7,37,3.7,0,0,0,0,0,1,7.7,3,3,1,8,40,3,6,4,17,1,15,3.8,2,0.5,0,
10,52,11,12,11/26/2018,TEN,@,HOU,"L, 17-34",*,22,23,10,34.5,114,5,113,5.1,4.9,190,8.6,0,0,0,0,0,1,4.3,6,8,1,15,44.1,5,6.6,6,28,1,4,0.7,24,4,2,3
11,53,12,13,12/2/2018,TEN,,NYJ,"W, 26-22",*,20,35,11,28.9,364,10.4,169,8.5,4.8,113,5.7,0,3,0,2,6.3,7,21.9,11,2,0,5,12.2,3,14.7,4,43,2,34,8.5,9,2.3,0,
12,54,13,14,12/6/2018,TEN,,JAX,"W, 30-9",*,18,24,9,36,158,6.6,62,3.4,2.6,100,5.6,0,0,0,1,4.2,5,20.8,5,2,0,3,11.5,1,12,4,13,2,12,3,1,0.3,0,
13,55,14,15,12/16/2018,TEN,@,NYG,"W, 17-0",*,12,20,5,23.8,134,6.7,61,5.1,3.1,27,2.3,0,1,0,1,5.3,4,21.1,11,4,1,6,28.6,0,,2,11,1,9,4.5,2,1,0,
14,56,15,16,12/22/2018,TEN,,WAS,"W, 25-16",*,10,13,6,40,58,4.5,56,5.6,4.3,54,5.4,0,1,0,0,0,0,0,5,2,1,5,31.3,1,7,1,7,1,7,7,0,0,0,
,,,,,,,,6-Aug,,228,331,121,32.4,2525,7.6,1271,5.6,3.8,1257,5.5,0,12,0,15,4.7,53,16.6,108,59,14,115,28.3,33,7.6,64,357,26,252,3.9,105,1.6,7,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
