,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,94,3,3,9/21/2025,WAS,,LVR,"W, 41-24",*,15,21,7,31.8,157,7.5,94,6.3,4.5,113,7.5,0,2,1,1,5.6,0,0,6,0,2,3,13,1,2,6,40,2,38,6.3,2,0.3,0
2,95,4,4,9/28/2025,WAS,@,ATL,"L, 27-34",*,16,27,8,27.6,291,10.8,133,8.3,4.9,23,1.4,0,2,1,0,0,6,25,14,2,3,7,23.3,1,22,2,20,1,20,10,0,0,0
3,96,7,7,10/19/2025,WAS,@,DAL,"L, 22-44",,4,10,2,16.7,121,12.1,44,11,4.4,19,4.8,1,0,0,0,0,3,30,4,3,2,7,58.3,0,,2,34,1,33,16.5,1,0.5,0
4,97,8,8,10/27/2025,WAS,@,KAN,"L, 7-28",*,21,30,9,28.1,162,5.4,91,4.3,3,122,5.8,1,0,0,2,6.7,5,16.7,8,3,1,6,17.1,3,3.3,8,28,1,17,2.1,11,1.4,0
6,99,10,10,11/9/2025,WAS,,DET,"L, 22-44",*,16,22,9,37.5,288,13.1,174,10.9,7.9,39,2.4,0,0,0,0,0,2,9.1,7,0,3,5,19.2,2,9,5,22,1,20,4,2,0.4,0
7,100,11,11,11/16/2025,WAS,@,MIA,"L, 13-16 (OT)",*,20,30,10,32.3,221,7.4,87,4.4,2.9,126,6.3,0,1,0,1,3.4,6,20.7,9,0,4,5,15.6,1,44,4,49,1,40,10,9,2.3,0
8,101,12,13,11/30/2025,WAS,,DEN,"L, 26-27 (OT)",*,28,50,17,32.7,564,11.3,212,7.6,4.2,82,2.9,0,5,0,1,2.2,9,20,11,2,4,8,14.5,3,9,10,55,5,49,4.9,6,0.6,0
10,103,14,15,12/14/2025,WAS,@,NYG,"W, 29-21",*,10,19,10,47.6,256,13.5,133,13.3,7,78,7.8,0,3,0,1,6.3,3,18.8,10,2,3,7,26.9,5,6.6,10,43,0,43,4.3,0,0,0
11,104,15,16,12/20/2025,WAS,,PHI,"L, 18-29",*,7,14,5,33.3,148,10.6,59,8.4,4.2,36,5.1,0,2,0,0,0,1,8.3,2,0,1,2,13.3,0,,1,-1,0,-1,-1,0,0,0
,,,,,,,,9-Feb,,139,227,79,32.5,2262,10,1056,7.6,4.7,639,4.6,2,15,2,6,2.9,35,16.7,72,12,23,51,19.5,18,9.1,50,297,12,265,5.3,32,0.6,0
