,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,3,3,9/19/2024,NWE,@,NYJ,"L, 3-24",,4,8,2,20,25,3.1,8,2,1,14,3.5,0,0,0,1,12.5,2,25,2,0,1,3,25,2,6,2,12,1,12,6,0,0,0,
2,2,6,6,10/13/2024,NWE,,HOU,"L, 21-41",*,20,33,12,32.4,214,6.5,112,5.6,3.4,131,6.6,2,2,0,1,3.2,7,22.6,11,4,4,12,28.6,5,7.6,5,38,3,18,3.6,20,4,1,5
3,3,7,7,10/20/2024,NWE,@,JAX,"L, 16-32",*,26,37,13,33.3,280,7.6,134,5.2,3.6,142,5.5,0,1,0,2,5.6,4,11.1,4,1,1,4,9.5,3,6,3,18,1,14,4.7,4,1.3,0,
4,4,8,8,10/27/2024,NWE,,NYJ,"W, 25-22",*,3,6,1,14.3,65,10.8,7,2.3,1.2,16,5.3,0,0,0,1,16.7,1,16.7,1,0,0,1,10,3,15.3,3,46,3,31,10.3,15,5,1,3
5,5,9,9,11/3/2024,NWE,@,TEN,"L, 17-20 (OT)",*,29,41,10,22.2,301,7.3,72,2.5,1.8,134,4.6,0,1,1,1,2.6,3,7.7,9,5,4,13,25,7,13.6,8,95,5,85,10.6,10,1.3,0,
6,6,10,10,11/10/2024,NWE,@,CHI,"W, 19-3",*,15,25,9,34.6,208,8.3,85,5.7,3.4,99,6.6,1,2,0,1,4.3,4,17.4,6,2,6,9,31,3,8.3,4,24,1,19,4.8,5,1.3,0,
7,7,11,11,11/17/2024,NWE,,LAR,"L, 22-28",*,29,39,16,38.1,258,6.6,122,4.2,3.1,160,5.5,1,2,0,1,2.7,1,2.7,15,0,2,5,11.1,3,9,3,27,1,27,9,0,0,0,
8,8,12,12,11/24/2024,NWE,@,MIA,"L, 15-34",*,22,37,8,19.5,292,7.9,115,5.2,3.1,107,4.9,2,1,0,1,2.8,8,22.2,8,3,2,9,20,4,6.8,5,26,0,19,3.8,7,1.4,0,
9,9,13,13,12/1/2024,NWE,,IND,"L, 24-25",*,24,30,14,41.2,198,6.6,135,5.6,4.5,103,4.3,0,0,0,0,0,4,13.3,6,1,0,5,12.8,5,11.8,5,59,2,36,7.2,23,4.6,0,
10,10,14,15,12/15/2024,NWE,@,ARI,"L, 17-30",*,19,23,10,40,173,7.5,68,3.6,3,134,7.1,0,0,0,1,4.3,3,13,8,0,0,2,7.1,3,4.7,4,14,1,14,3.5,0,0,0,
11,11,15,16,12/22/2024,NWE,@,BUF,"L, 21-24",*,22,36,13,34.2,216,6,127,5.8,3.5,134,6.1,0,4,0,1,3.1,9,28.1,16,6,4,12,30,2,7,6,30,3,28,4.7,2,0.3,0,
12,12,16,17,12/28/2024,NWE,,LAC,"L, 7-40",*,12,22,4,15.4,209,9.5,99,8.3,4.5,18,1.5,1,1,0,0,0,6,28.6,10,1,2,7,22.6,5,6.4,6,32,1,32,5.3,0,0,0,
13,13,17,18,1/5/2025,NWE,,BUF,"W, 23-16",*,0,1,0,0,3,3,0,,0,0,,0,0,0,0,0,1,100,0,0,0,1,50,0,,0,0,0,0,,0,,0,
,,,,,,,,10-Mar,,225,338,112,30.1,2442,7.2,1084,4.8,3.2,1192,5.3,7,14,1,11,3.4,53,16.4,96,23,26,83,19.9,45,9,54,421,22,335,6.2,86,1.6,2,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
