,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,31,1,1,9/13/2020,CLE,@,BAL,"L, 6-38",*,21,39,10,24.4,358,9.2,155,7.4,4,34,1.6,2,4,0,1,2.9,6,17.1,21,4,4,10,23.8,1,4,2,3,0,3,1.5,0,0,0
2,32,2,2,9/17/2020,CLE,,CIN,"W, 35-30",*,16,23,9,39.1,210,9.1,146,9.1,6.3,73,4.6,0,2,0,0,0,4,19,14,3,0,3,12.5,1,8,3,5,1,5,1.7,0,0,0
3,33,3,3,9/27/2020,CLE,,WAS,"W, 34-20",*,16,23,12,48,189,8.2,90,5.6,3.9,66,4.1,0,1,0,2,9.1,3,13.6,4,4,2,8,30.8,1,1,1,1,0,1,1,0,0,0
4,34,4,4,10/4/2020,CLE,@,DAL,"W, 49-38",*,19,30,13,40.6,258,8.6,121,6.4,4,44,2.3,0,3,1,0,0,6,23.1,12,2,1,5,15.2,1,8,3,6,0,6,2,0,0,0
5,35,5,5,10/11/2020,CLE,,IND,"W, 32-23",*,21,37,14,36.8,323,8.7,167,8,4.5,80,3.8,0,0,0,2,5.4,12,32.4,8,3,2,6,15.4,1,16,2,17,1,17,8.5,0,0,0
6,36,6,6,10/18/2020,CLE,@,PIT,"L, 7-38",*,10,18,6,27.3,117,6.5,61,6.1,3.4,58,5.8,0,1,0,1,5.9,4,23.5,9,3,2,9,39.1,1,5,1,5,0,4,4,1,1,0
7,37,7,7,10/25/2020,CLE,@,CIN,"W, 37-34",*,22,28,15,53.6,267,9.5,183,8.3,6.5,114,5.2,0,0,1,1,3.7,3,11.1,9,1,5,6,21.4,0,,1,-1,0,-1,-1,0,0,0
8,38,8,8,11/1/2020,CLE,,LVR,"L, 6-16",*,12,25,5,20,193,7.7,48,4,1.9,74,6.2,0,0,0,6,24,5,20,4,3,1,4,13.8,4,6.3,6,29,3,27,4.5,2,0.3,0
9,39,9,10,11/15/2020,CLE,,HOU,"W, 10-7",*,12,20,5,23.8,165,8.3,77,6.4,3.9,55,4.6,1,1,0,0,0,6,31.6,8,1,1,3,13.6,1,3,3,1,0,1,0.3,0,0,0
10,40,10,11,11/22/2020,CLE,,PHI,"W, 22-17",*,12,22,9,36,260,11.8,162,13.5,7.4,42,3.5,0,3,1,1,5.6,5,27.8,7,3,0,6,24,0,,6,9,2,4,0.7,5,0.8,0
11,41,11,12,11/29/2020,CLE,@,JAX,"W, 27-25",*,19,29,15,48.4,235,8.1,141,7.4,4.9,117,6.2,0,2,0,0,0,7,25.9,10,2,0,4,12.5,1,4,4,1,0,1,0.3,0,0,0
12,42,12,13,12/6/2020,CLE,@,TEN,"W, 41-35",*,25,33,17,51.5,207,6.3,145,5.8,4.4,189,7.6,0,3,0,2,6.7,0,0,12,2,0,2,5.7,2,2,4,5,1,5,1.3,0,0,0
13,43,13,14,12/14/2020,CLE,,BAL,"L, 42-47",*,28,47,17,36.2,449,9.6,216,7.7,4.6,127,4.5,2,4,0,2,4.7,9,20.9,22,3,4,7,13.5,5,4.6,5,23,2,14,2.8,9,1.8,0
14,44,14,15,12/20/2020,CLE,@,NYG,"W, 20-6",*,27,32,16,48.5,235,7.3,190,7,5.9,107,4,1,2,0,0,0,2,6.7,13,6,0,7,20,2,4.5,4,11,2,11,2.8,0,0,0
15,45,15,16,12/27/2020,CLE,@,NYJ,"L, 16-23",*,28,53,12,21.1,412,7.8,165,5.9,3.1,120,4.3,1,1,2,2,4,9,18,15,7,5,16,28.1,0,,3,6,2,2,0.7,4,1.3,0
16,46,16,17,1/3/2021,CLE,,PIT,"W, 24-22",*,17,27,13,41.9,246,9.1,136,8,5,60,3.5,1,1,0,1,3.8,4,15.4,11,2,0,6,17.1,4,10.5,6,44,4,44,7.3,0,0,0
,,,,,,,,5-Nov,,305,486,188,36.7,4124,8.5,2203,7.2,4.5,1360,4.5,8,28,5,21,4.6,85,18.8,179,49,27,102,19,25,6.1,54,165,18,144,2.7,21,0.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
