,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,107,1,1,9/7/2025,TAM,@,ATL,"W, 23-20",*,17,32,10,30.3,327,10.2,122,7.2,3.8,45,2.6,0,2,0,0,0,6,20,10,0,1,2,5.4,4,10,5,39,3,35,7,4,0.8,0,
2,108,2,2,9/15/2025,TAM,@,HOU,"W, 20-19",*,25,38,12,28.6,309,8.1,86,3.4,2.3,129,5.2,0,2,0,2,5.6,6,16.7,12,2,3,9,20,3,11,3,33,3,13,4.3,20,6.7,2,1.5
3,109,3,3,9/21/2025,TAM,,NYJ,"W, 29-27",*,19,29,12,40,232,8,94,4.9,3.2,139,7.3,1,1,0,4,14.3,4,14.3,9,1,1,3,9.1,3,15,4,44,2,37,9.3,7,1.8,1,4
4,110,4,4,9/28/2025,TAM,,PHI,"L, 25-31",*,22,40,7,16.7,319,8,90,4.1,2.3,199,9,1,0,1,0,0,7,17.9,11,5,0,7,15.9,2,6.5,2,13,1,9,4.5,4,2,1,2
5,111,5,5,10/5/2025,TAM,@,SEA,"W, 38-35",*,29,33,17,50,251,7.6,177,6.1,5.4,202,7,0,1,0,0,0,1,3.1,3,3,0,4,10.5,4,4,5,15,1,15,3,0,0,0,
6,112,6,6,10/12/2025,TAM,,SFO,"W, 30-19",*,17,23,9,37.5,239,10.4,150,8.8,6.5,106,6.2,0,0,0,1,4.3,3,13,6,1,0,2,8,1,15,3,14,1,-1,-0.3,15,5,3,1
7,113,7,7,10/20/2025,TAM,@,DET,"L, 9-24",*,28,50,11,20.4,461,9.2,121,4.3,2.4,107,3.8,3,0,0,1,2,10,20,12,8,4,16,29.6,0,,0,0,0,0,,0,,0,
8,114,8,8,10/26/2025,TAM,@,NOR,"W, 23-3",*,15,24,8,29.6,162,6.8,66,4.4,2.8,86,5.7,1,0,0,1,4.2,4,16.7,12,2,0,5,18.5,0,,0,0,0,0,,0,,0,
9,115,9,10,11/9/2025,TAM,,NWE,"L, 23-28",*,28,43,14,31.1,257,6,141,5,3.3,132,4.7,0,0,0,4,9.3,7,16.3,13,2,3,7,15.6,0,,0,0,0,0,,0,,0,
10,116,10,11,11/16/2025,TAM,@,BUF,"L, 32-44",*,16,28,6,20.7,196,7,95,5.9,3.4,78,4.9,1,1,0,1,3.7,5,18.5,1,0,2,3,9.1,4,6.5,5,39,4,39,7.8,0,0,0,
11,117,11,12,11/23/2025,TAM,@,LAR,"L, 7-34",*,9,19,3,14.3,153,8.1,20,2.2,1.1,21,2.3,0,1,0,0,0,3,16.7,8,1,0,3,12.5,3,6.3,4,19,2,19,4.8,0,0,0,
12,118,12,13,11/30/2025,TAM,,ARI,"W, 20-17",*,18,28,8,26.7,208,7.4,43,2.4,1.5,151,8.4,0,2,0,2,7.7,3,11.5,9,2,0,4,12.1,3,10.3,6,27,1,6,1,21,3.5,0,
13,119,13,14,12/7/2025,TAM,,NOR,"L, 20-24",*,14,30,4,13.3,230,7.7,28,2,0.9,94,6.7,3,0,0,2,6.7,7,23.3,5,1,2,3,8.6,5,7.6,6,42,3,38,6.3,4,0.7,0,
14,120,14,15,12/11/2025,TAM,,ATL,"L, 28-29",*,19,34,16,41,359,10.6,214,11.3,6.3,63,3.3,4,2,0,1,3.1,5,15.6,16,1,1,7,17.5,1,1,1,1,0,0,0,1,1,0,
15,121,15,16,12/21/2025,TAM,@,CAR,"L, 20-23",*,18,26,9,32.1,151,5.8,90,5,3.5,55,3.1,0,1,0,1,4,2,8,5,1,0,3,10,2,24.5,4,49,2,48,12,1,0.3,0,
16,122,16,17,12/28/2025,TAM,@,MIA,"L, 17-20",*,33,44,14,29.8,364,8.3,141,4.3,3.2,205,6.2,0,0,0,0,0,7,15.9,7,1,2,6,12,3,5.3,3,16,2,12,4,4,1.3,0,
17,123,17,18,1/3/2026,TAM,,CAR,"W, 16-14",*,16,22,12,50,142,6.5,92,5.8,4.2,111,6.9,0,0,0,0,0,3,13.6,7,5,1,8,28.6,4,7.8,4,31,2,11,2.8,20,5,0,
,,,,,,,,9-Aug,,343,543,172,29.7,4360,8,1770,5.2,3.3,1923,5.6,14,13,1,20,3.8,83,15.7,146,36,20,92,14.8,42,8.9,55,382,27,281,5.1,101,1.8,7,7.9
