,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/8/2025,MIN,@,CHI,"W, 27-24",*,13,20,5,21.7,137,6.9,75,5.8,3.8,68,5.2,2,0,0,0,0,3,15,3,1,2,6,25,1,11,2,25,2,23,11.5,2,1,0,
2,2,2,2,9/14/2025,MIN,,ATL,"L, 6-22",*,11,21,7,25.9,252,12,116,10.5,5.5,42,3.8,0,0,0,1,4.8,7,33.3,11,1,3,10,33.3,3,8,5,25,1,18,3.6,7,1.4,0,
3,3,8,9,11/2/2025,MIN,@,DET,"W, 27-24",*,14,25,8,26.7,258,10.3,110,7.9,4.4,33,2.4,0,2,0,1,4.3,5,21.7,6,3,4,12,38.7,1,9,9,12,1,9,1,3,0.3,0,
4,4,9,10,11/9/2025,MIN,,BAL,"L, 19-27",*,20,42,9,20.9,458,10.9,134,6.7,3.2,114,5.7,7,1,0,0,0,10,24.4,13,3,10,14,29.8,4,9.5,5,48,1,35,7,13,2.6,3,1.7
5,5,10,11,11/16/2025,MIN,,CHI,"L, 17-19",*,16,32,10,31.3,313,9.8,78,4.9,2.4,72,4.5,1,0,0,5,15.6,9,28.1,11,0,4,4,12.5,0,,0,0,0,0,,0,,0,
6,6,11,12,11/23/2025,MIN,@,GNB,"L, 6-23",*,12,19,3,12.5,100,5.3,56,4.7,2.9,31,2.6,1,0,0,1,5.3,4,21.1,1,0,4,9,36,1,10,2,10,1,8,4,2,1,0,
7,7,13,14,12/7/2025,MIN,,WAS,"W, 31-0",*,16,23,13,48.1,153,6.7,83,5.2,3.6,80,5,1,0,0,1,4.3,1,4.3,8,2,3,9,31,2,11.5,6,19,2,3,0.5,16,2.7,0,
8,8,14,15,12/14/2025,MIN,@,DAL,"W, 34-26",*,15,24,11,45.8,249,10.4,160,10.7,6.7,90,6,1,0,0,1,4.2,6,25,6,0,1,1,3.8,2,7.5,4,15,2,5,1.3,10,2.5,1,4
9,9,15,16,12/21/2025,MIN,@,NYG,"W, 16-13",*,9,14,5,29.4,71,5.1,38,4.2,2.7,70,7.8,2,0,0,2,14.3,0,0,5,0,3,6,31.6,2,10,2,20,1,17,8.5,3,1.5,0,
10,10,17,18,1/4/2026,MIN,,GNB,"W, 16-3",*,14,23,9,39.1,175,7.6,90,6.4,3.9,92,6.6,1,1,0,0,0,6,27.3,6,0,5,5,20.8,1,6,2,7,1,0,0,7,3.5,1,2
,,,,,,,,4-Jun,,140,243,80,29.6,2166,8.9,940,6.7,3.9,692,4.9,16,4,0,12,5,51,21.3,70,10,39,76,26.5,17,9.2,37,181,12,118,3.2,63,1.7,5,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
