,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,14,1,1,9/11/2022,HOU,,IND,"T, 20-20 (OT)",*,23,37,12,30,266,7.2,159,6.9,4.3,81,3.5,1,0,0,4,10.8,8,21.6,10,3,2,8,20,0,,2,-1,0,-1,-0.5,0,0,0
2,15,2,2,9/18/2022,HOU,@,DEN,"L, 9-16",*,19,38,6,14.6,299,7.9,94,4.9,2.5,83,4.4,1,2,0,2,5.6,11,30.6,20,6,4,13,31.7,0,,2,1,0,0,0,1,0.5,0
3,16,3,3,9/25/2022,HOU,@,CHI,"L, 20-23",*,20,32,9,27.3,238,7.4,104,5.2,3.3,141,7.1,1,1,0,0,0,4,12.9,6,6,2,9,27.3,0,,0,0,0,0,,0,,0
4,17,4,4,10/2/2022,HOU,,LAC,"L, 24-34",*,26,35,11,28.2,256,7.3,139,5.3,4,107,4.1,0,0,0,2,5.7,4,11.4,11,2,6,12,30.8,0,,0,0,0,0,,0,,0
5,18,5,5,10/9/2022,HOU,@,JAX,"W, 13-6",*,16,24,6,24,142,5.9,71,4.4,3,69,4.3,1,0,0,1,4.2,5,20.8,9,0,4,5,20,0,,2,2,0,2,1,0,0,0
6,19,6,7,10/23/2022,HOU,@,LVR,"L, 20-38",*,28,41,12,28.6,231,5.6,119,4.3,2.9,183,6.5,1,1,0,2,5,8,20,9,0,7,8,19,0,,0,0,0,0,,0,,0
7,20,7,8,10/30/2022,HOU,,TEN,"L, 10-17",*,17,29,5,15.6,229,7.9,92,5.4,3.2,60,3.5,0,0,0,1,3.4,9,31,4,4,3,10,29.4,2,4.5,3,8,0,8,2.7,0,0,0
8,21,8,9,11/3/2022,HOU,,PHI,"L, 17-29",*,13,22,8,32,160,7.3,61,4.7,2.8,93,7.2,0,0,0,0,0,6,27.3,4,2,1,6,21.4,3,6,3,18,1,18,6,0,0,0
9,22,9,10,11/13/2022,HOU,@,NYG,"L, 16-24",*,22,37,15,36.6,287,7.8,122,5.5,3.3,197,9,2,0,0,1,2.7,8,21.6,18,0,6,10,24.4,0,,0,0,0,0,,0,,0
10,23,10,11,11/20/2022,HOU,,WAS,"L, 10-23",*,19,33,6,15.8,228,6.9,34,1.8,1,135,7.1,1,0,0,2,6.1,9,27.3,5,1,4,10,25,2,4,5,10,3,10,2,0,0,0
11,24,13,14,12/11/2022,HOU,@,DAL,"L, 23-27",*,16,21,9,42.9,178,8.5,118,7.4,5.6,57,3.6,0,1,1,0,0,2,10.5,3,0,1,1,4.5,1,2,1,2,0,2,2,0,0,0
12,25,14,15,12/18/2022,HOU,,KAN,"L, 24-30 (OT)",*,12,24,7,29.2,222,9.3,70,5.8,2.9,51,4.3,1,2,0,2,9.1,4,18.2,2,1,3,4,14.8,3,7.7,5,21,1,21,4.2,0,0,0
13,26,15,16,12/24/2022,HOU,@,TEN,"W, 19-14",*,17,28,6,20.7,261,9.3,126,7.4,4.5,52,3.1,3,1,0,0,0,5,18.5,8,1,2,4,13.3,1,4,4,8,2,8,2,0,0,0
14,27,16,17,1/1/2023,HOU,,JAX,"L, 3-31",*,22,40,9,22,351,8.8,94,4.3,2.4,108,4.9,0,2,0,1,2.6,12,31.6,7,2,11,14,31.8,3,10.3,4,33,1,33,8.3,0,0,0
15,28,17,18,1/8/2023,HOU,@,IND,"W, 32-31",*,22,38,14,35.9,332,8.7,184,8.4,4.8,114,5.2,1,2,0,0,0,13,36.1,11,6,3,10,25,1,6,1,6,0,6,6,0,0,0
,,,,,,,,3/11/2001,,292,479,135,26.5,3680,7.7,1587,5.4,3.3,1531,5.2,13,12,1,18,3.9,108,23.2,127,34,59,124,23.6,16,6.3,32,108,8,107,3.3,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
