,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/8/2019,JAX,,KAN,"L, 26-40",,22,25,10,38.5,140,5.6,150,6.8,6,125,5.7,1,0,0,1,4,1,4,5,1,0,2,7.4,1,6,1,6,0,6,6,0,0,0,
2,2,2,2,9/15/2019,JAX,@,HOU,"L, 12-13",*,23,33,10,27,212,6.4,102,4.4,3.1,111,4.8,0,1,0,1,3.1,5,15.6,20,7,3,14,32.6,6,9.3,6,56,2,52,8.7,4,0.7,1,6
3,3,3,3,9/19/2019,JAX,,TEN,"W, 20-7",*,20,30,8,26.7,213,7.1,129,6.5,4.3,75,3.8,0,0,0,2,6.7,5,16.7,7,3,1,4,12.1,3,6.3,4,18,0,12,3,6,1.5,1,4
4,4,4,4,9/29/2019,JAX,@,DEN,"W, 26-24",*,19,33,12,31.6,346,10.5,114,6,3.5,99,5.2,0,1,0,3,9.4,7,21.9,12,9,7,21,55.3,0,,1,2,0,1,1,1,1,0,
5,5,5,5,10/6/2019,JAX,@,CAR,"L, 27-34",*,26,44,18,39.1,404,9.2,193,7.4,4.4,181,7,2,3,0,0,0,6,14.6,5,4,1,7,13.7,5,8.6,7,42,2,42,6,0,0,0,
6,6,6,6,10/13/2019,JAX,,NOR,"L, 6-13",*,14,29,9,29,220,7.6,67,4.8,2.3,96,6.9,0,2,0,0,0,7,25.9,13,7,1,10,31.3,1,2,2,1,0,1,0.5,0,0,0,
7,7,7,7,10/20/2019,JAX,@,CIN,"W, 27-17",*,15,32,10,29.4,186,5.8,104,6.9,3.3,151,10.1,0,3,1,3,10.7,4,14.3,13,3,0,5,12.5,6,8,9,48,2,25,2.8,23,2.6,0,
8,8,8,8,10/27/2019,JAX,,NYJ,"W, 29-15",*,22,34,13,36.1,223,6.6,139,6.3,4.1,140,6.4,0,1,0,3,9.1,4,12.1,16,5,3,10,25,4,8,8,28,3,17,2.1,11,1.4,0,
9,9,9,9,11/3/2019,JAX,,HOU,"L, 3-26",*,27,47,15,30,381,8.1,166,6.1,3.5,143,5.3,2,3,0,3,6.8,8,18.2,16,6,2,11,20.4,4,8.5,4,34,3,15,3.8,19,4.8,0,
10,10,12,13,12/1/2019,JAX,,TAM,"L, 11-28",,16,27,7,24.1,106,3.9,69,4.3,2.6,78,4.9,0,1,0,0,0,7,26.9,9,0,4,6,20,1,4,2,8,0,8,4,0,0,0,
11,11,13,14,12/8/2019,JAX,,LAC,"L, 10-45",*,24,37,5,12.8,203,5.5,93,3.9,2.5,69,2.9,2,1,0,1,2.8,8,22.2,9,3,2,7,15.6,6,5.2,6,31,2,17,2.8,14,2.3,0,
12,12,14,15,12/15/2019,JAX,@,OAK,"W, 20-16",*,17,29,10,32.3,241,8.3,104,6.1,3.6,97,5.7,1,1,0,1,3.6,6,21.4,8,2,3,7,20,4,6,5,27,2,18,3.6,9,1.8,0,
13,13,15,16,12/22/2019,JAX,@,ATL,"L, 12-24",*,13,31,8,23.5,239,7.7,90,6.9,2.9,91,7,0,1,0,0,0,12,40,9,3,1,7,17.5,6,6.2,7,36,2,35,5,1,0.1,0,
14,14,16,17,12/29/2019,JAX,,IND,"W, 38-20",*,27,39,15,35.7,232,5.9,167,6.2,4.3,128,4.7,0,0,0,6,15.4,4,10.3,5,2,1,6,13.6,2,5,5,7,2,7,1.4,0,0,0,
,,,,,,,,8-Jun,,285,470,150,29.8,3346,7.1,1687,5.9,3.6,1584,5.6,8,18,1,24,5.3,84,18.6,147,55,29,117,21.2,49,7.1,67,344,20,256,3.8,88,1.3,2,33.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
